Cache staleness audit  (NOW=2026-06-11)  files=754
========================================================================================================================
FLAGGED total: 307   STUCK(writer-runs,data-frozen): 153   WRITER_STOPPED: 95   LAGGING: 59
no-extractable-date: 40   parse_errors: 0

CAT              OVR FREQ         INTV LATEST      d_late UPDATED      d_upd      N  FILE
-----------------------------------------------------------------------------------------
STUCK          110.0 daily         1.0 2026-02-21     110 2026-06-10       0    365  australia/housing/au_cotality_home_prices_cache.json
STUCK           84.0 daily         1.0 2026-03-19      84 2026-06-09       1   8191  market/comex_copper_stock_cache.json
STUCK           84.0 daily         1.0 2026-03-19      84 2026-06-09       1   8368  market/comex_gold_stock_cache.json
STUCK           83.0 daily         1.0 2026-03-20      83 2026-06-09       1   8538  market/comex_silver_stock_cache.json
STUCK           69.0 daily         1.0 2026-04-03      69 2026-06-11      -1   4250  market/shfe_copper_stock_cache.json
STUCK           18.0 monthly      31.0 2024-12-01     557 2026-06-10       0    119  japan/consumer/consumption_expenditure_cache.json
STUCK           13.0 daily         1.0 2026-05-29      13 2026-06-10       0   2540  usa/employment/jolts_indeed_cache.json
STUCK           10.1 monthly      31.0 2025-08-01     314 2026-06-10       0     15  japan/consumer/retail_sales_cache.json
STUCK            9.1 monthly      31.0 2025-09-01     283 2026-06-10       0     96  australia/inflation/abs_cpi_categories_cache.json
STUCK            9.1 monthly      31.0 2025-09-01     283 2026-06-11      -1     47  china/economy/cn_local_bonds_cache.json
STUCK            9.1 monthly      31.0 2025-09-01     283 2026-06-08       2    179  switzerland/economy/ch_industrial_production_cache.json
STUCK            7.2 monthly      31.0 2025-11-01     222 2026-06-10       0    347  global/economy/global_epu_cache.json
STUCK            7.2 monthly      31.0 2025-11-01     222 2026-06-08       2    310  switzerland/consumer/ch_retail_trade_cache.json
STUCK            6.2 monthly      31.0 2025-12-01     192 2026-06-10       0    132  eurozone/consumer/eurostat_consumer_confidence_cache.json
STUCK            6.2 monthly      31.0 2025-12-01     192 2026-06-10       0    131  eurozone/inflation/ecb_hicp_cache.json
STUCK            6.2 monthly      31.0 2025-12-01     192 2026-06-10       0    300  eurozone/inflation/spain_hicp_cpi_cache.json
