対外及び対内証券売買契約等の状況　(週次・指定報告機関ベース）,,,,,,,,,,,,,,,,,,,最終更新日  令和8年3月12日,,,
International Transactions in Securities (Weekly; based on reports from designated major investors),,,,,,,,,,,,,,,,,,,"Final Update  March  12 , 2026",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,単位： 億円,,,
,,,,,,,,,,,,,,,,,,,Unit: 100 million Yen,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,１．対外証券投資　【居住者による取得・処分】,,,,,,,,,,,2．対内証券投資　【非居住者による取得・処分】,,,,,,,,,,
,1. Portfolio Investment Assets,,,,,,,,,,,2. Portfolio Investment Liabilities,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"期間
Period",   株式 ・投資ファンド持分,,,   中 長 期 債 ,,,  小  計,   短 期 債,,,  合  計,   株式 ・投資ファンド持分,,,   中 長 期 債 ,,,  小  計,   短 期 債,,,  合  計
,Equity and investment fund shares,,, Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Equity and investment fund shares,,, Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total
,取得,処分,ネット,取得,処分,ネット,ネット,取得,処分,ネット,ネット,取得,処分,ネット,取得,処分,ネット,ネット,取得,処分,ネット,ネット
,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net,Acquisition,Disposition,Net,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net,Acquisition,Disposition,Net,Net
2005．1．2～ 1．8,"1,689 ","1,419 ",270 ,"23,929 ","15,051 ","8,878 ","9,149 ","1,662 ","1,001 ",662 ,"9,811 ","17,853 ","15,575 ","2,278 ","15,867 ","11,675 ","4,192 ","6,470 ","7,885 ","3,991 ","3,894 ","10,363 "
2005．1．9～ 1．15,"2,317 ","2,309 ",8 ,"20,658 ","16,950 ","3,708 ","3,716 ","2,448 ","3,119 ",-671 ,"3,045 ","21,502 ","19,322 ","2,180 ","15,507 ","9,521 ","5,986 ","8,166 ","10,453 ","8,992 ","1,461 ","9,627 "
2005．1．16～ 1．22,"2,860 ","2,130 ",730 ,"20,229 ","22,957 ","-2,729 ","-1,998 ","1,920 ","1,380 ",540 ,"-1,458 ","22,001 ","20,443 ","1,558 ","13,032 ","11,996 ","1,036 ","2,594 ","9,155 ","5,437 ","3,718 ","6,312 "
2005．1．23～ 1．29,"2,562 ","2,169 ",394 ,"19,725 ","23,219 ","-3,495 ","-3,101 ","2,135 ","3,277 ","-1,142 ","-4,243 ","23,431 ","20,721 ","2,710 ","22,254 ","15,867 ","6,387 ","9,097 ","9,809 ","7,151 ","2,658 ","11,755 "
2005．1．30～ 2．5,"4,001 ","3,378 ",623 ,"25,040 ","22,815 ","2,226 ","2,849 ","2,184 ","2,574 ",-390 ,"2,459 ","26,118 ","22,548 ","3,571 ","20,172 ","16,209 ","3,963 ","7,533 ","5,278 ","4,260 ","1,018 ","8,551 "
2005．2．6～ 2．12,"1,357 ","1,484 ",-126 ,"22,376 ","30,038 ","-7,663 ","-7,789 ",763 ,482 ,281 ,"-7,507 ","20,295 ","19,617 ",678 ,"15,590 ","13,301 ","2,290 ","2,968 ","4,801 ","6,982 ","-2,181 ",787 
2005．2．13～ 2．19,"2,767 ","3,801 ","-1,034 ","18,065 ","21,066 ","-3,001 ","-4,035 ","1,010 ",934 ,76 ,"-3,960 ","27,774 ","24,345 ","3,429 ","21,881 ","19,026 ","2,855 ","6,284 ","4,966 ","10,573 ","-5,608 ",676 
2005．2．20～ 2．26,"2,863 ","2,515 ",348 ,"22,246 ","19,122 ","3,124 ","3,472 ","1,649 ","2,381 ",-732 ,"2,740 ","24,492 ","22,681 ","1,811 ","13,251 ","18,545 ","-5,294 ","-3,483 ","4,788 ","4,821 ",-33 ,"-3,516 "
2005．2．27～ 3．5,"3,992 ","3,801 ",191 ,"22,331 ","28,118 ","-5,787 ","-5,596 ",481 ,"1,217 ",-735 ,"-6,331 ","28,070 ","24,613 ","3,456 ","22,004 ","24,726 ","-2,722 ",734 ,"1,793 ","6,425 ","-4,632 ","-3,898 "
2005．3．6～ 3．12,"2,407 ","2,722 ",-314 ,"18,956 ","20,811 ","-1,856 ","-2,170 ",762 ,"1,056 ",-293 ,"-2,463 ","34,848 ","29,637 ","5,211 ","20,030 ","16,793 ","3,237 ","8,448 ","6,504 ","5,212 ","1,292 ","9,740 "
2005．3．13～ 3．19,"3,004 ","3,392 ",-388 ,"17,072 ","15,059 ","2,012 ","1,624 ","3,108 ","2,787 ",321 ,"1,945 ","25,840 ","25,285 ",554 ,"17,333 ","14,993 ","2,340 ","2,895 ","6,106 ","7,159 ","-1,053 ","1,842 "
2005．3．20～ 3．26,"2,362 ","2,075 ",287 ,"14,072 ","16,378 ","-2,306 ","-2,019 ","1,747 ","2,388 ",-641 ,"-2,659 ","23,562 ","22,298 ","1,264 ","10,391 ","12,753 ","-2,362 ","-1,097 ","3,059 ","8,704 ","-5,645 ","-6,742 "
2005．3．27～ 4．2,"3,116 ","2,056 ","1,059 ","27,563 ","24,582 ","2,981 ","4,040 ","1,208 ","1,264 ",-55 ,"3,985 ","24,956 ","25,540 ",-584 ,"13,679 ","13,947 ",-268 ,-852 ,"6,360 ","8,404 ","-2,043 ","-2,896 "
2005．4．3～ 4．9,"3,009 ","2,022 ",987 ,"31,103 ","21,827 ","9,276 ","10,263 ",864 ,"1,003 ",-139 ,"10,124 ","26,364 ","23,334 ","3,031 ","14,523 ","7,713 ","6,810 ","9,841 ","5,606 ","5,005 ",600 ,"10,441 "
2005．4．10～ 4．16,"3,644 ","4,081 ",-437 ,"26,040 ","18,732 ","7,308 ","6,871 ","2,547 ","1,588 ",959 ,"7,830 ","23,028 ","24,289 ","-1,261 ","13,198 ","9,837 ","3,361 ","2,100 ","5,686 ","6,881 ","-1,195 ",905 
2005．4．17～ 4．23,"3,482 ","3,063 ",419 ,"36,086 ","21,265 ","14,820 ","15,239 ","2,318 ","2,810 ",-492 ,"14,747 ","29,742 ","30,162 ",-420 ,"16,385 ","13,511 ","2,874 ","2,454 ","11,461 ","4,974 ","6,487 ","8,942 "
2005．4．24～ 4．30,"2,541 ","1,787 ",754 ,"24,313 ","20,050 ","4,264 ","5,018 ","1,633 ","1,760 ",-128 ,"4,890 ","18,077 ","18,188 ",-111 ,"13,147 ","8,045 ","5,101 ","4,990 ","5,659 ","7,204 ","-1,545 ","3,445 "
2005．5．1～ 5．7,"1,073 ",818 ,255 ,"20,300 ","10,817 ","9,483 ","9,738 ","2,223 ","2,208 ",16 ,"9,754 ","10,193 ","9,524 ",670 ,"5,872 ","4,425 ","1,448 ","2,117 ",927 ,"4,267 ","-3,340 ","-1,222 "
2005．5．8～ 5．14,"4,296 ","2,733 ","1,564 ","30,670 ","17,717 ","12,953 ","14,516 ","2,931 ","1,139 ","1,792 ","16,308 ","24,556 ","24,921 ",-365 ,"19,580 ","13,927 ","5,652 ","5,288 ","7,364 ","4,053 ","3,311 ","8,598 "
2005．5．15～ 5．21,"2,279 ","2,096 ",183 ,"27,517 ","34,873 ","-7,356 ","-7,174 ","1,192 ","1,284 ",-92 ,"-7,266 ","26,198 ","24,219 ","1,979 ","27,497 ","17,457 ","10,039 ","12,018 ","7,270 ","6,256 ","1,014 ","13,033 "
2005．5．22～ 5．28,"3,347 ","2,804 ",542 ,"30,300 ","27,297 ","3,003 ","3,545 ",745 ,"1,209 ",-464 ,"3,081 ","23,235 ","23,732 ",-497 ,"17,641 ","13,104 ","4,537 ","4,040 ","5,870 ","4,541 ","1,330 ","5,369 "
2005．5．29～ 6．4,"5,286 ","5,122 ",165 ,"46,925 ","44,637 ","2,288 ","2,453 ","1,399 ","1,526 ",-127 ,"2,326 ","27,577 ","26,587 ",990 ,"14,823 ","14,855 ",-32 ,959 ,"6,045 ","9,264 ","-3,219 ","-2,261 "
2005．6．5～ 6．11,"2,347 ","3,098 ",-751 ,"33,541 ","28,105 ","5,436 ","4,685 ","1,546 ","1,333 ",213 ,"4,898 ","25,377 ","28,187 ","-2,810 ","24,181 ","14,640 ","9,541 ","6,731 ","5,497 ","4,250 ","1,247 ","7,978 "
2005．6．12～ 6．18,"2,574 ","2,549 ",25 ,"22,567 ","29,080 ","-6,514 ","-6,488 ","1,164 ","1,958 ",-794 ,"-7,283 ","22,797 ","20,012 ","2,785 ","15,854 ","19,984 ","-4,131 ","-1,346 ","4,449 ","5,295 ",-847 ,"-2,192 "
2005．6．19～ 6．25,"2,473 ","2,023 ",450 ,"37,135 ","19,420 ","17,716 ","18,165 ","2,457 ","2,513 ",-56 ,"18,109 ","21,787 ","20,075 ","1,712 ","15,105 ","19,216 ","-4,111 ","-2,399 ","3,939 ","7,699 ","-3,760 ","-6,159 "
2005．6．26～ 7．2,"3,544 ","3,467 ",76 ,"32,495 ","34,992 ","-2,497 ","-2,421 ","1,594 ","1,771 ",-176 ,"-2,597 ","23,562 ","22,820 ",742 ,"21,129 ","18,006 ","3,123 ","3,865 ","5,069 ","3,855 ","1,214 ","5,079 "
2005．7．3～ 7．9,"2,653 ","2,602 ",51 ,"19,378 ","16,820 ","2,558 ","2,609 ","1,243 ","1,139 ",104 ,"2,713 ","24,782 ","20,527 ","4,255 ","14,443 ","15,670 ","-1,227 ","3,027 ","3,087 ","3,928 ",-840 ,"2,187 "
2005．7．10～ 7．16,"2,733 ","4,155 ","-1,422 ","23,749 ","17,140 ","6,609 ","5,187 ","3,052 ","3,166 ",-114 ,"5,073 ","24,791 ","20,421 ","4,370 ","12,241 ","14,412 ","-2,171 ","2,199 ","6,912 ","3,023 ","3,888 ","6,087 "
2005．7．17～ 7．23,"3,915 ","3,647 ",269 ,"23,642 ","11,770 ","11,872 ","12,141 ","1,503 ","1,145 ",358 ,"12,499 ","20,467 ","19,200 ","1,267 ","8,927 ","11,871 ","-2,943 ","-1,676 ","4,174 ","4,252 ",-78 ,"-1,754 "
2005．7．24～ 7．30,"3,313 ","3,363 ",-49 ,"18,133 ","17,925 ",208 ,159 ,"1,633 ","1,803 ",-170 ,-11 ,"27,824 ","24,485 ","3,339 ","14,259 ","14,246 ",13 ,"3,351 ","4,983 ","3,833 ","1,151 ","4,502 "
2005．7．31～ 8．6,"3,515 ","3,067 ",447 ,"21,520 ","20,780 ",740 ,"1,188 ","2,018 ","2,590 ",-572 ,615 ,"33,708 ","28,758 ","4,949 ","18,710 ","19,713 ","-1,003 ","3,947 ","5,916 ","3,793 ","2,123 ","6,070 "
2005．8．7～ 8．13,"3,076 ","3,320 ",-243 ,"19,639 ","18,085 ","1,554 ","1,311 ","1,245 ","1,483 ",-238 ,"1,072 ","39,008 ","31,786 ","7,223 ","22,903 ","24,188 ","-1,285 ","5,938 ","6,583 ","8,472 ","-1,888 ","4,050 "
2005．8．14～ 8．20,"2,891 ","2,580 ",312 ,"15,917 ","14,711 ","1,206 ","1,518 ","1,570 ","1,505 ",65 ,"1,583 ","34,945 ","30,467 ","4,477 ","13,704 ","16,400 ","-2,696 ","1,782 ","7,620 ","2,887 ","4,733 ","6,515 "
2005．8．21～ 8．27,"2,059 ","1,776 ",283 ,"20,054 ","18,136 ","1,918 ","2,200 ","1,604 ","1,624 ",-20 ,"2,181 ","38,103 ","34,256 ","3,847 ","14,240 ","13,115 ","1,125 ","4,973 ","3,720 ","7,840 ","-4,120 ",852 
2005．8．28～ 9．3,"3,503 ","3,273 ",230 ,"36,909 ","28,633 ","8,276 ","8,505 ","1,306 ","1,377 ",-71 ,"8,434 ","30,465 ","27,967 ","2,498 ","16,608 ","13,709 ","2,899 ","5,397 ","4,634 ","5,688 ","-1,054 ","4,343 "
2005．9．4～ 9．10,"2,956 ","1,911 ","1,045 ","24,723 ","17,747 ","6,975 ","8,021 ","1,921 ","2,059 ",-139 ,"7,882 ","42,249 ","35,384 ","6,865 ","20,196 ","19,497 ",699 ,"7,564 ","2,465 ","4,873 ","-2,409 ","5,155 "
2005．9．11～ 9．17,"2,975 ","3,108 ",-132 ,"20,838 ","27,776 ","-6,938 ","-7,071 ","1,126 ","2,396 ","-1,270 ","-8,340 ","36,668 ","32,759 ","3,909 ","24,172 ","20,755 ","3,418 ","7,327 ","4,759 ","8,035 ","-3,276 ","4,051 "
2005．9．18～ 9．24,"2,139 ","1,628 ",511 ,"14,847 ","13,880 ",966 ,"1,477 ","1,463 ","1,737 ",-275 ,"1,203 ","28,971 ","29,861 ",-890 ,"11,760 ","17,214 ","-5,454 ","-6,344 ","3,365 ","7,789 ","-4,424 ","-10,769 "
2005．9．25～ 10．1,"3,519 ","3,008 ",511 ,"19,204 ","16,294 ","2,910 ","3,420 ","1,684 ","2,329 ",-645 ,"2,775 ","54,625 ","49,785 ","4,839 ","19,370 ","21,239 ","-1,869 ","2,970 ","4,452 ","3,338 ","1,113 ","4,083 "
2005．10．2～ 10．8,"4,028 ","3,101 ",927 ,"27,993 ","13,197 ","14,795 ","15,722 ","2,215 ","1,547 ",668 ,"16,390 ","50,196 ","48,928 ","1,268 ","18,381 ","21,599 ","-3,218 ","-1,950 ","4,003 ","6,542 ","-2,540 ","-4,490 "
