date,fund_code,fund_name,total_shares_wan
2019-03-01,518880,黄金ETF华安,245404.08
2019-03-04,518880,黄金ETF华安,244444.08
2019-03-05,518880,黄金ETF华安,242254.08
2019-03-06,518880,黄金ETF华安,241864.08
2019-03-07,518880,黄金ETF华安,242734.08
2019-03-08,518880,黄金ETF华安,243214.08
2019-03-11,518880,黄金ETF华安,243154.08
2019-03-12,518880,黄金ETF华安,244264.08
2019-03-13,518880,黄金ETF华安,245584.08
2019-03-14,518880,黄金ETF华安,243964.08
2019-03-15,518880,黄金ETF华安,241324.08
2019-03-18,518880,黄金ETF华安,237694.08
2019-03-19,518880,黄金ETF华安,236644.08
2019-03-20,518880,黄金ETF华安,235414.08
2019-03-21,518880,黄金ETF华安,235114.08
2019-03-22,518880,黄金ETF华安,234304.08
2019-03-25,518880,黄金ETF华安,234364.08
2019-03-26,518880,黄金ETF华安,236914.08
2019-03-27,518880,黄金ETF华安,235744.08
2019-03-28,518880,黄金ETF华安,235024.08
2019-03-29,518880,黄金ETF华安,234724.08
2019-04-01,518880,黄金ETF华安,229834.08
2019-04-02,518880,黄金ETF华安,228304.08
2019-04-03,518880,黄金ETF华安,233614.08
2019-04-04,518880,黄金ETF华安,236614.08
2019-04-08,518880,黄金ETF华安,237304.08
2019-04-09,518880,黄金ETF华安,237034.08
2019-04-10,518880,黄金ETF华安,237064.08
2019-04-11,518880,黄金ETF华安,238354.08
2019-04-12,518880,黄金ETF华安,235804.08
2019-04-15,518880,黄金ETF华安,235384.08
2019-04-16,518880,黄金ETF华安,234064.08
2019-04-17,518880,黄金ETF华安,235294.08
2019-04-18,518880,黄金ETF华安,236374.08
2019-04-19,518880,黄金ETF华安,238834.08
2019-04-22,518880,黄金ETF华安,235804.08
2019-04-23,518880,黄金ETF华安,232804.08
2019-04-24,518880,黄金ETF华安,223504.08
2019-04-25,518880,黄金ETF华安,211954.08
2019-04-26,518880,黄金ETF华安,197104.08
2019-04-29,518880,黄金ETF华安,184204.08
2019-04-30,518880,黄金ETF华安,179074.08
2019-05-06,518880,黄金ETF华安,177814.08
2019-05-07,518880,黄金ETF华安,175144.08
2019-05-08,518880,黄金ETF华安,175534.08
2019-05-09,518880,黄金ETF华安,175924.08
2019-05-10,518880,黄金ETF华安,175954.08
2019-05-13,518880,黄金ETF华安,176014.08
2019-05-14,518880,黄金ETF华安,174664.08
2019-05-15,518880,黄金ETF华安,170434.08
2019-05-16,518880,黄金ETF华安,162244.08
2019-05-17,518880,黄金ETF华安,158674.08
2019-05-20,518880,黄金ETF华安,157924.08
2019-05-21,518880,黄金ETF华安,156004.08
2019-05-22,518880,黄金ETF华安,156544.08
2019-05-23,518880,黄金ETF华安,159754.08
2019-05-24,518880,黄金ETF华安,159424.08
2019-05-27,518880,黄金ETF华安,162454.08
2019-05-28,518880,黄金ETF华安,162514.08
2019-05-29,518880,黄金ETF华安,165694.08
2019-05-30,518880,黄金ETF华安,166744.08
2019-05-31,518880,黄金ETF华安,169234.08
2019-06-03,518880,黄金ETF华安,171904.08
2019-06-04,518880,黄金ETF华安,175474.08
2019-06-05,518880,黄金ETF华安,177994.08
2019-06-06,518880,黄金ETF华安,181354.08
2019-06-10,518880,黄金ETF华安,181684.08
2019-06-11,518880,黄金ETF华安,177424.08
2019-06-12,518880,黄金ETF华安,172564.08
2019-06-13,518880,黄金ETF华安,173434.08
2019-06-14,518880,黄金ETF华安,176344.08
2019-06-17,518880,黄金ETF华安,178864.08
2019-06-18,518880,黄金ETF华安,179974.08
2019-06-19,518880,黄金ETF华安,182404.08
2019-06-20,518880,黄金ETF华安,178714.08
2019-06-21,518880,黄金ETF华安,176914.08
2019-06-24,518880,黄金ETF华安,174544.08
2019-06-25,518880,黄金ETF华安,174004.08
2019-06-26,518880,黄金ETF华安,177994.08
2019-06-27,518880,黄金ETF华安,179434.08
2019-06-28,518880,黄金ETF华安,179344.08
2019-07-01,518880,黄金ETF华安,179194.08
2019-07-02,518880,黄金ETF华安,176044.08
2019-07-03,518880,黄金ETF华安,176494.08
2019-07-04,518880,黄金ETF华安,176494.08
2019-07-05,518880,黄金ETF华安,177094.08
2019-07-08,518880,黄金ETF华安,178924.08
2019-07-09,518880,黄金ETF华安,180604.08
2019-07-10,518880,黄金ETF华安,181114.08
2019-07-11,518880,黄金ETF华安,184474.08
2019-07-12,518880,黄金ETF华安,184204.08
2019-07-15,518880,黄金ETF华安,183304.08
2019-07-16,518880,黄金ETF华安,184324.08
2019-07-17,518880,黄金ETF华安,183844.08
2019-07-18,518880,黄金ETF华安,184594.08
2019-07-19,518880,黄金ETF华安,185554.08
2019-07-22,518880,黄金ETF华安,186124.08
2019-07-23,518880,黄金ETF华安,186214.08
2019-07-24,518880,黄金ETF华安,187384.08
2019-07-25,518880,黄金ETF华安,188224.08
2019-07-26,518880,黄金ETF华安,188674.08
2019-07-29,518880,黄金ETF华安,189364.08
2019-07-30,518880,黄金ETF华安,189664.08
2019-07-31,518880,黄金ETF华安,189484.08
2019-08-01,518880,黄金ETF华安,189184.08
2019-08-02,518880,黄金ETF华安,189514.08
2019-08-05,518880,黄金ETF华安,193534.08
2019-08-06,518880,黄金ETF华安,195214.08
2019-08-07,518880,黄金ETF华安,199564.08
2019-08-08,518880,黄金ETF华安,203044.08
2019-08-09,518880,黄金ETF华安,209194.08
2019-08-12,518880,黄金ETF华安,211504.08
2019-08-13,518880,黄金ETF华安,217264.08
2019-08-14,518880,黄金ETF华安,222724.08
2019-08-15,518880,黄金ETF华安,230404.08
2019-08-16,518880,黄金ETF华安,233164.08
2019-08-19,518880,黄金ETF华安,234844.08
2019-08-20,518880,黄金ETF华安,236074.08
2019-08-21,518880,黄金ETF华安,236914.08
2019-08-22,518880,黄金ETF华安,236404.08
2019-08-23,518880,黄金ETF华安,235624.08
2019-08-26,518880,黄金ETF华安,234904.08
2019-08-27,518880,黄金ETF华安,236434.08
2019-08-28,518880,黄金ETF华安,236254.08
2019-08-29,518880,黄金ETF华安,238054.08
2019-08-30,518880,黄金ETF华安,245224.08
2019-09-02,518880,黄金ETF华安,251584.08
2019-09-03,518880,黄金ETF华安,253504.08
2019-09-04,518880,黄金ETF华安,254104.08
2019-09-05,518880,黄金ETF华安,253264.08
2019-09-06,518880,黄金ETF华安,251884.08
2019-09-09,518880,黄金ETF华安,255514.08
2019-09-10,518880,黄金ETF华安,252304.08
2019-09-11,518880,黄金ETF华安,248734.08
2019-09-12,518880,黄金ETF华安,247084.08
2019-09-16,518880,黄金ETF华安,253984.08
2019-09-17,518880,黄金ETF华安,257374.08
2019-09-18,518880,黄金ETF华安,257164.08
2019-09-19,518880,黄金ETF华安,256804.08
2019-09-20,518880,黄金ETF华安,255994.08
2019-09-23,518880,黄金ETF华安,257134.08
2019-09-24,518880,黄金ETF华安,256024.08
2019-09-25,518880,黄金ETF华安,255304.08
2019-09-26,518880,黄金ETF华安,253534.08
2019-09-27,518880,黄金ETF华安,252274.08
2019-09-30,518880,黄金ETF华安,252454.08
2019-10-08,518880,黄金ETF华安,252544.08
2019-10-09,518880,黄金ETF华安,252994.08
2019-10-10,518880,黄金ETF华安,253774.08
2019-10-11,518880,黄金ETF华安,253864.08
2019-10-14,518880,黄金ETF华安,253684.08
2019-10-15,518880,黄金ETF华安,253504.08
2019-10-16,518880,黄金ETF华安,252544.08
2019-10-17,518880,黄金ETF华安,251524.08
2019-10-18,518880,黄金ETF华安,249304.08
2019-10-21,518880,黄金ETF华安,249124.08
2019-10-22,518880,黄金ETF华安,249574.08
2019-10-23,518880,黄金ETF华安,249454.08
2019-10-24,518880,黄金ETF华安,249184.08
2019-10-25,518880,黄金ETF华安,250564.08
2019-10-28,518880,黄金ETF华安,249544.08
2019-10-29,518880,黄金ETF华安,249334.08
2019-10-30,518880,黄金ETF华安,249664.08
2019-10-31,518880,黄金ETF华安,249844.08
2019-11-01,518880,黄金ETF华安,249754.08
2019-11-04,518880,黄金ETF华安,248284.08
2019-11-05,518880,黄金ETF华安,247924.08
2019-11-06,518880,黄金ETF华安,247354.08
2019-11-07,518880,黄金ETF华安,246574.08
2019-11-08,518880,黄金ETF华安,246514.08
2019-11-11,518880,黄金ETF华安,246724.08
2019-11-12,518880,黄金ETF华安,244714.08
2019-11-13,518880,黄金ETF华安,242254.08
2019-11-14,518880,黄金ETF华安,240454.08
2019-11-15,518880,黄金ETF华安,239074.08
2019-11-18,518880,黄金ETF华安,238174.08
2019-11-19,518880,黄金ETF华安,236914.08
2019-11-20,518880,黄金ETF华安,234124.08
2019-11-21,518880,黄金ETF华安,233854.08
2019-11-22,518880,黄金ETF华安,233584.08
2019-11-25,518880,黄金ETF华安,234784.08
2019-11-26,518880,黄金ETF华安,233674.08
2019-11-27,518880,黄金ETF华安,232894.08
2019-11-28,518880,黄金ETF华安,232924.08
2019-11-29,518880,黄金ETF华安,233884.08
2019-12-02,518880,黄金ETF华安,233404.08
2019-12-03,518880,黄金ETF华安,232264.08
2019-12-04,518880,黄金ETF华安,231694.08
2019-12-05,518880,黄金ETF华安,228694.08
2019-12-06,518880,黄金ETF华安,227854.08
2019-12-09,518880,黄金ETF华安,226234.08
2019-12-10,518880,黄金ETF华安,224614.08
2019-12-11,518880,黄金ETF华安,223774.08
2019-12-12,518880,黄金ETF华安,223504.08
2019-12-13,518880,黄金ETF华安,223084.08
2019-12-16,518880,黄金ETF华安,226654.08
2019-12-17,518880,黄金ETF华安,223384.08
2019-12-18,518880,黄金ETF华安,220234.08
2019-12-19,518880,黄金ETF华安,217414.08
2019-12-20,518880,黄金ETF华安,215734.08
2019-12-23,518880,黄金ETF华安,214564.08
2019-12-24,518880,黄金ETF华安,212374.08
2019-12-25,518880,黄金ETF华安,212044.08
2019-12-26,518880,黄金ETF华安,212464.08
2019-12-27,518880,黄金ETF华安,211714.08
2019-12-30,518880,黄金ETF华安,210454.08
2019-12-31,518880,黄金ETF华安,207814.08
2020-01-02,518880,黄金ETF华安,205894.08
