公表日,時刻,結果,予想,前回
2008/4,,-54.8,,
2008/5,,-49.7,,
2008/6,,-38.7,,
2008/7,,-43.2,,
2008/8,,-20.5,,
2008/9,,1.6,,
2008/10,,-42.3,,
2008/11,,-43,,
2008/12,,-35,,
2009/1,,,,
2009/2,,-41.2,,
2009/3,,-39.3,,
2009/4,,-14.5,,
2009/5,,1.9,,
2009/6,,5.5,,
2009/7,,18.7,,
2009/8,,34.2,,
2009/9,,49.1,,
2009/10,,48.2,,
2009/11,,43.4,,
2009/12,,38.5,,
2010/1,,,,
2010/2,,50.1,,
2010/3,,42.5,,
2010/4,,49.5,,
2010/5,,48.2,,
2010/6,,40.2,,
2010/7,,27.9,,
2010/8,,16.4,,
2010/9,,13.5,,
2010/10,,23.7,,
2010/11,,33.2,,
2010/12,,29.5,,
2011/1,,,,
2011/2,,34.5,,
2011/3,,-8.7,,
2011/4,,14.2,,
2011/5,,38.3,,
2011/6,,46.5,,
2011/7,,47.6,,
2011/8,,34.4,,
2011/9,,30.3,,
2011/10,,13.2,,
2011/11,,18.3,,
2011/12,,16.9,,
2012/1,,,,
2012/2,,28,,
2012/3,,33.8,,
2012/4,,35.8,,
2012/5,,27.1,,
2012/6,,12.6,,
2012/7,,15.1,,
2012/8,,19.5,,
2012/9,,17,,
2012/10,,17.2,,
2012/11,,26.4,,
2012/12,,,,
2013/1,,22.7,,
2013/2,,39.4,,
2013/3,,34.6,,
2013/4,,32.3,,
2013/5,,41.8,,
2013/6,,50.1,,
2013/7,,52.8,,
2013/8,,48.1,,
2013/9,,54.1,,
2013/10,,53.2,,
2013/11,,60.5,,
2013/12,,64.1,,
2014/1,,,,
2014/2,,70.8,,
2014/3,,67.3,,
2014/4,,64.8,,
2014/5,,53.5,,
2014/6,,42.8,,
2014/7,,39.7,,
2014/8,,24.4,,
2014/9,,13.4,,
2014/10,,26.5,,
2014/11,,31.5,,
2014/12,,30.4,,
2015/1,,,,
2015/2,,34.4,,
2015/3,,35.8,,
2015/4,,30.2,,
2015/5,,15.7,,
2015/6,,-2.3,,
2015/7,,-15.3,,
2015/8,,-29.1,,
2015/9,,-18.9,,
2015/10,,10.5,,
2015/11,,14.6,,
2015/12,,23,,
2016/1,,,,
2016/2,,7.1,,
2016/3,,3.2,,
2016/4,,6.2,,
2016/5,,11.3,,
2016/6,,20.2,,
2016/7,,16,,
2016/8,,15.5,,
2016/9,,27.9,,
2016/10,,24.5,,
2016/11,,20.5,,
2016/12,,21.7,,
2017/1,,,,
2017/2,,16.6,,
2017/3,,11.3,,
2017/4,,11,,
2017/5,,14.9,,
2017/6,,24.8,,
2017/7,,19.4,,
2017/8,,18.3,,
2017/9,,0,,
2017/10,,-10.1,,
2017/11,,-39.3,,
2017/12,,-37.8,,
2018/1,,,,
2018/2,,-19,,
2018/3,,-20,,
2018/4,,-23.4,,
2018/5,,-27.2,,
2018/6,,-39,,
2018/7,,-44.9,,
2018/8,,-50.3,,
2018/9,,-38.3,,
2018/10,,-37.1,,
2018/11,,-37.1,,
2018/12,,-24.1,,
2019/1,,,,
2019/2,,-30.9,,
2019/3,,-38,,
2019/4,,-37.5,,
2019/5,,-32,,
2019/6,,-38.1,,
2019/7,,-44.3,,
2019/8,,-52.3,,
2019/9,,-53.5,,
2019/10,,-42.4,,
2019/11,,-26.4,,
2019/12,,-13.2,,
2020/1,,,,
2020/2,,-19.4,,
2020/3,,-63.5,,
2020/4,,-66.6,,
2020/5,,-41.8,,
2020/6,,-34.4,,
2020/7,,-31.8,,
2020/8,,-41.8,,
2020/9,,-28.5,,
2020/10,,-15.7,,
2020/11,,-6.9,,
2020/12,,9.4,,
2021/1,,,,
2021/2,,7,,
2021/3,,-4.1,,
2021/4,,-2,,
2021/5,,1.8,,
2021/6,,-0.6,,
2021/7,,-3.8,,
2021/8,,-14.2,,
2021/9,,-7.2,,
2021/10,,-13.4,,
2021/11,,-16.4,,
2021/12,,-23.2,,
2022/1,,,,
2022/2,,-51.8,,
2022/3,,-41.9,,
2022/4,,-42,,
2022/5,,-55.6,,
2022/6,,-62.6,,
2022/7,,-56.7,,
2022/8,,-47.8,,
2022/9,,-36.7,,
2022/10,,-42.7,,
2022/11,,-57.1,,
2022/12,,-70.2,,
2023/1,,-52,,
2023/2,,-43.3,,
2023/3,,-43.4,,
2023/4,,-43.8,,
2023/5,,-31.1,,
2023/6,,-18,,
2023/7,,-13.1,,
2023/8,,-3.7,,
2023/9,,1.5,,
2023/10,,23.4,,
2023/11,,30.8,,
2023/12,,33.2,,
2024/1,,36.6,,
2024/2,,34.7,,
2024/3,,22.9,,
2024/4,,14.9,,
2024/5,,11.2,,
2024/6,,6.1,,
2024/7,,27.1,,
2024/8,,50.6,,
2024/9,,60.9,,
2024/10,,65.7,,
2024/11,,64.9,,
2024/12,,62.3,,
2025/1,,54.4,,
2025/2,,58.4,,
2025/3,,57.5,,
2025/4,,49.3,,
2025/5,,36.6,,
2025/6,,46.3,,
2025/7,,47.8,,
2025/8,,49.7,,
2025/9,,49.6,,
2025/10,,58.1,,
2025/11,,67.1,,
2025/12,,73.6,,
2026/1,,64.1,,
2026/2,,59.2,,
