公表日,時間,結果,予想,前回
"Nov 29, 2017",4:30,1.821M,,-6.356M
"Dec 06, 2017",4:30,-5.481M,,1.821M
"Dec 13, 2017",4:30,-7.382M,,-5.481M
"Dec 20, 2017",4:30,-5.222M,,-7.382M
"Dec 28, 2017",4:30,-6M,-3.8M,-5.222M
"Jan 04, 2018",6:30,-4.992M,-3.1M,-6M
"Jan 10, 2018",4:30,-11.19M,-3.9M,-4.992M
"Jan 18, 2018",4:30,-5.121M,-2.5M,-11.19M
"Jan 24, 2018",4:30,4.755M,-1.6M,-5.121M
"Jan 31, 2018",4:30,3.229M,-1.8M,4.755M
"Feb 07, 2018",4:30,-1.05M,-0.64M,3.229M
"Feb 14, 2018",4:30,3.947M,0.03M,-1.05M
"Feb 22, 2018",4:30,-0.907M,1.5M,3.947M
"Feb 28, 2018",4:30,0.933M,2.7M,-0.907M
"Mar 07, 2018",4:30,5.661M,0.19M,0.933M
"Mar 14, 2018",4:30,1.156M,-1.9M,5.661M
"Mar 21, 2018",3:30,-2.739M,-0.3M,1.156M
"Mar 28, 2018",2:30,5.321M,1M,-2.739M
"Apr 04, 2018",2:30,-3.28M,-2.6M,5.321M
"Apr 11, 2018",2:30,1.758M,-1.2M,-3.28M
"Apr 18, 2018",2:30,-1.047M,-2.1M,1.758M
"Apr 25, 2018",2:30,1.099M,1.3M,-1.047M
"May 02, 2018",2:30,3.427M,0.72M,1.099M
"May 09, 2018",2:30,-1.85M,0.7M,3.427M
"May 16, 2018",4:00,4.854M,-2M,-1.85M
"May 23, 2018",2:30,-1.3M,-3M,4.854M
"May 31, 2018",2:30,1.001M,1.2M,-1.3M
"Jun 06, 2018",2:30,-2.028M,0.13M,1.001M
"Jun 13, 2018",2:30,-0.73M,-2.8M,-2.028M
"Jun 20, 2018",2:30,-3.016M,-0.48M,0.833M
"Jun 27, 2018",2:30,-9.228M,-0.14M,-3.016M
"Jul 04, 2018",2:30,-4.5M,-2M,-9.228M
"Jul 11, 2018",2:30,-6.796M,-2.4M,-4.5M
"Jul 18, 2018",2:30,0.629M,-3M,-6.796M
"Jul 25, 2018",2:30,-3.16M,-2.9M,0.629M
"Aug 01, 2018",2:30,5.59M,-1.4M,-3.16M
"Aug 08, 2018",2:30,-6M,-0.67M,5.59M
"Aug 15, 2018",2:30,3.66M,0.95M,-6M
"Aug 22, 2018",2:30,-5.17M,0.02M,3.66M
"Aug 29, 2018",2:30,0.038M,0.61M,-5.17M
"Sep 06, 2018",2:30,-1.2M,-1.6M,0.038M
"Sep 12, 2018",2:30,-8.636M,0.14M,-1.2M
"Sep 19, 2018",2:30,1.25M,-0.92M,-8.636M
"Sep 26, 2018",2:30,2.903M,-0.09M,1.25M
"Oct 03, 2018",2:29,0.907M,1.5M,2.903M
"Oct 11, 2018",2:30,9.75M,-0.37M,0.907M
"Oct 17, 2018",2:30,-2.1M,2M,9.75M
"Oct 24, 2018",2:30,9.88M,2.3M,-2.1M
"Oct 31, 2018",3:30,5.7M,1.7M,9.88M
"Nov 07, 2018",4:30,7.83M,4.1M,5.7M
"Nov 15, 2018",4:30,8.79M,2.9M,7.83M
"Nov 21, 2018",4:30,-1.545M,4.8M,8.79M
"Nov 28, 2018",4:30,3.453M,3.2M,-1.545M
"Dec 05, 2018",5:30,5.36M,1.9M,3.453M
"Dec 12, 2018",4:30,-10.18M,2.1M,5.36M
"Dec 19, 2018",4:30,3.45M,-2.45M,-10.18M
"Dec 28, 2018",21:30,6.92M,1.3M,3.45M
"Jan 04, 2019",4:30,-4.5M,,6.92M
"Jan 09, 2019",4:30,-6.27M,-3.4M,-4.5M
"Jan 16, 2019",4:30,-0.56M,-3M,-6.27M
"Jan 24, 2019",4:30,6.55M,,-0.56M
"Jan 30, 2019",4:30,2.098M,,6.55M
"Feb 06, 2019",4:30,2.514M,,2.098M
"Feb 13, 2019",4:30,-0.998M,,2.514M
"Feb 21, 2019",4:30,1.26M,,-0.998M
"Feb 27, 2019",4:30,-4.2M,,1.26M
"Mar 06, 2019",4:30,7.29M,0.6M,-4.2M
"Mar 13, 2019",3:30,-2.58M,2.873M,7.29M
"Mar 20, 2019",3:30,-2.133M,,-2.58M
"Mar 27, 2019",3:30,1.93M,,-2.133M
"Apr 03, 2019",2:30,2.963M,-1.6M,1.927M
"Apr 10, 2019",2:30,4.091M,,2.963M
"Apr 17, 2019",2:30,-3.096M,,4.091M
"Apr 24, 2019",2:30,6.9M,,-3.096M
"May 01, 2019",2:30,6.81M,,6.9M
"May 08, 2019",2:30,2.806M,,6.81M
"May 15, 2019",3:30,8.6M,,2.806M
"May 22, 2019",3:30,2.4M,,8.6M
"May 30, 2019",3:30,-5.265M,,2.4M
"Jun 05, 2019",2:30,3.545M,,-5.265M
"Jun 12, 2019",3:30,4.85M,,3.545M
"Jun 19, 2019",4:30,-0.812M,,4.85M
"Jun 26, 2019",2:30,-7.55M,,-0.812M
"Jul 03, 2019",2:30,-5M,,-7.55M
"Jul 10, 2019",2:30,-8.129M,,-5M
"Jul 17, 2019",2:30,-1.401M,,-8.129M
"Jul 24, 2019",2:30,-10.961M,,-1.401M
"Jul 31, 2019",2:30,-6.024M,,-10.961M
"Aug 07, 2019",2:30,-3.4M,,-6.024M
"Aug 14, 2019",2:30,-2.19M,,-3.4M
"Aug 21, 2019",4:00,-3.5M,,3.7M
"Aug 28, 2019",2:30,-11.1M,,-3.5M
"Sep 05, 2019",2:30,0.401M,,-11.1M
"Sep 11, 2019",2:30,-7.2M,,0.401M
"Sep 18, 2019",2:30,0.592M,,-7.2M
"Sep 25, 2019",2:30,1.4M,,0.592M
"Oct 02, 2019",2:30,-5.92M,,1.4M
"Oct 09, 2019",2:30,4.13M,,-5.92M
"Oct 17, 2019",2:30,10.5M,,4.13M
"Oct 23, 2019",2:30,4.45M,,10.5M
"Oct 30, 2019",3:30,-0.708M,,4.45M
"Nov 06, 2019",4:30,4.26M,,-0.708M
"Nov 14, 2019",5:30,-0.5M,,4.26M
"Nov 20, 2019",4:30,5.954M,,-0.5M
"Nov 27, 2019",4:30,3.639M,,5.954M
"Dec 04, 2019",4:30,-3.72M,,3.639M
"Dec 11, 2019",4:30,1.41M,,-3.72M
"Dec 18, 2019",4:30,4.7M,,1.41M
"Dec 25, 2019",4:30,-7.9M,,4.7M
"Jan 01, 2020",6:30,-7.8M,,-7.9M
"Jan 08, 2020",4:30,-5.945M,,-7.8M
"Jan 15, 2020",4:30,1.1M,,-5.945M
"Jan 23, 2020",4:30,1.6M,,1.1M
"Jan 29, 2020",4:30,-4.267M,,1.6M
"Feb 05, 2020",4:30,4.18M,,-4.27M
"Feb 12, 2020",4:30,6M,,4.18M
"Feb 20, 2020",4:30,4.2M,,6M
"Feb 26, 2020",4:30,1.3M,,4.2M
"Mar 04, 2020",4:45,1.69M,,1.3M
"Mar 11, 2020",4:30,6.407M,,1.69M
"Mar 18, 2020",3:30,-0.421M,,6.407M
"Mar 25, 2020",3:30,-1.25M,,-0.421M
"Apr 01, 2020",2:30,10.485M,,-1.25M
"Apr 08, 2020",2:30,11.938M,,10.485M
"Apr 15, 2020",2:30,13.143M,,11.938M
"Apr 22, 2020",2:30,13.226M,,13.143M
"Apr 29, 2020",2:30,10M,,13.226M
"May 06, 2020",2:30,8.4M,,10M
"May 13, 2020",2:30,7.58M,,8.4M
"May 20, 2020",2:30,-4.8M,,7.58M
"May 28, 2020",2:30,8.7M,,-4.8M
"Jun 03, 2020",2:30,-0.5M,,8.7M
"Jun 10, 2020",2:30,8.4M,,-0.5M
"Jun 17, 2020",2:30,3.9M,,8.4M
"Jun 24, 2020",2:30,1.7M,,3.9M
"Jul 01, 2020",2:30,-8.156M,,1.749M
"Jul 08, 2020",2:30,2M,,-8.156M
"Jul 15, 2020",2:30,-8.322M,,2M
"Jul 22, 2020",2:30,7.544M,,-8.322M
"Jul 29, 2020",2:30,-6.829M,,7.544M
"Aug 05, 2020",2:30,-8.587M,,-6.829M
"Aug 12, 2020",2:30,-4.4M,,-8.587M
