公表日時,発表時間,結果,予想,前回
2010/1,,-0.7,,4.2
2010/2,,2.2,,-7
2010/3,,4.4,,2.2
2010/4,,-2.3,,4.4
2010/5,,0.8,,-2.3
2010/6,,1.2,,0.8
2010/7,,0.5,,1.2
2010/8,,1,,0.5
2010/9,,0.5,,1
2010/10,,0.8,,0.5
2010/11,,0.7,,0.8
2010/12,,-0.3,,0.7
2011/1,,2.3,,-0.3
2011/2,,-0.4,,2.3
2011/3,,-3.5,,-0.4
2011/4,,5.2,,-3.5
2011/5,,-2.1,,5.2
2011/6,,-0.6,,-2.1
2011/7,,0.6,,-0.6
2011/8,,-0.6,,0.6
2011/9,,0.3,,-0.6
2011/10,,-0.6,,0.3
2011/11,,-1.6,,-0.6
2011/12,,2.2,,-1.6
2012/1,,-0.3,,2.2
2012/2,,-0.3,,-0.3
2012/3,,1.3,,-0.3
2012/4,,-3.3,,1.3
2012/5,,1.3,,-3.3
2012/6,,1.4,,1.3
2012/7,,0.1,,1.4
2012/8,,-0.4,,0.1
2012/9,,1.5,,-0.4
2012/10,,-0.1,,1.5
2012/11,,0.4,,-0.1
2012/12,,0.3,,0.4
2013/1,,1.9,,0.3
2013/2,,2.7,,1.9
2013/3,,1.9,,2.7
2013/4,,-2.2,,1.9
2013/5,,1.8,,-2.2
2013/6,,1.4,,1.8
2013/7,,2.2,,1.4
2013/8,,1.8,,2.2
2013/9,,0.7,,1.8
2013/10,,0.8,,0.7
2013/11,,0.6,,0.8
2013/12,,0.4,,0.6
2014/1,,3.9,,0.4
2014/2,,-1,,3.9
2014/3,,-1.7,,-1
2014/4,,4.2,,-1.7
2014/5,,0.5,,4.2
2014/6,,-0.8,,0.5
2014/7,,-0.3,,-0.8
2014/8,,1.3,,-0.3
2014/9,,-2.1,,1.3
2014/10,,0,,-2.1
2014/11,,0.9,,0
2014/12,,-0.4,,0.9
2015/1,,0.2,,-0.4
2015/2,,0.2,,0.2
2015/3,,3.2,,0.2
2015/4,,-2.4,,3.2
2015/5,,0,,-2.4
2015/6,,1.8,,0
2015/7,,1.2,,1.8
2015/8,,-1,,1.2
2015/9,,2.6,,-1
2015/10,,-0.2,,2.6
2015/11,,-0.4,,-0.2
2015/12,,0.1,,-0.4
2016/1,,2.6,,0.1
2016/2,,0.1,,2.6
2016/3,,-0.7,,0.1
2016/4,,-0.9,,-0.7
2016/5,,0.5,,-0.9
2016/6,,-0.5,,0.5
2016/7,,1.1,,-0.5
2016/8,,-0.9,,1.1
2016/9,,0.4,,-0.9
2016/10,,1.7,,0.4
2016/11,,0.6,,1.7
2016/12,,1,,0.6
2017/1,,-0.6,,1
2017/2,,-0.4,,-0.6
2017/3,,-1,,-0.4
2017/4,,5.6,,-1
