公表日時,発表時間,結果,予想,前回
2010/1,,2.3,,
2010/2,,1.7,,
2010/3,,1.2,,
2010/4,,2,,
2010/5,,1.8,,
2010/6,,1.5,,
2010/7,,1.5,,
2010/8,,1.7,,
2010/9,,1.9,,
2010/10,,2.2,,
2010/11,,2,,
2010/12,,2.1,,
2011/1,,2.5,,
2011/2,,2.7,,
2011/3,,2.4,,
2011/4,,2.5,,
2011/5,,2.3,,
2011/6,,2.9,,
2011/7,,2.8,,
2011/8,,2.7,,
2011/9,,2.7,,
2011/10,,2.1,,
2011/11,,2,,
2011/12,,1.7,,
2012/1,,1.4,,
2012/2,,1.2,,
2012/3,,1.5,,
2012/4,,1.3,,
2012/5,,1.5,,
2012/6,,1.1,,
2012/7,,1,,
2012/8,,1.1,,
2012/9,,1,,
2012/10,,1.5,,
2012/11,,1.5,,
2012/12,,1.5,,
2013/1,,0.6,,
2013/2,,1.1,,
2013/3,,1.4,,
2013/4,,0.4,,
2013/5,,-0.1,,
2013/6,,-0.2,,
2013/7,,-0.5,,
2013/8,,-0.5,,
2013/9,,-0.2,,
2013/10,,-0.5,,
2013/11,,-0.3,,
2013/12,,-0.8,,
2014/1,,-1,,
2014/2,,-1.4,,
2014/3,,-1.7,,
2014/4,,-1.4,,
2014/5,,-1.4,,
2014/6,,-1.8,,
2014/7,,-1.9,,
2014/8,,-1.6,,
2014/9,,-1.8,,
2014/10,,-1.9,,
2014/11,,-1.9,,
2014/12,,-1.7,,
2015/1,,-1.3,,
2015/2,,-1.7,,
2015/3,,-2.1,,
2015/4,,-1.9,,
2015/5,,-1.9,,
2015/6,,-1.3,,
2015/7,,-1.4,,
2015/8,,-1.4,,
2015/9,,-1.9,,
2015/10,,-1.8,,
2015/11,,-2.1,,
2015/12,,-2,,
2016/1,,-1.8,,
2016/2,,-2,,
2016/3,,-1.7,,
2016/4,,-1.7,,
2016/5,,-1.8,,
2016/6,,-2,,
2016/7,,-1.6,,
2016/8,,-2,,
2016/9,,-1.8,,
2016/10,,-1.7,,
2016/11,,-1.7,,
2016/12,,-1.4,,
2017/1,,-1.7,,
2017/2,,-1,,
2017/3,,-0.8,,
2017/4,,-0.5,,
2017/5,,-0.4,,
2017/6,,-0.3,,
2017/7,,-0.4,,
2017/8,,-0.3,,
2017/9,,-0.1,,
2017/10,,-0.1,,
2017/11,,-0.1,,
2017/12,,-0.6,,
2018/1,,-0.5,,
2018/2,,-0.8,,
2018/3,,-1,,
2018/4,,-1,,
2018/5,,-1.1,,
2018/6,,-0.5,,
2018/7,,-0.3,,
2018/8,,0.1,,
2018/9,,0.2,,
2018/10,,-0.2,,
2018/11,,0.1,,
2018/12,,0.3,,
2019/1,,0.4,,
2019/2,,0.7,,
2019/3,,0.9,,
2019/4,,0.4,,
2019/5,,0.8,,
2019/6,,-0.1,,
2019/7,,-0.1,,
2019/8,,-0.4,,
2019/9,,-0.6,,
2019/10,,-0.4,,
2019/11,,-0.5,,
2019/12,,-0.4,,
2020/1,,-0.3,,
2020/2,,-0.6,,
2020/3,,-0.8,,
2020/4,,-1.7,,
2020/5,,-2.4,,
2020/6,,-1.6,,
2020/7,,-1.3,,
2020/8,,-1.6,,
2020/9,,-1.6,,
2020/10,,-1.2,,
2020/11,,-1.8,,
2020/12,,-1.8,,
2021/1,9:01,-2.2,,-1.8
2021/2,9:01,-2.4,,-2.2
2021/3,8:01,-2.4,,-2.4
2021/4,8:01,-1.3,,-2.4
2021/5,8:01,-0.6,,-1.3
2021/6,8:01,-0.7,,-0.6
2021/7,8:01,-1.2,,-0.7
2021/8,8:01,-0.8,,-1.2
2021/9,8:01,-0.5,,-0.8
2021/10,8:01,-0.4,,-0.5
2021/11,9:01,0.3,,-0.4
2021/12,9:01,0.8,,0.3
2022/1,9:01,1.5,,0.8
2022/2,9:01,1.8,,1.5
2022/3,8:01,2.1,,1.8
2022/4,8:01,2.7,,2.1
2022/5,8:01,2.8,,2.7
2022/6,8:01,3.1,,2.8
2022/7,8:01,4.4,,3.1
2022/8,8:01,5.1,,4.4
2022/9,8:01,5.7,,5.1
2022/10,9:01,6.6,5.5,5.7
2022/11,9:01,7.4,,6.6
2022/12,9:01,7.3,,7.4
2023/1,9:01,8,,7.3
2023/2,9:01,8.4,,8
2023/3,8:00,8.9,,8.4
2023/4,8:00,8.8,,8.9
2023/5,8:01,9,,8.8
2023/6,8:01,8.4,,9
2023/7,8:01,7.6,,8.4
2023/8,8:01,6.9,,7.6
2023/9,8:01,6.2,,6.9
2023/10,9:01,5.2,,6.2
2023/11,9:01,4.3,,5.2
2023/12,9:01,4.3,,4.3
2024/1,9:01,2.9,,4.3
2024/2,9:01,2.5,,2.9
2024/3,8:01,1.3,2.2,2.5
2024/4,8:00,0.8,,1.3
2024/5,8:01,0.6,,0.8
2024/6,8:01,0.2,,0.6
2024/7,8:01,0.2,,0.2
2024/8,8:01,-0.3,,0.2
2024/9,8:01,-0.6,-0.3,-0.3
2024/10,9:01,-0.8,-0.5,-0.6
2024/11,9:01,-0.6,,-0.8
2024/12,9:01,-1,-0.4,-0.6
2025/1,9:01,-0.7,,-1
2025/2,9:01,-0.7,-0.5,-0.7
2025/3,8:01,-0.4,,-0.7
2025/4,8:01,-0.1,-0.2,-0.4
2025/5,8:01,-0.1,0,-0.1
2025/6,8:01,0.4,0.2,-0.1
2025/7,8:01,0.7,0.2,0.4
2025/8,8:01,0.9,0.9,0.7
2025/9,8:01,1.4,1.2,0.9
2025/10,9:01,1,1.6,1.4
2025/11,9:01,0.6,0.9,1
2025/12,9:01,0.7,,0.6
