公表日時,発表時間,結果,予想,前回
2010/1,,-39,,
2010/2,,-36,,
2010/3,,-37,,
2010/4,,-36,,
2010/5,,-18,,
2010/6,,-23,,
2010/7,,-16,,
2010/8,,-14,,
2010/9,,-17,,
2010/10,,-28,,
2010/11,,-15,,
2010/12,,-3,,
2011/1,,-16,,
2011/2,,-8,,
2011/3,,5,,
2011/4,,-11,,
2011/5,,-2,,
2011/6,,1,,
2011/7,,-10,,
2011/8,,1,,
2011/9,,-9,,
2011/10,,-18,,
2011/11,,-19,,
2011/12,,-23,,
2012/1,,-16,,
2012/2,,-3,,
2012/3,,-8,,
2012/4,,-8,,
2012/5,,-17,,
2012/6,,-11,,
2012/7,,-6,,
2012/8,,-21,,
2012/9,,-8,,
2012/10,,-23,,
2012/11,,-21,,
2012/12,,-12,,
2013/1,,-20,,
2013/2,,-14,,
2013/3,,-15,,
2013/4,,-25,,
2013/5,,-20,,
2013/6,,-18,,
2013/7,,-12,,
2013/8,,0,,
2013/9,,9,,
2013/10,,-4,,
2013/11,,11,,
2013/12,,12,,
2014/1,,-2,,
2014/2,,3,,
2014/3,,6,,
2014/4,,-1,,
2014/5,,0,,
2014/6,,11,,
2014/7,,2,,
2014/8,,11,,
2014/9,,-4,,
2014/10,,-6,,
2014/11,,3,,
2014/12,,5,,
2015/1,,4,,
2015/2,,10,,
2015/3,,0,,
2015/4,,1,,
2015/5,,-5,,
2015/6,,-7,1,-5
2015/7,,-10,-4,-7
2015/8,,-1,-10,-10
2015/9,,-7,0,-1
2015/10,,-18,-8,-7
2015/11,,-11,-10,-18
2015/12,,-7,-10,-11
2016/1,,-15,-10,-7
2016/2,,-17,-12,-15
2016/3,,-14,-14,-17
2016/4,,-11,-15,-14
2016/5,,-8,-13,-11
2016/6,,-2,-10,-8
2016/7,,-4,-6,-2
2016/8,,-5,-9,-4
2016/9,,-5,-5,-5
2016/10,,-17,-4,-5
2016/11,,-3,-9,-17
2016/12,,0,-5,-3
2017/1,,5,2,0
2017/2,,8,3,5
2017/3,,8,5,8
2017/4,,4,5,8
2017/5,,9,4,4
2017/6,,16,7,9
2017/7,,10,11,16
2017/8,,13,9,10
2017/9,,7,13,13
2017/10,,-2,9,7
2017/11,,17,3,-2
2017/12,,17,14,17
2018/1,,14,13,17
2018/2,,10,12,14
2018/3,,4,9,10
2018/4,,4,4,4
2018/5,,-3,2,4
2018/6,,13,1,-3
2018/7,,11,8,13
2018/8,,7,10,11
2018/9,,-1,5,7
2018/10,,-6,-1,-1
2018/11,,10,-6,-6
2018/12,,8,6,10
2019/1,,-1,5,8
2019/2,,6,-5,-1
2019/3,,1,5,6
2019/4,,-5,3,1
2019/5,,-10,-5,-5
2019/6,,-15,-12,-10
2019/7,,-34,-15,-15
2019/8,,-13,-25,-34
2019/9,,-28,-14,-13
2019/10,,-37,-28,-28
2019/11,,-26,-31,-37
2019/12,,-28,-25,-26
2020/1,,-22,-25,-28
2020/2,,-18,-19,-22
2020/3,,-29,-35,-18
2020/4,,-56,-53,-29
2020/5,,-62,-59,-56
2020/6,,-58,,-62
2020/7,,-46,-38,-58
2020/8,,-44,-35,-46
2020/9,,-48,-40,-44
2020/10,,-34,-45,-48
2020/11,,-40,-39,-34
2020/12,,-25,-34,-40
2021/1,,-38,-35,-25
2021/2,,-24,-35,-38
2021/3,,-5,-20,-24
2021/4,,-8,2,-5
2021/5,,17,,-8
2021/6,,19,18,17
2021/7,,17,16,19
2021/8,,18,16,17
2021/9,,22,15,18
2021/10,,9,18,22
2021/11,,26,18,9
2021/12,,24,,26
2022/1,,24,22,24
2022/2,,20,25,24
2022/3,,26,16,20
2022/4,,14,21,26
2022/5,,26,,14
2022/6,,18,22,26
2022/7,,8,13,18
2022/8,,-7,3,8
2022/9,,-2,-11,-7
2022/10,,-4,-12,-2
2022/11,,-5,-8,-4
2022/12,,-6,-9,-5
2023/1,,-17,-8,-6
2023/2,,-16,-14,-17
2023/3,,-20,-15,-16
2023/4,,-20,-20,-20
2023/5,,-17,-19,-20
2023/6,,-15,-17,-17
2023/7,,-9,-17,-15
2023/8,,-15,-13,-9
2023/9,,-18,-18,-15
2023/10,,-26,-16,-18
2023/11,,-35,-25,-26
2023/12,,-23,,-35
2024/1,,-30,-23,-23
2024/2,,-20,-27,-30
2024/3,,-18,-20,-20
2024/4,,-23,-16,-18
2024/5,,-33,-20,-23
2024/6,,-18,-26,-33
2024/7,,-32,-19,-18
2024/8,,-22,-26,-32
2024/9,,-35,-23,-22
2024/10,,-27,-28,-35
2024/11,,-19,-25,-27
2024/12,,-40,-22,-19
2025/1,,-34,-35,-40
2025/2,,-28,-30,-34
2025/3,,-29,-30,-28
2025/4,,-26,-36,-29
2025/5,,-30,-24,-26
2025/6,,-33,-28,-30
2025/7,,-30,-27,-33
2025/8,,-33,-28,-30
2025/9,,-27,-30,-33
2025/10,,-38,-28,-27
2025/11,,-37,-33,-38
2025/12,,-32,-35,-37
