公表日,時間,結果,予想,前回
2010/1,0:00,55.9,53.5,53.6
2010/2,0:00,46,55,56.5
2010/3,23:00,52.5,50,46.4
2010/4,23:00,57.9,53.7,52.3
2010/5,23:00,63.3,58.3,57.7
2010/6,23:00,52.9,62,62.7
2010/7,23:00,50.4,51,54.3
2010/8,23:00,53.5,50,51
2010/9,23:00,48.5,52.9,53.2
2010/10,23:00,50.2,49,48.6
2010/11,0:00,54.1,52,49.9
2010/12,0:00,52.5,56.1,54.3
2011/1,0:00,60.6,53.5,53.3
2011/2,0:00,70.4,65.1,64.8
2011/3,23:00,63.4,65,72
2011/4,23:00,65.4,64.4,63.8
2011/5,23:00,60.8,66.3,66
2011/6,22:45,58.5,60.3,61.7
2011/7,23:00,59.5,56,57.6
2011/8,23:00,44.5,52.2,59.2
2011/9,23:00,45.4,46.5,45.2
2011/10,23:00,39.8,46,46.4
2011/11,0:00,56,43,40.9
2011/12,0:00,64.5,58.2,55.2
2012/1,0:00,61.1,68.2,64.8
2012/2,0:00,70.8,63,61.5
2012/3,23:00,70.2,70.3,71.6
2012/4,23:00,69.2,69.7,69.5
2012/5,23:00,64.9,70,68.7
2012/6,23:00,62,63.5,64.4
2012/7,23:00,65.9,61.5,62.7
2012/8,23:00,60.6,66,65.4
2012/9,23:00,70.3,63,61.3
2012/10,23:00,72.2,72.5,68.4
2012/11,0:00,73.7,73,73.1
2012/12,0:00,65.1,70,71.5
2013/1,0:00,58.6,64,66.7
2013/2,0:00,69.6,61,58.4
2013/3,23:00,59.7,68,68
2013/4,23:00,68.1,60.8,61.9
2013/5,23:00,76.2,71,69
2013/6,23:00,81.4,75.4,74.3
2013/7,23:00,80.3,81.4,82.1
2013/8,23:00,81.5,79,81
2013/9,23:00,79.7,79.9,81.8
2013/10,23:00,71.2,75,80.2
2013/11,0:00,70.4,72.9,72.4
2013/12,0:00,78.1,76,72
2014/1,0:00,80.7,78.1,77.5
2014/2,0:00,78.1,80,79.4
2014/3,23:00,82.3,78.6,78.3
2014/4,23:00,82.3,83,83.9
2014/5,23:00,83,83,81.7
2014/6,23:00,85.2,83.5,82.2
2014/7,23:00,90.9,85.3,86.4
2014/8,23:00,92.4,89,90.3
2014/9,23:00,86,92.5,93.4
2014/10,23:00,94.5,87,89
2014/11,0:00,88.7,95.9,94.1
2014/12,0:00,92.6,93.2,91
2015/1,0:00,102.9,95.1,93.1
2015/2,0:00,96.4,99.6,103.8
2015/3,23:00,101.3,96,98.8
2015/4,23:00,95.2,102.5,101.4
2015/5,23:00,95.4,94.9,94.3
2015/6,23:00,101.4,97.3,94.6
2015/7,23:00,90.9,100,99.8
2015/8,23:00,101.5,93.4,91
2015/9,23:00,103,96.1,101.3
2015/10,23:00,97.6,103,102.6
2015/11,0:00,90.4,99.5,99.1
2015/12,0:00,96.5,93.8,92.6
2016/1,0:00,98.1,96.5,96.3
2016/2,0:00,92.2,97,97.8
2016/3,23:00,96.2,94,94
2016/4,23:00,94.2,96,96.1
2016/5,23:00,92.6,96,94.7
2016/6,23:00,98,93.3,92.4
2016/7,23:00,97.3,95.9,97.4
2016/8,23:00,101.1,97,96.7
2016/9,23:00,104.1,99,101.8
2016/10,23:00,98.6,101,103.5
2016/11,0:00,107.1,101.2,100.8
2016/12,0:00,113.7,109,109.4
2017/1,0:00,111.8,113,113.3
2017/2,0:00,114.8,111,111.6
2017/3,23:00,125.6,114,116.1
2017/4,23:00,120.3,122.5,124.9
2017/5,23:00,117.9,119.8,119.4
2017/6,23:00,118.9,116,117.6
2017/7,23:00,121.1,116.5,117.3
2017/8,23:00,122.9,120.3,120
2017/9,23:00,119.8,120,120.4
2017/10,23:00,125.9,121,120.6
2017/11,0:00,129.5,124,126.2
2017/12,0:00,122.1,128,128.6
2018/1,0:00,125.4,123.1,123.1
2018/2,0:00,130.8,126.2,124.3
2018/3,23:00,127.7,131,130
2018/4,23:00,128.7,126,127
2018/5,23:00,128,128.2,125.6
2018/6,23:00,126.4,127.6,128.8
2018/7,23:00,127.4,126.5,127.1
2018/8,23:00,133.4,126.7,127.9
2018/9,23:00,138.4,132.2,134.7
2018/10,23:00,137.9,136,135.3
2018/11,0:00,135.7,135.9,137.9
2018/12,0:00,128.1,133.7,136.4
2019/1,0:00,120.2,124.7,126.6
2019/2,0:00,131.4,124.7,121.7
2019/3,23:00,124.1,132,131.4
2019/4,23:00,129.2,126,124.1
2019/5,23:00,134.1,130.1,129.2
2019/6,23:00,121.5,131.1,131.3
2019/7,23:00,135.7,125,124.3
2019/8,23:00,135.1,129.5,135.8
2019/9,23:00,125.1,134.1,134.2
2019/10,23:00,125.9,128,126.3
2019/11,0:00,125.5,127,126.1
2019/12,0:00,126.5,128.2,126.8
2020/1,0:00,131.6,128,128.2
2020/2,0:00,130.7,132,130.4
2020/3,23:00,120,110,132.6
2020/4,23:00,86.9,87.9,118.8
2020/5,23:00,86.6,88,85.7
2020/6,23:00,98.1,91.8,85.9
2020/7,23:00,92.6,94.5,98.3
2020/8,23:00,84.8,93,91.7
2020/9,23:00,101.8,89.2,86.3
2020/10,23:00,100.9,102,101.3
2020/11,0:00,96.1,98,101.4
2020/12,0:00,88.6,97,92.9
2021/1,0:00,89.3,89,87.1
2021/2,0:00,91.3,90,88.9
