Database：Monthly 
Time：Jan 2000-May 2026 
Indicators	,May 2026	,Apr 2026	,Mar 2026	,Feb 2026	,Jan 2026	,Dec 2025	,Nov 2025	,Oct 2025	,Sep 2025	,Aug 2025	,Jul 2025	,Jun 2025	,May 2025	,Apr 2025	,Mar 2025	,Feb 2025	,Jan 2025	,Dec 2024	,Nov 2024	,Oct 2024	,Sep 2024	,Aug 2024	,Jul 2024	,Jun 2024	,May 2024	,Apr 2024	,Mar 2024	,Feb 2024	,Jan 2024	,Dec 2023	,Nov 2023	,Oct 2023	,Sep 2023	,Aug 2023	,Jul 2023	,Jun 2023	,May 2023	,Apr 2023	,Mar 2023	,Feb 2023	,Jan 2023	,Dec 2022	,Nov 2022	,Oct 2022	,Sep 2022	,Aug 2022	,Jul 2022	,Jun 2022	,May 2022	,Apr 2022	,Mar 2022	,Feb 2022	,Jan 2022	,Dec 2021	,Nov 2021	,Oct 2021	,Sep 2021	,Aug 2021	,Jul 2021	,Jun 2021	,May 2021	,Apr 2021	,Mar 2021	,Feb 2021	,Jan 2021	,Dec 2020	,Nov 2020	,Oct 2020	,Sep 2020	,Aug 2020	,Jul 2020	,Jun 2020	,May 2020	,Apr 2020	,Mar 2020	,Feb 2020	,Jan 2020	,Dec 2019	,Nov 2019	,Oct 2019	,Sep 2019	,Aug 2019	,Jul 2019	,Jun 2019	,May 2019	,Apr 2019	,Mar 2019	,Feb 2019	,Jan 2019	,Dec 2018	,Nov 2018	,Oct 2018	,Sep 2018	,Aug 2018	,Jul 2018	,Jun 2018	,May 2018	,Apr 2018	,Mar 2018	,Feb 2018	,Jan 2018	,Dec 2017	,Nov 2017	,Oct 2017	,Sep 2017	,Aug 2017	,Jul 2017	,Jun 2017	,May 2017	,Apr 2017	,Mar 2017	,Feb 2017	,Jan 2017	,Dec 2016	,Nov 2016	,Oct 2016	,Sep 2016	,Aug 2016	,Jul 2016	,Jun 2016	,May 2016	,Apr 2016	,Mar 2016	,Feb 2016	,Jan 2016	,Dec 2015	,Nov 2015	,Oct 2015	,Sep 2015	,Aug 2015	,Jul 2015	,Jun 2015	,May 2015	,Apr 2015	,Mar 2015	,Feb 2015	,Jan 2015	,Dec 2014	,Nov 2014	,Oct 2014	,Sep 2014	,Aug 2014	,Jul 2014	,Jun 2014	,May 2014	,Apr 2014	,Mar 2014	,Feb 2014	,Jan 2014	,Dec 2013	,Nov 2013	,Oct 2013	,Sep 2013	,Aug 2013	,Jul 2013	,Jun 2013	,May 2013	,Apr 2013	,Mar 2013	,Feb 2013	,Jan 2013	,Dec 2012	,Nov 2012	,Oct 2012	,Sep 2012	,Aug 2012	,Jul 2012	,Jun 2012	,May 2012	,Apr 2012	,Mar 2012	,Feb 2012	,Jan 2012	,Dec 2011	,Nov 2011	,Oct 2011	,Sep 2011	,Aug 2011	,Jul 2011	,Jun 2011	,May 2011	,Apr 2011	,Mar 2011	,Feb 2011	,Jan 2011	,Dec 2010	,Nov 2010	,Oct 2010	,Sep 2010	,Aug 2010	,Jul 2010	,Jun 2010	,May 2010	,Apr 2010	,Mar 2010	,Feb 2010	,Jan 2010	,Dec 2009	,Nov 2009	,Oct 2009	,Sep 2009	,Aug 2009	,Jul 2009	,Jun 2009	,May 2009	,Apr 2009	,Mar 2009	,Feb 2009	,Jan 2009	,Dec 2008	,Nov 2008	,Oct 2008	,Sep 2008	,Aug 2008	,Jul 2008	,Jun 2008	,May 2008	,Apr 2008	,Mar 2008	,Feb 2008	,Jan 2008	,Dec 2007	,Nov 2007	,Oct 2007	,Sep 2007	,Aug 2007	,Jul 2007	,Jun 2007	,May 2007	,Apr 2007	,Mar 2007	,Feb 2007	,Jan 2007	,Dec 2006	,Nov 2006	,Oct 2006	,Sep 2006	,Aug 2006	,Jul 2006	,Jun 2006	,May 2006	,Apr 2006	,Mar 2006	,Feb 2006	,Jan 2006	,Dec 2005	,Nov 2005	,Oct 2005	,Sep 2005	,Aug 2005	,Jul 2005	,Jun 2005	,May 2005	,Apr 2005	,Mar 2005	,Feb 2005	,Jan 2005	,Dec 2004	,Nov 2004	,Oct 2004	,Sep 2004	,Aug 2004	,Jul 2004	,Jun 2004	,May 2004	,Apr 2004	,Mar 2004	,Feb 2004	,Jan 2004	,Dec 2003	,Nov 2003	,Oct 2003	,Sep 2003	,Aug 2003	,Jul 2003	,Jun 2003	,May 2003	,Apr 2003	,Mar 2003	,Feb 2003	,Jan 2003	,Dec 2002	,Nov 2002	,Oct 2002	,Sep 2002	,Aug 2002	,Jul 2002	,Jun 2002	,May 2002	,Apr 2002	,Mar 2002	,Feb 2002	,Jan 2002	,Dec 2001	,Nov 2001	,Oct 2001	,Sep 2001	,Aug 2001	,Jul 2001	,Jun 2001	,May 2001	,Apr 2001	,Mar 2001	,Feb 2001	,Jan 2001	,Dec 2000	,Nov 2000	,Oct 2000	,Sep 2000	,Aug 2000	,Jul 2000	,Jun 2000	,May 2000	,Apr 2000	,Mar 2000	,Feb 2000	,Jan 2000	,
The Urban Surveyed Unemployment Rate (%) 	,	,5.2	,5.4	,5.3	,5.2	,5.1	,5.1	,5.1	,5.2	,5.3	,5.2	,5.0	,5.0	,5.1	,5.2	,5.4	,5.2	,5.1	,5.0	,5.0	,5.1	,5.3	,5.2	,5.0	,5.0	,5.0	,5.2	,5.3	,5.2	,5.1	,5.0	,5.0	,5.0	,5.2	,5.3	,5.2	,5.2	,5.2	,5.3	,5.6	,5.5	,5.5	,5.7	,5.5	,5.5	,5.3	,5.4	,5.5	,5.9	,6.1	,5.8	,5.5	,5.3	,5.1	,5.0	,4.9	,4.9	,5.1	,5.1	,5.0	,5.0	,5.1	,5.3	,5.5	,5.4	,5.2	,5.2	,5.3	,5.4	,5.6	,5.7	,5.7	,5.9	,6.0	,5.9	,6.2	,5.3	,5.2	,5.1	,5.1	,5.2	,5.2	,5.3	,5.1	,5.0	,5.0	,5.2	,5.3	,5.1	,4.9	,4.8	,4.9	,4.9	,5.0	,5.1	,4.8	,4.8	,4.9	,5.1	,5.0	,5.0	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
The Urban Surveyed Unemployment Rate in 31 Major Cities (%)	,	,5.2	,5.3	,5.1	,5.0	,5.1	,5.1	,5.1	,5.2	,5.3	,5.2	,5.0	,5.0	,5.1	,5.2	,5.2	,5.1	,5.0	,5.0	,5.0	,5.1	,5.4	,5.3	,4.9	,4.9	,5.0	,5.1	,5.1	,4.9	,5.0	,5.0	,5.0	,5.2	,5.3	,5.4	,5.5	,5.5	,5.5	,5.5	,5.7	,5.8	,6.1	,6.7	,6.0	,5.8	,5.4	,5.6	,5.8	,6.9	,6.7	,6.0	,5.4	,5.4	,5.1	,5.1	,5.1	,5.0	,5.3	,5.2	,5.2	,5.2	,5.2	,5.3	,5.5	,5.4	,5.1	,5.2	,5.3	,5.5	,5.7	,5.8	,5.8	,5.9	,5.8	,5.7	,5.7	,5.2	,5.2	,5.1	,5.1	,5.2	,5.2	,5.2	,5.0	,5.0	,5.0	,5.1	,5.0	,4.8	,4.7	,4.7	,4.7	,4.7	,4.9	,5.0	,4.7	,4.7	,4.7	,4.9	,4.8	,4.9	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
The Urban Surveyed Unemployment Rate of Population with Local Household Registration (%) 	,	,5.3	,5.4	,5.4	,5.3	,5.3	,5.3	,5.3	,5.3	,5.4	,5.3	,5.1	,5.0	,5.2	,5.3	,5.6	,5.4	,5.3	,5.2	,5.1	,5.2	,5.4	,5.2	,5.0	,5.1	,5.1	,5.3	,5.5	,5.4	,5.2	,5.1	,5.0	,5.1	,5.3	,5.3	,5.1	,5.1	,5.1	,5.1	,5.4	,5.4	,5.4	,5.5	,5.4	,5.4	,5.3	,5.3	,5.3	,5.5	,5.7	,5.6	,5.5	,5.4	,5.1	,5.1	,4.9	,5.0	,5.2	,5.1	,5.0	,5.1	,5.1	,5.3	,5.7	,5.6	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
The Urban Surveyed Unemployment Rate of Population with Non-local Household Registration (%) 	,	,5.0	,5.3	,5.0	,4.8	,4.7	,4.7	,4.7	,4.9	,5.0	,5.1	,4.8	,5.0	,4.8	,4.9	,5.0	,4.7	,4.6	,4.6	,4.8	,4.8	,4.9	,5.1	,4.8	,4.7	,4.9	,5.1	,4.8	,4.7	,4.7	,4.7	,4.9	,4.9	,4.8	,5.2	,5.3	,5.4	,5.4	,5.6	,5.9	,5.6	,5.7	,6.2	,5.7	,5.6	,5.3	,5.5	,5.8	,6.6	,6.9	,6.3	,5.6	,5.1	,4.9	,4.8	,4.8	,4.8	,5.0	,5.0	,5.1	,5.0	,5.1	,5.4	,5.2	,5.1	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
The Urban Surveyed Unemployment Rate of the Population Aged from 16 to 24(%)	,	,16.3	,16.9	,16.1	,16.3	,16.5	,16.9	,17.3	,17.7	,18.9	,17.8	,14.5	,14.9	,15.8	,16.5	,16.9	,16.1	,15.7	,16.1	,17.1	,17.6	,18.8	,17.1	,13.2	,14.2	,14.7	,15.3	,15.3	,14.6	,14.9	,	,	,	,	,	,21.3	,20.8	,20.4	,19.6	,18.1	,17.3	,16.7	,17.1	,17.9	,17.9	,18.7	,19.9	,19.3	,18.4	,18.2	,16.0	,15.3	,15.3	,14.3	,14.3	,14.2	,14.6	,15.3	,16.2	,15.4	,13.8	,13.6	,13.6	,13.1	,12.7	,12.3	,12.8	,13.2	,15.0	,16.8	,16.8	,15.4	,14.8	,13.8	,13.3	,13.6	,12.5	,12.2	,12.5	,12.4	,13.0	,13.1	,13.9	,11.6	,10.5	,9.9	,11.3	,11.0	,11.2	,10.1	,10.0	,9.8	,11.2	,13.1	,13.3	,10.0	,9.6	,10.1	,10.4	,11.0	,11.2	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
The Urban Surveyed Unemployment Rate of the Population Aged from 25 to 29 (%)	,	,7.4	,7.7	,7.2	,6.8	,6.9	,7.2	,7.2	,7.2	,7.2	,6.9	,6.7	,7.0	,7.1	,7.2	,7.3	,6.9	,6.6	,6.7	,6.8	,6.7	,6.9	,6.5	,6.4	,6.6	,7.1	,7.2	,6.4	,6.2	,6.1	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
The Urban Surveyed Unemployment Rate of the Population Aged from 30 to 59 (%)	,	,4.2	,4.3	,4.2	,4.0	,3.9	,3.8	,3.8	,3.9	,3.9	,3.9	,4.0	,3.9	,4.0	,4.1	,4.3	,4.0	,3.9	,3.8	,3.8	,3.9	,3.9	,3.9	,4.0	,4.0	,4.0	,4.1	,4.2	,4.1	,3.9	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
The Urban Surveyed Unemployment Rate of the Population Aged from 25 to 59 (%)	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,4.1	,4.1	,4.2	,4.3	,4.8	,4.7	,4.8	,5.0	,4.7	,4.7	,4.3	,4.3	,4.5	,5.1	,5.3	,5.2	,4.8	,4.6	,4.4	,4.3	,4.2	,4.2	,4.3	,4.2	,4.2	,4.4	,4.6	,4.8	,5.0	,4.9	,4.7	,4.7	,4.8	,4.8	,4.8	,5.0	,5.2	,5.4	,5.5	,5.4	,5.6	,4.7	,4.7	,4.6	,4.6	,4.6	,4.5	,4.6	,4.6	,4.5	,4.7	,4.8	,4.9	,4.6	,4.4	,4.4	,4.4	,4.3	,4.3	,4.4	,4.4	,4.4	,4.4	,4.6	,4.5	,4.4	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Average Weekly Working Hours of Urban Employess in Enterprises (hour) 	,	,48.0	,48.1	,48.1	,48.3	,48.6	,48.6	,48.4	,48.6	,48.5	,48.5	,48.5	,48.5	,48.3	,48.5	,47.1	,49.1	,49.0	,48.9	,48.6	,48.8	,48.7	,48.7	,48.6	,48.7	,48.5	,48.6	,48.0	,49.0	,49.0	,48.9	,48.7	,48.8	,48.7	,48.7	,48.7	,48.6	,48.8	,48.7	,47.9	,47.9	,47.9	,47.7	,47.9	,47.8	,48.0	,48.0	,47.7	,47.2	,46.2	,47.3	,46.7	,47.5	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Note：1. The age-group breakdown of the unemployment rate has been revised since December 2023. Historical data prior to this revision included students.
