公表日,時間,結果,予想,前回
2010/1,,52.2,,
2010/2,,51.9,,
2010/3,,54.9,,
2010/4,,53.7,,
2010/5,,54.8,,
2010/6,,54.8,,
2010/7,,56.5,,
2010/8,,57.2,,
2010/9,,54.9,,
2010/10,,56,,
2010/11,,59.2,,
2010/12,,59.2,,
2011/1,,60.3,,
2011/2,,58.6,,
2011/3,,60.1,,
2011/4,,56.8,,
2011/5,,56.1,,
2011/6,,56.7,,
2011/7,,52.9,,
2011/8,,51.1,,
2011/9,,49.7,,
2011/10,,50.6,,
2011/11,,50.3,,
2011/12,,54.5,,
2012/1,,53.7,,
2012/2,,52.8,,
2012/3,,52.1,,
2012/4,,52.2,,
2012/5,,51.8,,
2012/6,,49.9,,
2012/7,,50.3,,
2012/8,,48.3,,
2012/9,,49.7,,
2012/10,,48.4,,
2012/11,,49.7,,
2012/12,,52,,
2013/1,,55.7,,
2013/2,,54.7,,
2013/3,,50.9,,
2013/4,,49.6,,
2013/5,,49.7,,
2013/6,,50.4,,
2013/7,,51.3,,
2013/8,,52.8,,
2013/9,,53.7,,
2013/10,,52.9,,
2013/11,,55.7,,
2013/12,,53.5,,
2014/1,,53.1,,
2014/2,,55.9,,
2014/3,,53,,
2014/4,,54.7,,
2014/5,,56,,
2014/6,,54.6,,
2014/7,,56.7,,
2014/8,,54.9,,
2014/9,,55.7,,
2014/10,,54.4,,
2014/11,,52.1,,
2014/12,,52.1,,
2015/1,,54,,
2015/2,,54.7,,
2015/3,,55.4,,
2015/4,,54,,
2015/5,,53,,
2015/6,,53.8,,
2015/7,,53.8,,
2015/8,,54.9,,
2015/9,,54.1,,
2015/10,,54.5,,
2015/11,,55.6,,
2015/12,,56,,
2016/1,,55,,
2016/2,,55.3,,
2016/3,,55.1,,
2016/4,,54.5,,
2016/5,,55.2,,
2016/6,,53.7,,
2016/7,,54.4,,
2016/8,,51.7,,
2016/9,,50.9,,
2016/10,,54.2,,
2016/11,,55.1,,
2016/12,,54.3,,
2017/1,,53.4,,
2017/2,,54.4,,
2017/3,,55.6,,
2017/4,,55.4,,
2017/5,,55.4,,
2017/6,,54,,
2017/7,,53.1,,
2017/8,,53.5,,
2017/9,,55.6,,
2017/10,,54.7,,
2017/11,,54.3,,
2017/12,,55.8,,
2018/1,,57.3,,
2018/2,,55.3,,
2018/3,,53.9,,
2018/4,,53,,
2018/5,,52.1,,
2018/6,,54.5,,
2018/7,,54.1,,
2018/8,,55,,
2018/9,,55.9,,
2018/10,,54.7,,
2018/11,,53.3,,
2018/12,,51.8,,
2019/1,,53,,
2019/2,,55.3,,
2019/3,,55.4,,
2019/4,,55.7,,
2019/5,,55.4,,
2019/6,,55.8,,
2019/7,,54.5,,
2019/8,,54.8,,
2019/9,,51.4,,
2019/10,,51.6,,
2019/11,,51.7,,
2019/12,,52.9,,
2020/1,,54.2,,
2020/2,,52.5,,
2020/3,,31.7,,
2020/4,,16.2,,
2020/5,,32.6,,
2020/6,,47.3,,
2020/7,,55.6,,
2020/8,,52.5,,
2020/9,,50.6,,
2020/10,,49.5,,
2020/11,,46,,
2020/12,,47,,
2021/1,,46.7,,
2021/2,,45.7,,
2021/3,,51.5,,
2021/4,,49.9,,
2021/5,,52.8,,
2021/6,,57.5,,
2021/7,,61.8,,
2021/8,,60.8,,
2021/9,,56.2,,
2021/10,,52.4,,
2021/11,,52.7,,
2021/12,,48.7,,
2022/1,,52.2,,
2022/2,,55.8,,
2022/3,,56.1,,
2022/4,,57.6,,
2022/5,,55,,
2022/6,,52.4,,
2022/7,,49.7,,
2022/8,,47.7,,
2022/9,,45,,
2022/10,,46.5,,
2022/11,,46.1,,
2022/12,,49.2,,
2023/1,,50.7,,
2023/2,,50.9,,
2023/3,,53.7,,
2023/4,,56,,
2023/5,,57.2,,
2023/6,,54.1,,
2023/7,,52.3,,
2023/8,,47.3,,
2023/9,,50.3,,
2023/10,,48.2,,
2023/11,,49.6,,
2023/12,,47.4,,
2024/1,,47.7,,
2024/2,,46.3,,
2024/3,,50.1,,
2024/4,,53.2,,
2024/5,,54.2,,
2024/6,,53.1,,
2024/7,,52.5,,
2024/8,,51.2,,
2024/9,,47.5,,
2024/10,,51.6,,
2024/11,,49.3,,
2024/12,,51.2,,
2025/1,,52.5,,
2025/2,,51.1,,
2025/3,,51.3,,
2025/4,,49,,
2025/5,,47.1,,
2025/6,,49.7,,
2025/7,,50.6,,
2025/8,,49.3,,
2025/9,,52,,
2025/10,,54.6,,
2025/11,,53.1,,
2025/12,,52.7,,
