公表日,時間,結果,予想,前回
2015/1,,53.5,,
2015/2,,53.8,,
2015/3,,55.4,,
2015/4,,54.1,,
2015/5,,52.6,,
2015/6,,53.7,,
2015/7,,53.7,,
2015/8,,55,,
2015/9,,54.1,,
2015/10,,54.2,,
2015/11,,55.2,,
2015/12,,55.5,,
2016/1,,54.4,,
2016/2,,54.1,,
2016/3,,54,,
2016/4,,53.6,,
2016/5,,54.5,,
2016/6,,54.4,,
2016/7,,55.3,,
2016/8,,53.3,,
2016/9,,52.8,,
2016/10,,55.1,,
2016/11,,55,,
2016/12,,55.2,,
2017/1,,54.8,,
2017/2,,56.1,,
2017/3,,57.1,,
2017/4,,56.7,,
2017/5,,57.4,,
2017/6,,56.4,,
2017/7,,54.7,,
2017/8,,55.8,,
2017/9,,57.7,,
2017/10,,56.6,,
2017/11,,57.3,,
2017/12,,58.9,,
2018/1,,59,,
2018/2,,57.6,,
2018/3,,55.1,,
2018/4,,54.6,,
2018/5,,53.4,,
2018/6,,54.8,,
2018/7,,55,,
2018/8,,55.6,,
2018/9,,55,,
2018/10,,53.4,,
2018/11,,52.3,,
2018/12,,51.6,,
2019/1,,52.1,,
2019/2,,52.8,,
2019/3,,51.4,,
2019/4,,52.2,,
2019/5,,52.6,,
2019/6,,52.6,,
2019/7,,50.9,,
2019/8,,51.7,,
2019/9,,48.5,,
2019/10,,48.9,,
2019/11,,49.4,,
2019/12,,50.2,,
2020/1,,51.2,,
2020/2,,50.7,,
2020/3,,35,,
2020/4,,17.4,,
2020/5,,32.3,,
2020/6,,47,,
2020/7,,55.3,,
2020/8,,54.4,,
2020/9,,54.7,,
2020/10,,55,,
2020/11,,51.7,,
2020/12,,52,,
2021/1,,50.8,,
2021/2,,51.1,,
2021/3,,57.3,,
2021/4,,57.3,,
2021/5,,56.2,,
2021/6,,60.1,,
2021/7,,62.4,,
2021/8,,60,,
2021/9,,55.5,,
2021/10,,52,,
2021/11,,52.2,,
2021/12,,49.9,,
2022/1,,53.8,,
2022/2,,55.6,,
2022/3,,55.1,,
2022/4,,54.3,,
2022/5,,53.7,,
2022/6,,51.3,,
2022/7,,48.1,,
2022/8,,46.9,,
2022/9,,45.7,,
2022/10,,45.1,,
2022/11,,46.3,,
2022/12,,49,,
2023/1,,49.9,,
2023/2,,50.7,,
2023/3,,52.6,,
2023/4,,54.2,,
2023/5,,53.9,,
2023/6,,50.6,,
2023/7,,48.5,,
2023/8,,44.6,,
2023/9,,46.4,,
2023/10,,45.9,,
2023/11,,47.8,,
2023/12,,47.4,,
2024/1,,47.7,,
2024/2,,46.3,,
2024/3,,50.1,,
2024/4,,50.6,,
2024/5,,52.4,,
2024/6,,50.4,,
2024/7,,52.5,,
2024/8,,48.4,,
2024/9,,47.5,,
2024/10,,48.6,,
2024/11,,47.2,,
2024/12,,48,,
2025/1,,50.5,,
2025/2,,50.4,,
2025/3,,51.3,,
2025/4,,49,,
2025/5,,48.5,,
2025/6,,49.7,,
2025/7,,50.6,,
2025/8,,50.5,,
2025/9,,52,,
2025/10,,53.9,,
2025/11,,52.4,,
2025/12,,51.3,,
