公表日,時間,結果,予想,前回
2010/1,,53.7,,
2010/2,,57.2,,
2010/3,,60.2,,
2010/4,,61.6,,
2010/5,,58.4,,
2010/6,,58.4,,
2010/7,,61.2,,
2010/8,,58.2,,
2010/9,,55.1,,
2010/10,,56.6,,
2010/11,,58.1,,
2010/12,,60.7,,
2011/1,,60.5,,
2011/2,,62.7,,
2011/3,,60.9,,
2011/4,,62,,
2011/5,,57.7,,
2011/6,,54.6,,
2011/7,,52,,
2011/8,,50.9,,
2011/9,,50.3,,
2011/10,,49.1,,
2011/11,,47.9,,
2011/12,,49.7,,
2012/1,,51,,
2012/2,,50.2,,
2012/3,,48.4,,
2012/4,,46.2,,
2012/5,,45.2,,
2012/6,,45,,
2012/7,,43,,
2012/8,,44.7,,
2012/9,,47.4,,
2012/10,,46,,
2012/11,,46.8,,
2012/12,,46,,
2013/1,,49.8,,
2013/2,,50.3,,
2013/3,,49,,
2013/4,,48.1,,
2013/5,,49.4,,
2013/6,,48.6,,
2013/7,,50.7,,
2013/8,,51.8,,
2013/9,,51.1,,
2013/10,,51.7,,
2013/11,,52.7,,
2013/12,,54.3,,
2014/1,,56.5,,
2014/2,,54.8,,
2014/3,,53.7,,
2014/4,,54.1,,
2014/5,,52.4,,
2014/6,,52,,
2014/7,,52.4,,
2014/8,,51.4,,
2014/9,,49.9,,
2014/10,,51.4,,
2014/11,,49.5,,
2014/12,,51.2,,
2015/1,,50.9,,
2015/2,,51.1,,
2015/3,,52.8,,
2015/4,,52.1,,
2015/5,,51.1,,
2015/6,,51.9,,
2015/7,,51.8,,
2015/8,,53.3,,
2015/9,,52.3,,
2015/10,,52.1,,
2015/11,,52.9,,
2015/12,,53.2,,
2016/1,,52.3,,
2016/2,,50.5,,
2016/3,,50.7,,
2016/4,,51.8,,
2016/5,,52.1,,
2016/6,,54.5,,
2016/7,,53.8,,
2016/8,,53.6,,
2016/9,,54.3,,
2016/10,,55,,
2016/11,,54.3,,
2016/12,,55.6,,
2017/1,,56.4,,
2017/2,,56.8,,
2017/3,,58.3,,
2017/4,,58.2,,
2017/5,,59.5,,
2017/6,,59.6,,
2017/7,,58.1,,
2017/8,,59.3,,
2017/9,,60.6,,
2017/10,,60.6,,
2017/11,,62.5,,
2017/12,,63.3,,
2018/1,,61.1,,
2018/2,,60.6,,
2018/3,,58.2,,
2018/4,,58.1,,
2018/5,,56.9,,
2018/6,,55.9,,
2018/7,,56.9,,
2018/8,,55.9,,
2018/9,,53.7,,
2018/10,,52.2,,
2018/11,,51.8,,
2018/12,,51.5,,
2019/1,,49.7,,
2019/2,,47.6,,
2019/3,,44.1,,
2019/4,,44.4,,
2019/5,,44.3,,
2019/6,,45,,
2019/7,,43.2,,
2019/8,,43.5,,
2019/9,,41.7,,
2019/10,,42.1,,
2019/11,,44.1,,
2019/12,,43.7,,
2020/1,,45.3,,
2020/2,,48,,
2020/3,,45.4,,
2020/4,,34.5,,
2020/5,,36.6,,
2020/6,,45.2,,
2020/7,,51,,
2020/8,,52.2,,
2020/9,,56.4,,
2020/10,,58.2,,
2020/11,,57.8,,
2020/12,,58.3,,
2021/1,,57.1,,
2021/2,,60.7,,
2021/3,,66.6,,
2021/4,,66.2,,
2021/5,,64.4,,
2021/6,,65.1,,
2021/7,,65.9,,
2021/8,,62.6,,
2021/9,,58.4,,
2021/10,,57.8,,
2021/11,,57.4,,
2021/12,,57.4,,
2022/1,,59.8,,
2022/2,,58.4,,
2022/3,,56.9,,
2022/4,,54.6,,
2022/5,,54.8,,
2022/6,,52,,
2022/7,,49.3,,
2022/8,,49.1,,
2022/9,,47.8,,
2022/10,,45.1,,
2022/11,,46.2,,
2022/12,,47.1,,
2023/1,,47.3,,
2023/2,,46.3,,
2023/3,,44.7,,
2023/4,,44.5,,
2023/5,,43.2,,
2023/6,,40.6,,
2023/7,,38.8,,
2023/8,,39.1,,
2023/9,,39.6,,
2023/10,,40.8,,
2023/11,,42.6,,
2023/12,,43.3,,
2024/1,,45.5,,
2024/2,,42.5,,
2024/3,,41.9,,
2024/4,,42.5,,
2024/5,,45.4,,
2024/6,,43.5,,
2024/7,,43.2,,
2024/8,,42.4,,
2024/9,,40.6,,
2024/10,,43,,
2024/11,,43,,
2024/12,,42.5,,
2025/1,,45,,
2025/2,,46.5,,
2025/3,,48.3,,
2025/4,,48.4,,
2025/5,,48.3,,
2025/6,,49,,
2025/7,,49.1,,
2025/8,,49.8,,
2025/9,,49.5,,
2025/10,,49.6,,
2025/11,,48.2,,
2025/12,,47,,
