公表日,時間,結果,予想,前回
2015/1,,51,,51
2015/2,,51,,51.1
2015/3,,52.2,,51.9
2015/4,,52,,51.9
2015/5,,52.2,,52.3
2015/6,,52.5,,52.5
2015/7,,52.4,,52.2
2015/8,,52.3,,52.4
2015/9,,52,,52
2015/10,,52.3,,52
2015/11,,52.8,,52.8
2015/12,,53.2,,53.1
2016/1,,52.3,,52.3
2016/2,,51.2,,51
2016/3,,51.6,,51.4
2016/4,,51.7,,51.5
2016/5,,51.5,,51.5
2016/6,,52.8,,52.6
2016/7,,52,,51.9
2016/8,,51.7,,51.8
2016/9,,52.6,,52.6
2016/10,,53.5,,53.3
2016/11,,53.7,,54.1
2016/12,,54.9,,54.9
2017/1,,55.2,,55.1
2017/2,,55.4,,55.5
2017/3,,56.2,,57.2
2017/4,,56.7,56.7,56.8
2017/5,,57,57,57
2017/6,,57.4,57.3,57.3
2017/7,,56.6,57.3,56.8
2017/8,,57.4,57.2,57.4
2017/9,,58.1,57.9,58.2
2017/10,,58.5,58.5,58.6
2017/11,,60.1,59.4,60
2017/12,,60.6,60.5,60.6
2018/1,,59.6,60.2,59.6
2018/2,,58.6,59.1,58.5
2018/3,,56.6,57.6,56.6
2018/4,,56.2,56.6,56
2018/5,,55.5,55.9,55.5
2018/6,,54.9,55.3,55
2018/7,,55.1,55,55.1
2018/8,,54.6,54.8,54.6
2018/9,,53.2,53.8,53.3
2018/10,,52,51.8,52.1
2018/11,,51.8,50.7,51.5
2018/12,,51.4,51.7,51.4
2019/1,,50.5,50.5,50.5
2019/2,,49.3,49.2,49.2
2019/3,,47.5,47.6,47.6
2019/4,,47.9,47.8,47.8
2019/5,,47.7,47.7,47.7
2019/6,,47.6,47.8,47.8
2019/7,,46.5,46.4,46.4
2019/8,,47,47,47
2019/9,,45.7,45.6,45.6
2019/10,,45.9,45.7,45.7
2019/11,,46.9,46.6,46.6
2019/12,,46.3,45.9,45.9
2020/1,,47.9,47.8,47.8
2020/2,,49.2,49.1,49.1
2020/3,,44.5,44.8,44.8
2020/4,,33.4,33.6,33.6
2020/5,,39.4,39.5,39.5
2020/6,,47.4,46.9,46.9
2020/7,,51.8,51.1,51.1
2020/8,,51.7,51.7,51.7
2020/9,,53.7,53.7,53.7
2020/10,,54.8,54.4,54.4
2020/11,,53.8,53.6,53.6
2020/12,,55.2,55.5,55.5
2021/1,,54.8,54.7,54.7
2021/2,,57.9,57.7,57.7
2021/3,,62.5,62.4,62.4
2021/4,,62.9,63.3,63.3
2021/5,,63.1,62.8,62.8
2021/6,,63.4,63.1,63.1
2021/7,,62.8,62.6,62.6
2021/8,,61.4,61.5,61.5
2021/9,,58.6,58.7,58.7
2021/10,,58.3,58.5,58.5
2021/11,,58.4,53.8,58.6
2021/12,,58,58,58
2022/1,,58.7,59,59
2022/2,,58.2,58.4,58.4
2022/3,,56.5,57,57
2022/4,,55.5,55.3,55.3
2022/5,,54.6,54.4,54.4
2022/6,,52.1,52,52
2022/7,,49.8,49.6,49.6
2022/8,,49.6,49.7,49.7
2022/9,,48.4,48.5,48.5
2022/10,,46.4,46.6,46.6
2022/11,,47.1,47.3,47.3
2022/12,,47.8,47.8,47.8
2023/1,,48.8,48.8,48.8
2023/2,,48.5,48.5,48.5
2023/3,,47.3,47.1,47.1
2023/4,,45.8,45.5,45.5
2023/5,,44.8,44.6,44.6
2023/6,,43.4,43.6,43.6
2023/7,,42.7,42.7,42.7
2023/8,,43.5,43.7,43.7
2023/9,,43.4,43.4,43.4
2023/10,,43.1,43,43
2023/11,,44.2,43.8,43.8
2023/12,,44.4,44.2,44.2
2024/1,,46.6,46.6,46.6
2024/2,,46.5,46.1,46.1
2024/3,,46.1,45.7,45.7
2024/4,,45.7,45.6,45.6
2024/5,,47.3,47.4,47.4
2024/6,,45.8,45.6,45.6
2024/7,,45.8,45.6,45.6
2024/8,,45.8,45.6,45.6
2024/9,,45,44.8,44.8
2024/10,,46,45.9,45.9
2024/11,,45.2,45.2,45.2
2024/12,,45.1,45.2,45.2
2025/1,,46.6,46.1,46.1
2025/2,,47.6,47.3,47.3
2025/3,,48.6,48.7,48.7
2025/4,,49,48.7,48.7
2025/5,,49.4,49.4,49.4
2025/6,,49.5,49.4,49.4
2025/7,,49.8,49.8,49.8
2025/8,,50.7,50.5,50.5
2025/9,,49.8,,49.5
2025/10,,50,50,50
2025/11,,49.6,49.7,49.7
2025/12,,,,
