公表日,時間,結果,予想,前回
2012/1,,52.3,,
2012/2,,50,,
2012/3,,50.1,,
2012/4,,45.2,,
2012/5,,45.1,,
2012/6,,47.9,,
2012/7,,50,,
2012/8,,49.2,,
2012/9,,45,,
2012/10,,44.6,,
2012/11,,45.8,,
2012/12,,45.2,,
2013/1,,43.6,,
2013/2,,43.7,,
2013/3,,41.3,,
2013/4,,44.3,,
2013/5,,44.3,,
2013/6,,47.2,,
2013/7,,48.6,,
2013/8,,48.9,,
2013/9,,51,,
2013/10,,50.9,,
2013/11,,48,,
2013/12,,47.8,,
2014/1,,48.9,,
2014/2,,47.2,,
2014/3,,51.5,,
2014/4,,50.4,,
2014/5,,49.1,,
2014/6,,48.2,,
2014/7,,50.4,,
2014/8,,50.3,,
2014/9,,48.4,,
2014/10,,48.3,,
2014/11,,47.9,,
2014/12,,50.6,,
2015/1,,49.3,,
2015/2,,52.2,,
2015/3,,52.4,,
2015/4,,51.4,,
2015/5,,52.8,,
2015/6,,54.1,,
2015/7,,52,,
2015/8,,50.6,,
2015/9,,51.9,,
2015/10,,52.7,,
2015/11,,51,,
2015/12,,49.8,,
2016/1,,50.3,,
2016/2,,49.2,,
2016/3,,49.9,,
2016/4,,50.6,,
2016/5,,51.6,,
2016/6,,49.9,,
2016/7,,50.5,,
2016/8,,52.3,,
2016/9,,53.3,,
2016/10,,51.4,,
2016/11,,51.6,,
2016/12,,52.9,,
2017/1,,54.1,,
2017/2,,56.4,,
2017/3,,57.5,,
2017/4,,56.7,,
2017/5,,57.2,,
2017/6,,56.9,,
2017/7,,56,,
2017/8,,54.9,,
2017/9,,57,,
2017/10,,57.3,,
2017/11,,60.4,,
2017/12,,59.1,,
2018/1,,59.2,,
2018/2,,57.4,,
2018/3,,56.9,,
2018/4,,57.4,,
2018/5,,54.3,,
2018/6,,55.9,,
2018/7,,54.9,,
2018/8,,55.4,,
2018/9,,54.8,,
2018/10,,55.3,,
2018/11,,55.1,,
2018/12,,49,,
2019/1,,47.8,,
2019/2,,50.2,,
2019/3,,49.1,,
2019/4,,50.5,,
2019/5,,51.5,,
2019/6,,52.9,,
2019/7,,52.6,,
2019/8,,53.4,,
2019/9,,51.1,,
2019/10,,52.9,,
2019/11,,52.2,,
2019/12,,52.4,,
2020/1,,51,,
2020/2,,52.5,,
2020/3,,27.4,,
2020/4,,10.2,,
2020/5,,31.1,,
2020/6,,50.7,,
2020/7,,57.3,,
2020/8,,51.5,,
2020/9,,47.5,,
2020/10,,46.5,,
2020/11,,38.8,,
2020/12,,49.1,,
2021/1,,47.3,,
2021/2,,45.6,,
2021/3,,48.2,,
2021/4,,50.3,,
2021/5,,56.6,,
2021/6,,57.8,,
2021/7,,56.8,,
2021/8,,56.3,,
2021/9,,56.2,,
2021/10,,56.6,,
2021/11,,57.4,,
2021/12,,57,,
2022/1,,53.1,,
2022/2,,55.5,,
2022/3,,57.4,,
2022/4,,58.9,,
2022/5,,58.3,,
2022/6,,53.9,,
2022/7,,53.2,,
2022/8,,51.2,,
2022/9,,52.9,,
2022/10,,51.7,,
2022/11,,49.3,,
2022/12,,49.5,,
2023/1,,49.4,,
2023/2,,53.1,,
2023/3,,53.9,,
2023/4,,54.6,,
2023/5,,52.5,,
2023/6,,48,,
2023/7,,47.1,,
2023/8,,46,,
2023/9,,44.4,,
2023/10,,45.2,,
2023/11,,45.4,,
2023/12,,45.7,,
2024/1,,45.4,,
2024/2,,48.4,,
2024/3,,48.3,,
2024/4,,51.3,,
2024/5,,48.9,,
2024/6,,48.8,,
2024/7,,50.1,,
2024/8,,55,,
2024/9,,49.6,,
2024/10,,48.1,,
2024/11,,45.9,,
2024/12,,47.5,,
2025/1,,48.2,,
2025/2,,45.3,,
2025/3,,47.9,,
2025/4,,47.3,,
2025/5,,48.9,,
2025/6,,50,,
2025/7,,48.5,,
2025/8,,49.8,,
2025/9,,48.5,,
2025/10,,48,,
2025/11,,51.4,,
2025/12,,50.1,,
2026/1,,47.9,,
