公表日,時間,結果,予想,前回
2015/1,,49.3,,
2015/2,,53.4,,
2015/3,,51.5,,
2015/4,,50.6,,
2015/5,,52,,
2015/6,,53.3,,
2015/7,,51.5,,
2015/8,,50.2,,
2015/9,,51.9,,
2015/10,,52.6,,
2015/11,,51,,
2015/12,,50.1,,
2016/1,,50.2,,
2016/2,,49.3,,
2016/3,,50,,
2016/4,,50.2,,
2016/5,,50.9,,
2016/6,,49.6,,
2016/7,,50.1,,
2016/8,,51.9,,
2016/9,,52.7,,
2016/10,,51.6,,
2016/11,,51.4,,
2016/12,,53.4,,
2017/1,,54,,
2017/2,,55.9,,
2017/3,,56.8,,
2017/4,,56.6,,
2017/5,,56.9,,
2017/6,,56.6,,
2017/7,,55.6,,
2017/8,,55.2,,
2017/9,,57.1,,
2017/10,,57.4,,
2017/11,,60.3,,
2017/12,,59.6,,
2018/1,,59.6,,
2018/2,,57.3,,
2018/3,,56.3,,
2018/4,,56.9,,
2018/5,,54.2,,
2018/6,,55,,
2018/7,,54.4,,
2018/8,,54.9,,
2018/9,,54,,
2018/10,,54.1,,
2018/11,,54.2,,
2018/12,,48.7,,
2019/1,,48.2,,
2019/2,,50.4,,
2019/3,,48.9,,
2019/4,,50.1,,
2019/5,,51.2,,
2019/6,,52.7,,
2019/7,,51.9,,
2019/8,,52.9,,
2019/9,,50.8,,
2019/10,,52.6,,
2019/11,,52.1,,
2019/12,,52,,
2020/1,,51.1,,
2020/2,,52,,
2020/3,,28.9,,
2020/4,,11.1,,
2020/5,,32.1,,
2020/6,,51.7,,
2020/7,,57.3,,
2020/8,,51.6,,
2020/9,,48.5,,
2020/10,,47.5,,
2020/11,,40.6,,
2020/12,,49.5,,
2021/1,,47.7,,
2021/2,,47,,
2021/3,,50,,
2021/4,,51.6,,
2021/5,,57,,
2021/6,,57.4,,
2021/7,,56.6,,
2021/8,,55.9,,
2021/9,,55.3,,
2021/10,,54.7,,
2021/11,,56.1,,
2021/12,,55.8,,
2022/1,,52.7,,
2022/2,,55.5,,
2022/3,,56.3,,
2022/4,,57.6,,
2022/5,,57,,
2022/6,,52.5,,
2022/7,,51.7,,
2022/8,,50.4,,
2022/9,,51.2,,
2022/10,,50.2,,
2022/11,,48.7,,
2022/12,,49.1,,
2023/1,,49.1,,
2023/2,,51.7,,
2023/3,,52.7,,
2023/4,,52.4,,
2023/5,,51.2,,
2023/6,,47.2,,
2023/7,,46.6,,
2023/8,,46,,
2023/9,,44.1,,
2023/10,,44.6,,
2023/11,,44.6,,
2023/12,,44.8,,
2024/1,,44.6,,
2024/2,,48.1,,
2024/3,,48.3,,
2024/4,,50.5,,
2024/5,,48.9,,
2024/6,,48.8,,
2024/7,,49.1,,
2024/8,,53.1,,
2024/9,,48.6,,
2024/10,,48.1,,
2024/11,,45.9,,
2024/12,,47.5,,
2025/1,,47.6,,
2025/2,,45.1,,
2025/3,,48,,
2025/4,,47.8,,
2025/5,,49.3,,
2025/6,,49.2,,
2025/7,,48.6,,
2025/8,,49.8,,
2025/9,,49.8,,
2025/10,,47.7,,
2025/11,,50.4,,
2025/12,,50,,
2026/1,,48.6,,
