公表日,時間,結果,予想,前回
2010/1,0:00,50.5,51,49.8
2010/2,0:00,53,51,50.5
2010/3,23:00,55.4,53.5,53
2010/4,23:00,55.4,56.1,55.4
2010/5,23:00,55.4,55.5,55.4
2010/6,23:00,53.8,55,55.4
2010/7,23:00,54.3,53,53.8
2010/8,23:00,51.5,53.2,54.3
2010/9,23:00,53.2,51.8,51.5
2010/10,23:00,54.3,53.6,53.2
2010/11,0:00,55,54.5,54.3
2010/12,0:00,57.1,55.7,55
2011/1,0:00,59.4,57,57.1
2011/2,0:00,59.7,59.7,59.4
2011/3,23:00,57.3,60,59.7
2011/4,23:00,52.8,57.4,57.3
2011/5,23:00,54.6,54,52.8
2011/6,23:00,53.3,54,54.6
2011/7,23:00,52.7,53.8,53.3
2011/8,23:00,53.3,51,52.7
2011/9,23:00,53,53,53.3
2011/10,23:00,52.9,53.7,53
2011/11,0:00,52,53.4,52.9
2011/12,0:00,52.6,53,52
2012/1,0:00,56.8,53.2,52.6
2012/2,0:00,57.3,56.1,56.8
2012/3,23:00,56,57,57.3
2012/4,23:00,53.5,55.5,56
2012/5,23:00,53.7,53.5,53.5
2012/6,23:00,52.1,53,53.7
2012/7,23:00,52.6,52,52.1
2012/8,23:00,53.7,52.5,52.6
2012/9,23:00,55.1,53.2,53.7
2012/10,0:00,54.2,54.5,55.1
2012/11,0:00,54.7,53.5,54.2
2012/12,0:00,56.1,54.2,54.7
2013/1,0:00,55.2,55.2,55.7
2013/2,0:00,56,55,55.2
2013/3,23:00,54.4,55.8,56
2013/4,23:00,53.1,54,54.4
2013/5,23:00,53.7,53.5,53.1
2013/6,23:00,52.2,54,53.7
2013/7,23:00,56,53,52.2
2013/8,23:00,58.6,55,56
2013/9,23:00,54.4,57.4,58.6
2013/10,0:00,55.4,54,54.4
2013/11,0:00,53.9,55,55.4
2013/12,0:00,53,54.5,53.9
2014/1,0:00,54,53.7,53
2014/2,0:00,51.6,53.5,54
2014/3,23:00,53.1,53.5,51.6
2014/4,23:00,55.2,54.1,53.1
2014/5,23:00,56.3,55.5,55.2
2014/6,23:00,56,56.3,56.3
2014/7,23:00,58.7,56.3,56
2014/8,23:00,59.6,57.5,58.7
2014/9,23:00,58.6,58.5,59.6
2014/10,0:00,57.1,58,58.6
2014/11,0:00,59.3,57.5,57.1
2014/12,0:00,56.2,58,59.3
2015/1,0:00,56.7,56.3,56.2
2015/2,0:00,56.9,56.5,56.7
2015/3,23:00,56.5,56.5,56.9
2015/4,23:00,57.8,56.2,56.5
2015/5,23:00,55.7,57,57.8
2015/6,23:00,56,56.2,55.7
2015/7,23:00,60.3,56.2,56
2015/8,23:00,59,58.1,60.3
2015/9,23:00,56.9,57.5,59
2015/10,0:00,59.1,56.5,56.9
2015/11,0:00,55.9,58,59.1
2015/12,0:00,55.3,56,55.9
2016/1,0:00,53.5,55.1,55.3
2016/2,0:00,53.4,53.2,53.5
2016/3,23:00,54.5,54,53.4
2016/4,23:00,55.7,54.7,54.5
2016/5,23:00,52.9,55.5,55.7
2016/6,23:00,56.5,53.3,52.9
2016/7,23:00,55.5,56,56.5
2016/8,23:00,51.4,55,55.5
2016/9,23:00,57.1,53,51.4
2016/10,23:00,54.8,56,57.1
2016/11,0:00,57.2,55.4,54.8
2016/12,0:00,57.2,56.6,57.2
2017/1,0:00,56.5,57,56.6
2017/2,0:00,57.6,56.5,56.5
2017/3,23:00,55.2,57,57.6
2017/4,23:00,57.5,55.8,55.2
2017/5,23:00,56.9,57,57.5
2017/6,23:00,57.4,56.5,56.9
2017/7,23:00,53.9,57,57.4
2017/8,23:00,55.3,55.4,53.9
2017/9,23:00,59.8,55.5,55.3
2017/10,23:00,60.1,58.5,59.8
2017/11,0:00,57.4,59,60.1
2017/12,0:00,55.9,57.8,57.4
2018/1,0:00,59.9,56.5,56
2018/2,0:00,59.5,58.9,59.9
2018/3,23:00,58.8,59,59.5
2018/4,23:00,56.8,58.1,58.8
2018/5,23:00,58.6,57.9,56.8
2018/6,23:00,59.1,58.3,58.6
2018/7,23:00,55.7,58.6,59.1
2018/8,23:00,58.5,57,55.7
2018/9,23:00,61.6,58.1,58.5
2018/10,0:00,60.3,59.3,61.6
2018/11,0:00,60.7,59.2,60.3
2018/12,0:00,57.6,59.6,60.7
2019/1,0:00,56.7,57.2,58
2019/2,0:00,59.7,57.3,56.7
2019/3,23:00,56.1,58.1,59.7
2019/4,23:00,55.5,57.2,56.1
2019/5,23:00,56.9,55.5,55.5
2019/6,23:00,55.1,56.1,56.9
2019/7,23:00,53.7,55.5,55.1
2019/8,23:00,56.4,54,53.7
2019/9,23:00,52.6,55,56.4
2019/10,0:00,54.7,53.5,52.6
2019/11,0:00,53.9,54.5,54.7
2019/12,0:00,55,54.5,53.9
2020/1,0:00,55.5,55,54.9
2020/2,0:00,57.3,54.9,55.5
2020/3,23:00,52.5,44,57.3
2020/4,23:00,41.8,36.8,52.5
2020/5,23:00,45.4,44,41.8
2020/6,23:00,57.1,50.1,45.4
2020/7,23:00,58.1,55,57.1
2020/8,23:00,56.9,57,58.1
2020/9,23:00,57.8,56.3,56.9
2020/10,0:00,56.6,57.5,57.8
2020/11,0:00,55.9,56,56.6
2020/12,0:00,57.2,54.6,55.9
2021/1,0:00,58.7,56.8,57.7
2021/2,0:00,55.3,58.7,58.7
2021/3,23:00,63.7,59,55.3
2021/4,23:00,62.7,64.3,63.7
2021/5,23:00,64,63,62.7
2021/6,23:00,60.1,63.5,64
2021/7,23:00,64.1,60.5,60.1
2021/8,23:00,61.7,61.5,64.1
2021/9,23:00,61.9,60,61.7
2021/10,23:00,66.7,62,61.9
2021/11,0:00,69.1,65,66.7
2021/12,0:00,62,66.9,69.1
2022/1,0:00,59.9,59.5,62.3
2022/2,0:00,56.5,61,59.9
