公表日,時刻,結果,予想,前回
2011/6,,59.9,,
2011/7,,46.8,,
2011/8,,56.4,,
2011/9,,55.7,,
2011/10,,54.4,,
2011/11,,59.9,,
2011/12,,63.5,,
2012/1,,64.1,,
2012/2,,66.5,,
2012/3,,63.5,,
2012/4,,52.7,,
2012/5,,60.5,,
2012/6,,49,,
2012/7,,62.8,,
2012/8,,62.5,,
2012/9,,60.4,,
2012/10,,58.3,,
2012/11,,47.5,,
2012/12,,52.8,,
2013/1,,58.9,,
2013/2,,51.1,,
2013/3,,61.6,,
2013/4,,52.2,,
2013/5,,63.1,,
2013/6,,55.3,,
2013/7,,48.4,,
2013/8,,51,,
2013/9,,51.9,,
2013/10,,62.8,,
2013/11,,53.7,,
2013/12,,46.3,,
2014/1,,56.8,,
2014/2,,57.2,,
2014/3,,55.2,,
2014/4,,54.1,,
2014/5,,48.2,,
2014/6,,46.9,,
2014/7,,54.1,,
2014/8,,50.9,,
2014/9,,58.6,,
2014/10,,51.2,,
2014/11,,56.9,,
2014/12,,55.4,,
2015/1,,45.4,,
2015/2,,49.7,,
2015/3,,47.9,,
2015/4,,58.2,,
2015/5,,62.3,,
2015/6,,55.9,,
2015/7,,52.9,,
2015/8,,58,,
2015/9,,53.7,,
2015/10,,53.1,,
2015/11,,63.6,,
2015/12,,49.9,,
2016/1,,66,,
2016/2,,53.4,,
2016/3,,50.1,,
2016/4,,53.1,,
2016/5,,49.4,,
2016/6,,51.7,,
2016/7,,57,,
2016/8,,52.3,,
2016/9,,58.4,,
2016/10,,59.7,,
2016/11,,56.8,,
2016/12,,60.8,,
2017/1,,57.2,,
2017/2,,55,,
2017/3,,61.1,,
2017/4,,62.4,,
2017/5,,53.8,,
2017/6,,61.6,,
2017/7,,60,,
2017/8,,56.3,,
2017/9,,59.6,,
2017/10,,63.8,,
2017/11,,63,,
2017/12,,60.4,,
2018/1,,55.2,,
2018/2,,59.6,,
2018/3,,59.8,,
2018/4,,71.5,,
2018/5,,62.5,,
2018/6,,63.1,,
2018/7,,61.8,,
2018/8,,61.9,,
2018/9,,50.4,,
2018/10,,61.8,,
2018/11,,57.2,,
2018/12,,59.7,,
2019/1,,54.7,,
2019/2,,50.6,,
2019/3,,54.3,,
2019/4,,55.9,,
2019/5,,55.9,,
2019/6,,52.4,,
2019/7,,54.2,,
2019/8,,60.6,,
2019/9,,48.7,,
2019/10,,48.2,,
2019/11,,60,,
2019/12,,51.9,,
2020/1,,57.3,,
2020/2,,54.1,,
2020/3,,26,,
2020/4,,22.8,,
2020/5,,39.1,,
2020/6,,58.2,,
2020/7,,68.5,,
2020/8,,67.8,,
2020/9,,54.3,,
2020/10,,54.5,,
2020/11,,52.7,,
2020/12,,46.7,,
2021/1,,48.4,,
2021/2,,60,,
2021/3,,72.9,,
2021/4,,60.6,,
2021/5,,64.7,,
2021/6,,71.9,,
2021/7,,56.4,,
2021/8,,66,,
2021/9,,70.4,,
2021/10,,59.3,,
2021/11,,61.2,,
2021/12,,45,,
2022/1,,50.7,,
2022/2,,60.6,,
2022/3,,74.2,,
2022/4,,66.3,,
2022/5,,72,,
2022/6,,62.2,,
2022/7,,49.6,,
2022/8,,60.9,,
2022/9,,59.5,,
2022/10,,50.1,,
2022/11,,51.4,,
2022/12,,33.4,,
2023/1,,60.1,,
2023/2,,51.6,,
2023/3,,58.2,,
2023/4,,56.8,,
2023/5,,53.5,,
2023/6,,50.2,,
2023/7,,48.6,,
2023/8,,53.5,,
2023/9,,53.1,,
2023/10,,53.4,,
2023/11,,54.7,,
2023/12,,56.3,,
2024/1,,56.5,,
2024/2,,53.9,,
2024/3,,57.5,,
2024/4,,63,,
2024/5,,52,,
2024/6,,62.5,,
2024/7,,57.6,,
2024/8,,48.2,,
2024/9,,53.1,,
2024/10,,52,,
2024/11,,52.3,,
2024/12,,54.7,,
2025/1,,47.1,,
2025/2,,55.3,,
2025/3,,51.3,,
2025/4,,47.9,,
2025/5,,48.9,,
2025/6,,53.3,,
2025/7,,55.8,,
2025/8,,50.1,,
2025/9,,59.8,,
2025/10,,52.4,,
2025/11,,48.4,,
2025/12,,51.9,,
2026/1,,50.9,,
