公表日	時間	結果	予想	前回
2015/1		51.3		
2015/2		48.5		
2015/3		48.4		
2015/4		51.3		
2015/5		51.5		
2015/6		51.8		
2015/7		51.2		
2015/8		53.7		
2015/9		51.4		
2015/10		52.2		
2015/11		51.6		
2015/12		51.5		
2016/1		52.4		
2016/2		51.2		
2016/3		50		
2016/4		49.3		
2016/5		50.4		
2016/6		49.4		
2016/7		50.4		
2016/8		49.6		
2016/9		48.2		
2016/10		50.5		
2016/11		51.8		
2016/12		52.3		
2017/1		51.9		
2017/2		51.3		
2017/3		52.9		
2017/4		52.2		
2017/5		53		
2017/6		53.3		
2017/7		52		
2017/8		51.6		
2017/9		51		
2017/10		53.4		
2017/11		51.2		
2017/12		51.1		
2018/1		51.9		
2018/2		51.7		
2018/3		50.9		
2018/4		52.5		
2018/5		51		
2018/6		51.4		
2018/7		51.3		
2018/8		51.5		
2018/9		50.7		
2018/10		52.4		
2018/11		52.3		
2018/12		51		
2019/1		51.6		
2019/2		52.3		
2019/3		52		
2019/4		51.8		
2019/5		51.7		
2019/6		52.3		
2019/7		53.4		
2019/8		52.8		
2019/9		50.3		
2019/10		50.4		
2019/11		50.6		
2019/12		52.1		
2020/1		46.7		
2020/2		32.7		
2020/3		22.8		
2020/4		25.3		
2020/5		42.3		
2020/6		45.2		
2020/7		45		
2020/8		45.6		
2020/9		46.6		
2020/10		46.7		
2020/11		47.2		
2020/12		45.7		
2021/1		45.8		
2021/2		46.5		
2021/3		48.3		
2021/4		45.7		
2021/5		47.2		
2021/6		46.4		
2021/7		43.5		
2021/8		47.4		
2021/9		50.7		
2021/10		52.1		
2021/11		51.1		
2021/12		46.6		
2022/1		42.7		
2022/2		48.7		
2022/3		50.5		
2022/4		51.7		
2022/5		54.2		
2022/6		51.2		
2022/7		49.2		
2022/8		51.9		
2022/9		53		
2022/10		50		
2022/11		51.7		
2022/12		52.4		
2023/1		53.6		
2023/2		54.2		
2023/3		54.9		
2023/4		56.3		
2023/5		54.2		
2023/6		53.9		
2023/7		54.3		
2023/8		53.3		
2023/9		51.1		
2023/10		51.7		
2023/11		52		
2023/12		51.5		
2024/1		53.1		
2024/2		50.6		
2024/3		54.1		
2024/4		54.3		
2024/5		53.8		
2024/6		49.4		
2024/7		53.7		
2024/8		53.7		
2024/9		53.1		
2024/10		49.7		
2024/11		50.5		
2024/12		50.9		
2025/1		53		
2025/2		53.7		
2025/3		50		
2025/4		52.4		
2025/5		51		
2025/6		51.7		
2025/7		53.6		
2025/8		53.1		
2025/9		53.3		
2025/10		53.1		
2025/11		53.2		
2025/12				
