公表日	時間	結果	予想	前回
2020/1		51.9		
2020/2		51.5		
2020/3		51.4		
2020/4		50.2		
2020/5		51.1		
2020/6		48.9		
2020/7		51.6		
2020/8		51.1		
2020/9		50.8		
2020/10		50.1		
2020/11		49.6		
2020/12		52		
2021/1		52.9		
2021/2		52.5		
2021/3		49.7		
2021/4		52.6		
2021/5		52.3		
2021/6		51.7		
2021/7		50.6		
2021/8		51.5		
2021/9		50		
2021/10		50.4		
2021/11		50		
2021/12		49.9		
2022/1		51.8		
2022/2		52.6		
2022/3		52.1		
2022/4		52.3		
2022/5		54.9		
2022/6		52.5		
2022/7		51.9		
2022/8		50.7		
2022/9		50.8		
2022/10		50		
2022/11		48.9		
2022/12		51.7		
2023/1		50.9		
2023/2		48.9		
2023/3		50.6		
2023/4		53.2		
2023/5		51.4		
2023/6		50.9		
2023/7		49.3		
2023/8		44.6		
2023/9		48.8		
2023/10		51.8		
2023/11		52.5		
2023/12		50.7		
2024/1		47.7		
2024/2		45.9		
2024/3		47.7		
2024/4		47.8		
2024/5		48.1		
2024/6		50.2		
2024/7		48.3		
2024/8		47.6		
2024/9		46.7		
2024/10		48		
2024/11		47		
2024/12		46.7		
2025/1		45.5		
2025/2		44.9		
2025/3		43.9		
2025/4		37.9		
2025/5		27.4		
2025/6		27.8		
2025/7		35.8		
2025/8		47		
2025/9		51.1		
2025/10		49.8		
2025/11		48.6		
2025/12				
