公表日	時間	結果	予想	前回
2015/1		51.5		
2015/2		50.4		
2015/3		49.7		
2015/4		50.9		
2015/5		49.9		
2015/6		51.4		
2015/7		51.9		
2015/8		50.9		
2015/9		52.5		
2015/10		52.8		
2015/11		52.5		
2015/12		52.4		
2016/1		50.2		
2016/2		49.1		
2016/3		48		
2016/4		47.6		
2016/5		47.8		
2016/6		49		
2016/7		49.6		
2016/8		50.3		
2016/9		51.7		
2016/10		51.1		
2016/11		51.9		
2016/12		52.8		
2017/1		53.5		
2017/2		52.6		
2017/3		52.8		
2017/4		52		
2017/5		52		
2017/6		52.2		
2017/7		52.8		
2017/8		52.6		
2017/9		52.5		
2017/10		53.8		
2017/11		54.2		
2017/12		54.4		
2018/1		54		
2018/2		53.2		
2018/3		53.3		
2018/4		52.5		
2018/5		53.1		
2018/6		51.6		
2018/7		52.5		
2018/8		52.9		
2018/9		53.1		
2018/10		51.8		
2018/11		52.4		
2018/12		50		
2019/1		48.5		
2019/2		48.9		
2019/3		49.5		
2019/4		49.6		
2019/5		49.5		
2019/6		49.6		
2019/7		49.5		
2019/8		48.9		
2019/9		48.5		
2019/10		48.6		
2019/11		48.8		
2019/12		49.3		
2020/1		47.6		
2020/2		44.8		
2020/3		43.7		
2020/4		38.4		
2020/5		37.8		
2020/6		42.6		
2020/7		46.6		
2020/8		47.3		
2020/9		48		
2020/10		48.3		
2020/11		49.7		
2020/12		49.7		
2021/1		50.6		
2021/2		52		
2021/3		53.3		
2021/4		52.5		
2021/5		51.5		
2021/6		52.2		
2021/7		52.4		
2021/8		51.2		
2021/9		53		
2021/10		54.2		
2021/11		54.2		
2021/12		54.6		
2022/1		52.9		
2022/2		53.2		
2022/3		53.4		
2022/4		53.2		
2022/5		52.7		
2022/6		52.2		
2022/7		51		
2022/8		51		
2022/9		50.7		
2022/10		49.4		
2022/11		48.8		
2022/12		48.9		
2023/1		47.4		
2023/2		48.6		
2023/3		49.5		
2023/4		50.8		
2023/5		49.8		
2023/6		49.4		
2023/7		49.7		
2023/8		48.6		
2023/9		48.5		
2023/10		48.1		
2023/11		47.7		
2023/12		47.9		
2024/1		48		
2024/2		47.2		
2024/3		48.2		
2024/4		49.6		
2024/5		50.4		
2024/6		50		
2024/7		49.1		
2024/8		49.8		
2024/9		49.7		
2024/10		49.2		
2024/11		49		
2024/12		49.5		
2025/1		48.8		
2025/2		49		
2025/3		48.3		
2025/4		48.7		
2025/5		49		
2025/6		50.4		
2025/7		48.8		
2025/8		49.7		
2025/9		48.5		
2025/10		48.2		
2025/11		48.7		
2025/12				
