公表日,時刻,結果,予想,前回
2008/12,,-20,,
2009/1,,-32,,
2009/2,,-22,,
2009/3,,-13,,
2009/4,,-14,,
2009/5,,-2,,
2009/6,,4,,
2009/7,,10,,
2009/8,,8,,
2009/9,,15,,
2009/10,,14,,
2009/11,,19,,
2009/12,,8,,
2010/1,,19,,
2010/2,,19,,
2010/3,,16,,
2010/4,,13,,
2010/5,,5,,
2010/6,,4,,
2010/7,,2,,
2010/8,,11,,
2010/9,,10,,
2010/10,,8,,
2010/11,,6,,
2010/12,,-3,,
2011/1,,4,,
2011/2,,14,,
2011/3,,9,,
2011/4,,7,,
2011/5,,6,,
2011/6,,0,,
2011/7,,2,,
2011/8,,-2,,
2011/9,,-1,,
2011/10,,2,,
2011/11,,2,,
2011/12,,3,,
2012/1,,4,,
2012/2,,1,,
2012/3,,3,,
2012/4,,4,,
2012/5,,-2,,
2012/6,,-3,,
2012/7,,4,,
2012/8,,-2,,
2012/9,,0,,
2012/10,,-1,,
2012/11,,-9,,
2012/12,,3,,
2013/1,,3,,
2013/2,,1,,
2013/3,,2,,
2013/4,,-2,,
2013/5,,-1,,
2013/6,,0,,
2013/7,,-3,,
2013/8,,6,,
2013/9,,12,,
2013/10,,5,,
2013/11,,5,,
2013/12,,6,,
2014/1,,8,,
2014/2,,7,,
2014/3,,4,,
2014/4,,6,,
2014/5,,7,,
2014/6,,8,,
2014/7,,11,,
2014/8,,8,,
2014/9,,5,,
2014/10,,4,,
2014/11,,1,,
2014/12,,2,,
2015/1,,3,,
2015/2,,0,,
2015/3,,3,,
2015/4,,3,,
2015/5,,8,,
2015/6,,8,,
2015/7,,4,,
2015/8,,1,,
2015/9,,5,,
2015/10,,2,,
2015/11,,5,,
2015/12,,2,,
2016/1,,3,,
2016/2,,3,,
2016/3,,6,,
2016/4,,5,,
2016/5,,3,,
2016/6,,5,,
2016/7,,4,,
2016/8,,6,,
2016/9,,6,,
2016/10,,4,,
2016/11,,5,,
2016/12,,6,,
2017/1,,10,,
2017/2,,7,,
2017/3,,6,,
2017/4,,13,,
2017/5,,7,,
2017/6,,8,,
2017/7,,12,,
2017/8,,5,,
2017/9,,8,,
2017/10,,9,,
2017/11,,7,,
2017/12,,10,,
2018/1,,11,,
2018/2,,9,,
2018/3,,8,,
2018/4,,11,,
2018/5,,7,,
2018/6,,6,,
2018/7,,7,,
2018/8,,5,,
2018/9,,6,,
2018/10,,5,,
2018/11,,3,,
2018/12,,3,,
2019/1,,4,,
2019/2,,2,,
2019/3,,-1,,
2019/4,,0,,
2019/5,,7,,
2019/6,,2,,
2019/7,,4,,
2019/8,,1,,
2019/9,,0,,
2019/10,,2,,
2019/11,,0,,
2019/12,,-2,,
2020/1,,-1,,
2020/2,,-2,,
2020/3,,-65,,
2020/4,,-45,,
2020/5,,-20,,
2020/6,,0,,
2020/7,,-14,,
2020/8,,-8,,
2020/9,,-4,,
2020/10,,3,,
2020/11,,13,,
2020/12,,5,,
2021/1,,12,,
2021/2,,18,,
2021/3,,17,,
2021/4,,23,,
2021/5,,20,,
2021/6,,11,,
2021/7,,-7,,
2021/8,,-5,,
2021/9,,13,,
2021/10,,21,,
2021/11,,12,,
2021/12,,-12,,
2022/1,,3,,
2022/2,,13,,
2022/3,,16,,
2022/4,,10,,
2022/5,,6,,
2022/6,,1,,
2022/7,,7,,
2022/8,,10,,
2022/9,,5,,
2022/10,,0,,
2022/11,,-4,,
2022/12,,0,,
2023/1,,6,,
2023/2,,-4,,
2023/3,,-1,,
2023/4,,0,,
2023/5,,-4,,
2023/6,,-1,,
2023/7,,1,,
2023/8,,1,,
2023/9,,0,,
2023/10,,-3,,
2023/11,,-9,,
2023/12,,0,,
2024/1,,1,,
2024/2,,0,,
2024/3,,1,,
2024/4,,2,,
2024/5,,-2,,
2024/6,,3,,
2024/7,,1,,
2024/8,,-5,,
2024/9,,-2,,
2024/10,,5,,
2024/11,,-3,,
2024/12,,-2,,
2025/1,,5,,
2025/2,,-2,,
2025/3,,-2,,
2025/4,,-1,,
2025/5,,2,,
2025/6,,5,,
2025/7,,8,,
2025/8,,4,,
2025/9,,7,,
2025/10,,6,,
2025/11,,2,,
2025/12,,2,,
2026/1,,3,,
