公表日,時刻,結果,予想,前回
2008年04月08日 (Q1),7:00,-64.00%,,
2008年07月08日 (Q2),7:00,-64.00%,,
2008年10月07日 (Q3),6:00,-19.00%,,
2009年1月13日 (Q4),6:00,-64.00%,,
2009年04月07日 (Q1),7:00,-65.00%,,
2009年07月07日 (Q2),7:00,-25.00%,,
2009年10月06日 (Q3),6:00,36.00%,,
2010年1月12日 (Q4),6:00,31.00%,,
2010年04月06日 (Q1),7:00,22.00%,,
2010年07月06日 (Q2),7:00,18.00%,,
2010年10月05日 (Q3),6:00,6.00%,,
2011年1月11日 (Q4),6:00,8.00%,,
2011年04月05日 (Q1),7:00,-27.00%,,
2011年07月05日 (Q2),7:00,27.00%,,
2011年10月04日 (Q3),6:00,25.00%,,
2012年1月17日 (Q4),6:00,0.00%,,
2012年4月11日 (Q1),7:00,13.00%,,
2012年7月10日 (Q2),7:00,-4.00%,,
2012年10月09日 (Q3),6:00,8.00%,,
2013年1月15日 (Q4),6:00,20.00%,,
2013年04月09日 (Q1),7:00,23.00%,,
2013年07月09日 (Q2),7:00,32.00%,,
2013年10月08日 (Q3),6:00,38.00%,,
2014年1月14日 (Q4),6:00,53.00%,,
2014年04月08日 (Q1),7:00,52.00%,,
2014年7月08日 (Q2),7:00,32.00%,,
2014年10月07日 (Q3),6:00,19.00%,,
2015年1月20日 (Q4),6:00,24.00%,,
2015年4月14日 (Q1),7:00,23.00%,,
2015年7月07日 (Q2),7:00,5.00%,,
2015年10月06日 (Q3),6:00,-14.00%,,
2016年1月19日 (Q4),6:00,15.00%,,
2016年4月05日 (Q1),7:00,2.00%,,
2016年7月05日 (Q2),7:00,19.00%,,
2016年10月04日 (Q3),6:00,26.00%,,
2017年1月17日 (Q4),6:00,28.00%,,
2017年4月04日 (Q1),7:00,17.00%,,
2017年7月04日 (Q2),7:00,18.00%,,
2017年10月03日 (Q3),6:00,5.00%,,
2018年1月16日 (Q4),6:00,-12.00%,,
2018年4月10日 (Q1),7:00,-11.00%,,
2018年7月03日 (Q2),7:00,-20.00%,,
2018年10月02日 (Q3),6:00,-30.00%,,
2019年1月15日 (Q4),6:00,-17.00%,,
2019年4月02日 (Q1),6:00,-29.00%,,
2019年7月02日 (Q2),7:00,-34.00%,,
2019年10月01日 (Q3),6:00,-40.00%,,
2020年1月14日 (Q4),6:00,-21.00%,,
2020年4月07日 (Q1),7:00,-70.00%,,
2020年7月07日 (Q2),7:00,-63.00%,,
2020年10月20日 (Q3),6:00,-40.00%,,
2021年1月19日 (Q4),6:00,-6.00%,,
2021年4月13日 (Q1),7:00,-13.00%,,
2021年7月06日 (Q2),7:00,7.00%,,
2021年10月05日 (Q3),6:00,-11.00%,,
2022年1月18日 (Q4),6:00,-28.00%,,
2022年4月12日 (Q1),7:00,-40.00%,,
2022年7月05日 (Q2),7:00,-65.00%,,
2022年10月04日 (Q3),6:00,-42.00%,,
2023年1月17日 (Q4),6:00,-70.00%,,
2023年4月04日 (Q1),7:00,-66.00%,,
2023年7月04日 (Q2),7:00,-63.00%,,
2023年10月03日 (Q3),6:00,-52.00%,,
2024年1月16日 (Q4),6:00,-2.00%,,
2024年4月09日 (Q1),7:00,-25.00%,,
2024年7月02日 (Q2),7:00,-44.00%,,
2024年10月01日 (Q3),6:00,-1.00%,,
2025年1月14日 (Q4),6:00,16.00%,,
2025年4月08日 (Q1),7:00,19.00%,,
2025年7月01日 (Q2),7:00,22.00%,,
2025年10月07日 (Q3),6:00,18.00%,,
2026年1月13日 (Q4),6:00,48.00%,,
