公表日時,発表時間,結果,予想,前回
2010/1,,32,,30
2010/2,,18,,32
2010/3,,9,,17
2010/4,,19,,9
2010/5,,22,,17
2010/6,,9,,22
2010/7,,-8,,9
2010/8,,-32,,-8
2010/9,,-36,,-32
2010/10,,-49,,-36
2010/11,,-44,,-49
2010/12,,-39,,-44
2011/1,,-31,,-39
2011/2,,-26,,-31
2011/3,,-23,,-26
2011/4,,-21,,-23
2011/5,,-28,,-21
2011/6,,-26,,-28
2011/7,,-22,,-27
2011/8,,-23,,-22
2011/9,,-23,,-23
2011/10,,-24,,-23
2011/11,,-17,,-24
2011/12,,-16,,-17
2012/1,,-16,,-16
2012/2,,-13,,-16
2012/3,,-11,,-13
2012/4,,-19,,-10
2012/5,,-17,,-19
2012/6,,-22,,-16
2012/7,,-23,,-22
2012/8,,-18,,-24
2012/9,,-14,,-19
2012/10,,-7,,-15
2012/11,,-9,,-7
2012/12,,0,,-9
2013/1,,-4,,0
2013/2,,-7,,-4
2013/3,,-2,,-6
2013/4,,1,,-1
2013/5,,5,,1
2013/6,,21,,5
2013/7,,37,,21
2013/8,,41,,36
2013/9,,53,,40
2013/10,,57,,54
2013/11,,58,,57
2013/12,,56,,58
2014/1,,53,,56
2014/2,,47,,53
2014/3,,57,,45
2014/4,,55,,57
2014/5,,56,,54
2014/6,,53,,57
2014/7,,48,,53
2014/8,,39,,49
2014/9,,30,,40
2014/10,,20,,30
2014/11,,13,,20
2014/12,,12,,13
2015/1,,7,,11
2015/2,,15,,7
2015/3,,21,,14
2015/4,,33,,22
2015/5,,34,,32
2015/6,,40,,34
2015/7,,44,,40
2015/8,,53,,44
2015/9,,44,,53
2015/10,,49,,44
2015/11,,49,,50
2015/12,,50,,49
2016/1,,49,,50
2016/2,,50,,48
2016/3,,42,,50
2016/4,,41,,42
2016/5,,19,,39
2016/6,,16,,19
2016/7,,5,,16
2016/8,,12,,5
2016/9,,17,,13
2016/10,,23,,18
2016/11,,30,,23
2016/12,,24,,27
2017/1,,25,,21
2017/2,,24,,20
2017/3,,22,,25
2017/4,,22,,22
2017/5,,17,,25
2017/6,,7,25.6,19
2017/7,,1,16.7,7
2017/8,,6,2.9,2
2017/9,,6,-4.1,5
2017/10,,1,9.4,4
2017/11,,0,-3.2,-1
2017/12,,8,-10.8,-2
2018/1,,8,5.6,8
2018/2,,0,17.1,7
2018/3,,0,5.5,3
2018/4,,-8,-5.5,2
2018/5,,-3,-5.5,-1
2018/6,,2,-17.4,0
2018/7,,4,12.1,1
2018/8,,2,12.1,2
2018/9,,-2,0.7,-5
2018/10,,-10,-13.1,-6
2018/11,,-11,-13.1,-15
2018/12,,-19,-11.7,-12
2019/1,,-22,-20.1,-19
2019/2,,-28,-25.7,-21
2019/3,,-24,-34.6,-22
2019/4,,-23,-34.6,-19
2019/5,,-10,-15,-16
2019/6,,-1,-15,-8
2019/7,,-9,-2.5,0
2019/8,,-4,11.2,-10
2019/9,,-2,-6.7,-9
2019/10,,-5,2.7,-7
2019/11,,-12,-5.6,-10
2019/12,,-2,-17,-13
2020/1,,17,-0.6,1
2020/2,,29,33.1,22
2020/3,,11,44.3,34
2020/4,,-21,6.3,12
2020/5,,-32,-51,-21
2020/6,,-15,-53.4,-35
2020/7,,12,4.5,-11
2020/8,,44,17.5,14
2020/9,,61,63.3,42
2020/10,,68,80.3,59
2020/11,,66,54.8,65
2020/12,,65,56.5,63
2021/1,,50,75.7,67
2021/2,,52,35.9,56
2021/3,,59,53.9,57
2021/4,,75,71.8,65
2021/5,,83,88.6,72
2021/6,,83,82.6,77
2021/7,,79,79.3,78
2021/8,,73,75.7,71
2021/9,,68,-11,70
2021/10,,70,47.2,67
2021/11,,71,69.9,75
2021/12,,69,71.4,77
2022/1,,74,21.7,77
2022/2,,79,72.5,82
2022/3,,74,77.7,81
2022/4,,80,77.5,73
2022/5,,73,63.3,73
2022/6,,65,30.2,64
2022/7,,63,69.6,56
2022/8,,53,64.5,53
2022/9,,32,58.3,50
2022/10,,-2,42.5,29
2022/11,,-25,15,3
2022/12,,-42,-31.8,-22
2023/1,,-47,-33.6,-36
2023/2,,-48,-44.7,-41
2023/3,,-43,-38,-45
2023/4,,-39,-45.6,-43
2023/5,,-30,-41.1,-43
2023/6,,-46,-34.5,-33
2023/7,,-53,-38.1,-51
2023/8,,-68,-49.8,-55
2023/9,,-69,-61.1,-66
2023/10,,-63,-50.6,-66
2023/11,,-43,0,-57
2023/12,,-30,27.2,-40
2024/1,,-18,-40.5,-29
2024/2,,-10,-22.8,-19
2024/3,,-4,26.4,-11
2024/4,,-5,-3.1,-5
2024/5,,-17,-1.4,-7
2024/6,,-17,9.3,-17
2024/7,,-19,-2.2,-17
2024/8,,1,-24,-18
2024/9,,11,-1.9,0
2024/10,,16,7,11
2024/11,,25,-8,16
2024/12,,28,21.3,25
2025/1,,22,26,28
2025/2,,11,15.8,22
2025/3,,2,2,11
2025/4,,-39,-2.9,2
2025/5,,-8,-26.6,-39
2025/6,,-7,-16.4,-8
2025/7,,-13,-7.6,-7
2025/8,,-19,-4.2,-13
2025/9,,-15,,-19
2025/10,,-19,-7.3,-15
2025/11,,-16,-29.9,-19
2025/12,,-14,-35.3,-16
