公表日,結果
2010/1,"30,136"
2010/2,"30,132"
2010/3,"31,919"
2010/4,"33,809"
2010/5,"34,819"
2010/6,"36,334"
2010/7,"37,218"
2010/8,"37,391"
2010/9,"37,638"
2010/10,"38,427"
2010/11,"36,846"
2010/12,"34,869"
2011/1,"35,371"
2011/2,"32,691"
2011/3,"37,315"
2011/4,"37,127"
2011/5,"36,709"
2011/6,"36,673"
2011/7,"35,432"
2011/8,"37,645"
2011/9,"33,406"
2011/10,"37,610"
2011/11,"35,859"
2011/12,"31,242"
2012/1,"34,569"
2012/2,"33,856"
2012/3,"37,083"
2012/4,"40,496"
2012/5,"44,138"
2012/6,"43,427"
2012/7,"48,525"
2012/8,"49,497"
2012/9,"43,353"
2012/10,"49,938"
2012/11,"44,253"
2012/12,"37,114"
2013/1,"47,439"
2013/2,"41,182"
2013/3,"44,134"
2013/4,"50,071"
2013/5,"51,788"
2013/6,"54,028"
2013/7,"52,103"
2013/8,"55,091"
2013/9,"55,382"
2013/10,"51,795"
2013/11,"44,330"
2013/12,"49,681"
2014/1,"51,430"
2014/2,"46,829"
2014/3,"49,956"
2014/4,"61,887"
2014/5,"60,789"
2014/6,"60,344"
2014/7,"64,925"
2014/8,"69,279"
2014/9,"74,846"
2014/10,"80,736"
2014/11,"72,275"
2014/12,"69,510"
2015/1,"87,120"
2015/2,"62,645"
2015/3,"72,269"
2015/4,"75,330"
2015/5,"70,155"
2015/6,"59,955"
2015/7,"80,953"
2015/8,"67,038"
2015/9,"64,514"
2015/10,"81,743"
2015/11,"63,428"
2015/12,"58,347"
2016/1,"70,855"
2016/2,"59,551"
2016/3,"73,089"
2016/4,"66,843"
2016/5,"73,576"
2016/6,"81,391"
2016/7,"76,392"
2016/8,"94,311"
2016/9,"89,703"
2016/10,"91,085"
2016/11,"93,030"
2016/12,"78,112"
2017/1,"76,616"
2017/2,"71,423"
2017/3,"85,875"
2017/4,"56,872"
2017/5,"72,796"
2017/6,"84,187"
2017/7,"71,611"
2017/8,"91,917"
2017/9,"88,579"
2017/10,"94,520"
2017/11,"93,153"
2017/12,"89,897"
2018/1,"79,741"
2018/2,"64,641"
2018/3,"103,697"
2018/4,"81,870"
2018/5,"80,969"
2018/6,"70,438"
2018/7,"74,371"
2018/8,"91,055"
2018/9,"94,922"
2018/10,"101,550"
2018/11,"98,389"
2018/12,"89,831"
2019/1,"78,094"
2019/2,"60,889"
2019/3,"79,722"
2019/4,"74,694"
2019/5,"80,437"
2019/6,"85,868"
2019/7,"84,758"
2019/8,"106,118"
2019/9,"102,170"
2019/10,"106,040"
2019/11,"107,884"
2019/12,"103,313"
2020/1,"103,683"
2020/2,"93,394"
2020/3,"113,520"
2020/4,"96,002"
2020/5,"93,819"
2020/6,"120,878"
2020/7,"105,963"
2020/8,"122,878"
2020/9,"127,585"
2020/10,"119,303"
2020/11,"124,865"
2020/12,"117,365"
2021/1,"126,749"
2021/2,"106,534"
2021/3,"129,127"
2021/4,"111,315"
2021/5,"112,360"
2021/6,"148,471"
2021/7,"124,558"
2021/8,"137,427"
2021/9,"152,685"
2021/10,"134,539"
2021/11,"148,268"
2021/12,"155,382"
2022/1,"172,176"
2022/2,"146,933"
2022/3,"171,967"
2022/4,"172,561"
2022/5,"185,705"
2022/6,"175,874"
2022/7,"186,763"
2022/8,"218,132"
2022/9,"208,248"
2022/10,"210,266"
2022/11,"222,706"
2022/12,"192,560"
2023/1,"200,051"
2023/2,"163,174"
2023/3,"145,408"
2023/4,"147,900"
2023/5,"176,537"
2023/6,"156,404"
2023/7,"177,616"
2023/8,"188,686"
2023/9,"180,430"
2023/10,"243,203"
2023/11,"206,026"
2023/12,"176,300"
2024/1,"215,785"
2024/2,"181,648"
2024/3,"195,211"
2024/4,"236,021"
2024/5,"229,620"
2024/6,"207,869"
2024/7,"256,953"
2024/8,"250,866"
2024/9,"251,873"
2024/10,"314,240"
2024/11,"276,058"
2024/12,"278,163"
2025/1,"293,288"
2025/2,"260,009"
2025/3,"285,957"
2025/4,"349,567"
2025/5,"320,516"
2025/6,"263,709"
2025/7,"323,166"
2025/8,"335,772"
2025/9,"330,980"
2025/10,"367,473"
2025/11,"343,614"
2025/12,"335,003"
2026/1,"401,255"
