公表日時,発表時間,結果,予想,前回,,
2010/1,,-17,,-19,,
2010/2,,-14,,-17,,
2010/3,,-15,,-14,,
2010/4,,-16,,-15,,
2010/5,,-18,,-16,,
2010/6,,-19,,-18,,
2010/7,,-22,,-19,,
2010/8,,-18,,-22,,
2010/9,,-20,,-18,,
2010/10,,-19,,-20,,
2010/11,,-21,,-19,,
2010/12,,-21,,-21,,
2011/1,,-29,,-21,,
2011/2,,-28,,-29,,
2011/3,,-28,,-28,,
2011/4,,-31,,-28,,
2011/5,,-21,,-31,,
2011/6,,-25,,-21,,
2011/7,,-30,,-25,,
2011/8,,-31,,-30,,
2011/9,,-30,,-31,,
2011/10,,-32,,-30,,
2011/11,,-31,,-32,,
2011/12,,-33,,-31,,
2012/1,,-29,,-33,,
2012/2,,-29,,-29,,
2012/3,,-31,,-29,,
2012/4,,-31,,-31,,
2012/5,,-29,,-31,,
2012/6,,-29,,-29,,
2012/7,,-29,,-29,,
2012/8,,-29,,-29,,
2012/9,,-28,,-29,,
2012/10,,-30,,-28,,
2012/11,,-22,,-30,,
2012/12,,-29,,-22,,
2013/1,,-26,,-29,,
2013/2,,-26,,-26,,
2013/3,,-26,,-26,,
2013/4,,-27,,-26,,
2013/5,,-22,,-27,,
2013/6,,-21,,-22,,
2013/7,,-16,,-21,,
2013/8,,-13,,-16,,
2013/9,,-10,,-13,,
2013/10,,-11,,-10,,
2013/11,,-12,,-11,,
2013/12,,-13,,-12,,
2014/1,,-7,,-13,,
2014/2,,-7,,-7,,
2014/3,,-5,,-7,,
2014/4,,-3,,-5,,
2014/5,,0,,-3,,
2014/6,,1,,0,,
2014/7,,-2,,1,,
2014/8,,1,,-2,,
2014/9,,-1,,1,,
2014/10,,-2,,-1,,
2014/11,,-2,,-2,,
2014/12,,-4,,-2,,
2015/1,,1,,-4,,
2015/2,,1,,1,,
2015/3,,4,,1,,
2015/4,,4,,4,,
2015/5,,1,,4,,
2015/6,,7,,1,,
2015/7,,4,,7,,
2015/8,,7,,4,,
2015/9,,3,,7,,
2015/10,,2,,3,,
2015/11,,1,,2,,
2015/12,,2,,1,,
2016/1,,4,,2,,
2016/2,,0,,4,,
2016/3,,0,,0,,
2016/4,,-3,,0,,
2016/5,,-1,,-3,,
2016/6,,-1,,-1,,
2016/7,,-12,,-9,,
2016/8,,-7,,-12,,
2016/9,,-1,,-7,,
2016/10,,-3,,-1,,
2016/11,,-8,,-3,,
2016/12,,-7,,-8,,
2017/1,,-5,,-7,,
2017/2,,-6,,-5,,
2017/3,,-6,,-6,,
2017/4,,-7,,-6,,
2017/5,,-5,,-7,,
2017/6,,-10,,-5,,
2017/7,,-12,,-10,,
2017/8,,-10,,-12,,
2017/9,,-9,,-10,,
2017/10,,-10,,-9,,
2017/11,,-12,,-10,,
2017/12,,-13,,-12,,
2018/1,,-9,,-13,,
2018/2,,-10,,-9,,
2018/3,,-7,,-10,,
2018/4,,-9,,-7,,
2018/5,,-7,,-9,,
2018/6,,-9,,-7,,
2018/7,,-10,,-9,,
2018/8,,-7,,-10,,
2018/9,,-9,,-7,,
2018/10,,-10,,-9,,
2018/11,,-13,,-10,,
2018/12,,-14,,-13,,
2019/1,,-14,,-14,,
2019/2,,-13,,-14,,
2019/3,,-13,,-13,,
2019/4,,-13,,-13,,
2019/5,,-10,,-13,,
2019/6,,-13,,-10,,
2019/7,,-11,,-13,,
2019/8,,-14,,-11,,
2019/9,,-12,-11,-14,,
2019/10,,-14,-11,-12,,
2019/11,,-14,-12,-14,,
2019/12,,-11,-13,-14,,
2020/1,,-9,-13,-11,,
2020/2,,-7,-6,-9,,
2020/3,,-9,-12,-7,,
2020/4,,-34,-10,-9,,
2020/5,,-34,-10,-34,,
2020/6,,-30,-14,-34,,
2020/7,,-27,-25,-30,,
2020/8,,-27,-29,-27,,
2020/9,,-25,-27,-27,,
2020/10,,-31,-26,-25,,
2020/11,,-33,-28,-31,,
2020/12,,-26,-32,-33,,
2021/1,,-28,-30,-26,,
2021/2,,-23,-27,-28,,
2021/3,,-16,-26,-23,,
2021/4,,-15,-19,-16,,
2021/5,,-9,-15,-15,,
2021/6,,-9,-12,-9,,
2021/7,,-7,-9,-9,,
2021/8,,-8,-8,-7,,
2021/9,,-13,-7,-8,,
2021/10,,-17,-10,-13,,
2021/11,,-14,-15,-17,,
2021/12,,-15,-15,-14,,
2022/1,,-19,-14,-15,,
2022/2,,-26,-17,-19,,
2022/3,,-31,-23,-26,,
2022/4,,-38,-29,-31,,
2022/5,,-40,-35,-38,,
2022/6,,-41,-40,-40,,
2022/7,,-41,-17,-41,,
2022/8,,-44,-42,-41,,
2022/9,,-49,-43,-44,,
2022/10,,-47,-48,-49,,
2022/11,,-44,-49,-47,,
2022/12,,-42,-46,-44,,
2023/1,,-45,-44,-42,,
2023/2,,-38,-44,-45,,
2023/3,,-36,-42,-38,,
2023/4,,-30,-37,-36,,
2023/5,,-27,-33,-30,,
2023/6,,-24,-29,-27,,
2023/7,,-30,-26,-24,,
2023/8,,-25,-27,-30,,
2023/9,,-21,-28,-25,,
2023/10,,-30,-23,-21,,
2023/11,,-24,-26,-30,,
2023/12,,-22,-27,-24,,
2024/1,,-19,-17,-22,,
2024/2,,-21,-29,-19,,
2024/3,,-21,-17,-21,,
2024/4,,-19,-17,-21,,
2024/5,,-17,188,-19,,
2024/6,,-14,24,-17,,
2024/7,,-13,26,-14,,
2024/8,,-13,182,-13,,
2024/9,,-20,7,-13,,
2024/10,,-21,75,-20,,
2024/11,,-18,72,-21,,
2024/12,,-17,-13,-18,,
2025/1,,-22,-18,-17,,
2025/2,,-20,-22,-22,,
2025/3,,-19,-17,-17,,
2025/4,,-23,-19,-19,,
2025/5,,-20,-26,-23,,
2025/6,,-18,-20,-20,,
2025/7,,-19,-12,-18,,
2025/8,,-17,,-19,,
2025/9,,-19,-16,-17,,
2025/10,,-17,,-19,,
2025/11,,-19,-20,-17,,
2025/12,,-17,-18,-19,,2025.12.19
