公表日,時間,結果,予想,前回
2010/1,,54.5,,56.8
2010/2,,58.4,,54.5
2010/3,,56.5,,58.4
2010/4,,55.3,,56.5
2010/5,,55.4,,55.3
2010/6,,54.4,,55.4
2010/7,,53.1,,54.4
2010/8,,51.3,,53.1
2010/9,,52.8,,51.3
2010/10,,53.2,,52.8
2010/11,,53,,53.2
2010/12,,49.7,,53
2011/1,,54.5,,49.7
2011/2,,52.6,,54.5
2011/3,,57.1,,52.6
2011/4,,54.3,,57.1
2011/5,,53.8,,54.3
2011/6,,53.9,,53.8
2011/7,,55.4,,53.9
2011/8,,51.1,,55.4
2011/9,,52.9,,51.1
2011/10,,51.3,,52.9
2011/11,,52.1,,51.3
2011/12,,54,,52.1
2012/1,,56,,54
2012/2,,53.8,,56
2012/3,,55.3,,53.8
2012/4,,53.3,,55.3
2012/5,,53.3,,53.3
2012/6,,51.3,,53.3
2012/7,,51,,51.3
2012/8,,53.7,,51
2012/9,,52.2,,53.7
2012/10,,50.6,,52.2
2012/11,,50.2,,50.6
2012/12,,48.9,,50.2
2013/1,,51.5,,48.9
2013/2,,51.8,,51.5
2013/3,,52.4,,51.8
2013/4,,52.9,,52.4
2013/5,,54.9,,52.9
2013/6,,56.9,,54.9
2013/7,,60.2,,56.9
2013/8,,60.5,,60.2
2013/9,,60.3,,60.5
2013/10,,62.5,,60.3
2013/11,,60,,62.5
2013/12,,58.8,,60
2014/1,,58.3,,58.8
2014/2,,58.2,,58.3
2014/3,,57.6,,58.2
2014/4,,58.7,,57.6
2014/5,,58.6,,58.7
2014/6,,57.7,,58.6
2014/7,,59.1,,57.7
2014/8,,60.5,,59.1
2014/9,,58.7,,60.5
2014/10,,56.2,,58.7
2014/11,,58.6,,56.2
2014/12,,55.8,,58.6
2015/1,,57.2,,55.8
2015/2,,56.7,,57.2
2015/3,,58.9,,56.7
2015/4,,59.5,,58.9
2015/5,,56.5,,59.5
2015/6,,58.5,,56.5
2015/7,,57.4,,58.5
2015/8,,55.6,,57.4
2015/9,,53.3,,55.6
2015/10,,54.9,,53.3
2015/11,,55.9,,54.9
2015/12,,55.5,,55.9
2016/1,,55.6,,55.5
2016/2,,52.7,,55.6
2016/3,,53.7,,52.7
2016/4,,52.3,,53.7
2016/5,,53.5,,52.3
2016/6,,52.3,,53.5
2016/7,,47.4,,52.3
2016/8,,52.9,,47.4
2016/9,,52.6,,52.9
2016/10,,54.5,,52.6
2016/11,,55.2,,54.5
2016/12,,56.2,,55.2
2017/1,,54.5,,56.2
2017/2,,53.3,,54.5
2017/3,,55,,53.3
2017/4,,55.8,,55
2017/5,,53.8,,55.8
2017/6,,53.4,,53.8
2017/7,,53.8,53.6,53.4
2017/8,,53.2,55.4,53.8
2017/9,,53.6,54.8,53.2
2017/10,,55.6,54.3,53.6
2017/11,,53.8,54.1,55.6
2017/12,,54.2,53.9,53.8
2018/1,,53,53.8,54.2
2018/2,,54.5,53.5,53
2018/3,,51.7,53.7,54.5
2018/4,,52.8,53,51.7
2018/5,,54,52.2,52.8
2018/6,,55.1,53.4,54
2018/7,,53.5,54.5,55.1
2018/8,,54.3,54.3,53.5
2018/9,,53.9,53.9,54.3
2018/10,,52.2,54.1,53.9
2018/11,,50.4,53,52.2
2018/12,,51.2,51.2,50.4
2019/1,,50.1,50.7,51.2
2019/2,,51.3,50.6,50.1
2019/3,,48.9,50.6,51.3
2019/4,,50.4,50,48.9
2019/5,,51,49.6,50.4
2019/6,,50.2,50.6,51
2019/7,,51.4,50.5,50.2
2019/8,,50.6,50.7,51.4
2019/9,,49.5,50.9,50.6
2019/10,,50,50,49.5
2019/11,,49.3,48.6,48.6
2019/12,,50,49,49
2020/1,,53.9,52.9,52.9
2020/2,,53.2,53.3,53.3
2020/3,,34.5,35.7,35.7
2020/4,,13.4,12.3,12.3
2020/5,,29,27.8,27.8
2020/6,,47.1,47,47
2020/7,,56.5,56.6,56.6
2020/8,,58.8,60.1,60.1
2020/9,,56.1,55.1,55.1
2020/10,,51.4,52.3,52.3
2020/11,,47.6,45.8,45.8
2020/12,,49.4,49.9,49.9
2021/1,,39.5,38.8,38.8
2021/2,,49.5,49.7,49.7
2021/3,,56.3,56.8,56.8
2021/4,,61,60.1,60.1
2021/5,,62.9,61.8,61.8
2021/6,,62.4,61.7,61.7
2021/7,,59.6,57.8,57.8
2021/8,,55,55.5,55.5
2021/9,,55.4,54.6,54.6
2021/10,,59.1,58,58
2021/11,,58.5,58.6,58.6
2021/12,,53.6,53.2,53.2
2022/1,,54.1,53.3,53.3
2022/2,,60.5,60.8,60.8
2022/3,,62.6,61,61
2022/4,,58.9,58.3,58.3
2022/5,,53.4,51.8,51.8
2022/6,,54.3,53.4,53.4
2022/7,,52.6,53.3,53.3
2022/8,,50.9,52.5,52.5
2022/9,,50,49.2,49.2
2022/10,,48.8,47.5,47.5
2022/11,,48.8,48.8,48.8
2022/12,,49.9,50,50
2023/1,,48.7,48,48
2023/2,,53.5,53.3,53.3
2023/3,,52.9,52.8,52.8
2023/4,,55.9,54.9,54.9
2023/5,,55.2,55.1,55.1
2023/6,,53.7,53.7,53.7
2023/7,,51.5,51.5,51.5
2023/8,,49.5,48.7,48.7
2023/9,,49.3,47.2,47.2
2023/10,,49.5,49.2,49.2
2023/11,,50.9,50.5,50.5
2023/12,,53.4,52.7,52.7
2024/1,,54.3,53.8,53.8
2024/2,,53.8,54.3,54.3
2024/3,,53.1,53.4,53.4
2024/4,,55,54.9,54.9
2024/5,,52.9,52.9,52.9
2024/6,,52.1,51.2,51.2
2024/7,,52.5,52.4,52.4
2024/8,,53.7,53.3,53.3
2024/9,,52.4,52.8,52.8
2024/10,,52,51.8,51.8
2024/11,,50.8,50,50
2024/12,,51.1,51.4,51.4
2025/1,,50.8,51.2,51.2
2025/2,,51,51.1,51.1
2025/3,,52.5,53.2,53.2
2025/4,,49,48.9,48.9
2025/5,,50.9,,50.2
2025/6,,52.8,51.3,51.3
2025/7,,51.8,51.2,51.2
2025/8,,54.2,53.6,53.6
2025/9,,50.8,,51.9
2025/10,,52.3,51.1,51.1
2025/11,,51.3,50.5,50.5
2025/12,,51.4,51.4,51.4
