公表日,時間,結果,予想,前回
2020/1,,53.3,,52.4
2020/2,,53,,53.3
2020/3,,36,,37.1
2020/4,,13.8,,12.9
2020/5,,30,,28.9
2020/6,,47.7,,47.6
2020/7,,57,,57.1
2020/8,,59.1,,60.3
2020/9,,56.5,,55.7
2020/10,,52.1,,52.9
2020/11,,49,,47.4
2020/12,,50.4,,50.7
2021/1,,41.2,,40.6
2021/2,,49.6,,49.8
2021/3,,56.4,,56.6
2021/4,,60.7,,60
2021/5,,62.9,,62
2021/6,,62.2,,61.7
2021/7,,59.2,,57.7
2021/8,,54.8,,55.3
2021/9,,54.9,,54.1
2021/10,,57.8,,56.8
2021/11,,57.6,,57.7
2021/12,,53.6,,53.2
2022/1,,54.2,,53.4
2022/2,,59.9,,60.2
2022/3,,60.9,,59.7
2022/4,,58.2,,57.6
2022/5,,53.1,,51.8
2022/6,,53.7,,53.1
2022/7,,52.1,,52.8
2022/8,,49.6,,50.9
2022/9,,49.1,,48.4
2022/10,,48.2,,47.2
2022/11,,48.2,,48.3
2022/12,,49,,49
2023/1,,48.5,,47.8
2023/2,,53.1,,53
2023/3,,52.2,,52.2
2023/4,,54.9,,53.9
2023/5,,54,,53.9
2023/6,,52.8,,52.8
2023/7,,50.8,,50.7
2023/8,,48.6,,47.9
2023/9,,48.5,,46.8
2023/10,,48.7,,48.6
2023/11,,50.7,,50.1
2023/12,,52.1,,51.7
2024/1,,52.9,,52.5
2024/2,,53,,53.3
2024/3,,52.8,,52.9
2024/4,,54.1,,54
2024/5,,53,,52.8
2024/6,,52.3,,51.7
2024/7,,52.8,,52.7
2024/8,,53.8,,53.4
2024/9,,52.6,,52.9
2024/10,,51.8,,51.7
2024/11,,50.5,,49.9
2024/12,,50.4,,50.5
2025/1,,50.6,,50.9
2025/2,,50.5,,50.5
2025/3,,51.5,,52
2025/4,,48.5,,48.2
2025/5,,50.3,,49.4
2025/6,,52,,50.7
2025/7,,51.5,,51
2025/8,,53.5,,53
2025/9,,50.1,,51
2025/10,,52.2,,51.1
2025/11,,51.2,,50.5
2025/12,,51.4,,51.4
