公表日,結果,予想,前回
2010/1,56.6,,51.8
2010/2,56.6,,56.7
2010/3,57.2,,56.6
2010/4,58,,57.2
2010/5,58,,58
2010/6,57.5,,58
2010/7,56.9,,57.5
2010/8,53.7,,57.3
2010/9,53.4,,54.3
2010/10,55.4,,53.4
2010/11,57.5,,54.9
2010/12,58.7,,58
2011/1,61.5,,58.7
2011/2,60.9,,62
2011/3,56.7,,61.5
2011/4,54.4,,57.1
2011/5,52,,54.6
2011/6,51.4,,52.1
2011/7,49.4,,51.3
2011/8,49.4,,49.1
2011/9,50.8,,49
2011/10,47.8,,51.1
2011/11,47.7,,47.4
2011/12,49.7,,47.6
2012/1,52,,49.6
2012/2,51.5,,52.1
2012/3,51.9,,51.2
2012/4,50.2,,52.1
2012/5,45.9,,50.5
2012/6,48.4,,45.9
2012/7,45.2,,48.6
2012/8,49.5,,45.4
2012/9,48.1,,49.5
2012/10,47.3,,48.4
2012/11,49.2,,47.5
2012/12,51.2,,49.1
2013/1,50.5,,51.4
2013/2,47.9,,50.8
2013/3,48.6,,47.9
2013/4,50.2,,48.3
2013/5,51.5,,49.8
2013/6,52.5,,51.3
2013/7,54.8,,52.5
2013/8,57.2,,54.6
2013/9,56.3,,57.2
2013/10,56.5,,56.7
2013/11,58.1,,56
2013/12,57.2,,58.4
2014/1,56.7,,57.3
2014/2,56.2,,56.7
2014/3,55.8,,56.9
2014/4,57.3,,55.3
2014/5,57,,57.3
2014/6,57.5,,57
2014/7,54.8,,57.5
2014/8,52.2,,55.4
2014/9,51.5,,52.5
2014/10,53.3,,51.6
2014/11,53.3,,53.2
2014/12,52.7,,53.5
2015/1,53.1,,52.5
2015/2,54.1,,53
2015/3,54.4,,54.1
2015/4,51.9,,54.4
2015/5,52,,51.8
2015/6,51.4,,51.9
2015/7,51.9,,51.4
2015/8,51.5,,51.9
2015/9,51.5,,51.6
2015/10,55.5,,51.5
2015/11,52.7,,55.2
2015/12,51.9,,52.7
2016/1,52.9,,52.1
2016/2,50.8,,52.9
2016/3,51,,50.8
2016/4,49.2,,51
2016/5,50.1,,49.2
2016/6,52.1,,50.1
2016/7,48.2,,52.1
2016/8,53.3,,48.3
2016/9,55.4,,53.3
2016/10,54.3,,55.5
2016/11,53.4,,54.2
2016/12,56.1,,53.6
2017/1,55.9,,56.1
2017/2,54.6,,55.9
2017/3,54.2,,54.5
2017/4,57.3,,54.2
2017/5,56.7,,57.3
2017/6,54.3,,56.3
2017/7,55.1,55.5,54.3
2017/8,56.9,54.7,55.1
2017/9,55.9,56,56.9
2017/10,56.3,54.9,55.9
2017/11,58.2,56.1,56.3
2017/12,56.3,57.3,58.2
2018/1,55.3,57.3,56.3
2018/2,55.2,56.7,55.3
2018/3,55.1,55.9,55.2
2018/4,53.9,55.3,55.1
2018/5,54.4,53.3,53.9
2018/6,54.4,54,54.4
2018/7,54,55.1,54.4
2018/8,52.8,55,54
2018/9,53.8,53.2,52.8
2018/10,51.1,53.6,53.8
2018/11,53.1,52.8,51.1
2018/12,54.2,52.6,53.1
2019/1,52.8,52.7,54.2
2019/2,52,53.2,52.8
2019/3,55.1,53,52
2019/4,53.1,53.2,55.1
2019/5,49.4,53.4,53.1
2019/6,48,52.7,49.4
2019/7,48,50.7,48
2019/8,47.4,48.8,48
2019/9,48.3,47.9,47.4
2019/10,49.6,47.8,48.3
2019/11,48.9,48.3,48.3
2019/12,47.5,47.4,47.4
2020/1,50,49.8,49.8
2020/2,51.7,51.9,51.9
2020/3,47.8,48,48
2020/4,32.6,32.9,32.9
2020/5,40.7,40.6,40.6
2020/6,50.1,50.1,50.1
2020/7,53.3,53.6,53.6
2020/8,55.2,55.3,55.3
2020/9,54.1,54.3,54.3
2020/10,53.7,53.3,53.3
2020/11,55.6,55.2,55.2
2020/12,57.5,57.3,57.3
2021/1,54.1,52.9,52.9
2021/2,55.1,54.9,54.9
2021/3,58.9,57.9,57.9
2021/4,60.9,60.7,60.7
2021/5,65.6,66.1,66.1
2021/6,63.9,64.2,64.2
2021/7,60.4,60.4,60.4
2021/8,60.3,60.1,60.1
2021/9,57.1,56.3,56.3
2021/10,57.8,57.7,57.7
2021/11,58.1,58.2,58.2
2021/12,57.9,57.6,57.6
2022/1,57.3,56.9,56.9
2022/2,58,57.3,57.3
2022/3,55.2,55.5,55.5
2022/4,55.8,55.3,55.3
2022/5,54.6,54.6,54.6
2022/6,52.8,53.4,53.4
2022/7,52.1,52.2,52.2
2022/8,47.3,46,46
2022/9,48.4,48.5,48.5
2022/10,46.2,45.8,45.8
2022/11,46.5,46.2,46.2
2022/12,45.3,44.7,44.7
2023/1,47,46.7,46.7
2023/2,49.3,49.2,49.2
2023/3,47.9,48,48
2023/4,47.8,46.6,46.6
2023/5,47.1,46.9,46.9
2023/6,46.5,46.2,46.2
2023/7,45.3,45,45
2023/8,43,42.5,42.5
2023/9,44.3,44.2,44.2
2023/10,44.8,45.2,45.2
2023/11,47.2,46.7,46.7
2023/12,46.2,46.4,46.4
2024/1,47,47.3,47.3
2024/2,47.5,47.1,47.1
2024/3,50.3,49.9,49.9
2024/4,49.1,48.7,48.7
2024/5,51.2,51.3,51.3
2024/6,50.9,51.4,51.4
2024/7,52.1,51.8,51.8
2024/8,52.5,52.5,52.5
2024/9,51.5,51.5,51.5
2024/10,49.9,50.3,50.3
2024/11,48,48.6,48.6
2024/12,47,47.3,47.3
2025/1,48.3,48.2,48.2
2025/2,46.9,46.4,46.4
2025/3,44.9,44.6,44.6
2025/4,45.4,44,44
2025/5,46.4,45.1,45.1
