公表日,時間,結果,予想,前回
2014/1,,53.3,,52.7
2014/2,,55.3,,55.5
2014/3,,55,,54.2
2014/4,,58.1,,58.4
2014/5,,61,,61.2
2014/6,,60.8,,60.9
2014/7,,59.5,,58.5
2014/8,,58.9,,58.5
2014/9,,57.1,,57.3
2014/10,,56.2,,56.3
2014/11,,53.3,,53.6
2014/12,,54.2,,54
2015/1,,57.1,,57
2015/2,,59.2,,58.6
2015/3,,57.4,,57.8
2015/4,,56.2,,56.4
2015/5,,54.8,,54.8
2015/6,,55.7,,55.2
2015/7,,56.1,,55.2
2015/8,,55.1,,55.6
2015/9,,54.8,,54.4
2015/10,,56.1,,56.5
2015/11,,54.3,,53.7
2015/12,,53.2,,53.7
2016/1,,49.7,,49.8
2016/2,,51.3,,51
2016/3,,52.8,,52.1
2016/4,,51.3,,51.2
2016/5,,51.4,,51.3
2016/6,,51.4,,50.9
2016/7,,51,,50.9
2016/8,,52.3,,51.9
2016/9,,54.8,,54.8
2016/10,,54.6,,54.7
2016/11,,53.9,,53.4
2016/12,,55.6,,55.1
2017/1,,53.8,,53.9
2017/2,,52.8,,52.9
2017/3,,53.1,52.4,52.5
2017/4,,53.6,54.5,54
2017/5,,54.2,52.2,53
2017/6,,54.7,55.2,54.2
2017/7,,56,57.3,56.9
2017/8,,55.3,54.1,55.1
2017/9,,55.3,57.1,55.9
2017/10,,54.5,53.7,54.7
2017/11,,53.7,53.4,52.4
2017/12,,53.3,53.5,53.3
2018/1,,55.9,54.6,55.9
2018/2,,54,55.4,54.1
2018/3,,54.6,55.5,54.4
2018/4,,56.8,54.8,55.7
2018/5,,56.5,55.4,56.5
2018/6,,56,56.5,56.2
2018/7,,54.8,56,55.2
2018/8,,53.5,53.6,52.9
2018/9,,54.8,53,54.7
2018/10,,54.7,54.6,54.4
2018/11,,54.4,52.3,53.4
2018/12,,54.2,54.2,54.2
2019/1,,56,56.2,56.2
2019/2,,55.3,54.8,54.8
2019/3,,53,52.9,52.9
2019/4,,50.9,50.9,50.9
2019/5,,51.5,50.7,50.7
2019/6,,53,52.2,52.2
2019/7,,50.7,50.9,50.9
2019/8,,50.9,50.9,50.9
2019/9,,50.6,51,51
2019/10,,51.6,51.6,51.6
2019/11,,52.8,52.2,52.2
2019/12,,53.4,53.2,53.2
2020/1,,49.4,49.4,49.4
2020/2,,39.8,39.1,39.1
2020/3,,26.7,27,27
2020/4,,37.5,36.9,36.9
2020/5,,47.9,46.7,46.7
2020/6,,50,49.6,49.6
2020/7,,55,54.8,54.8
2020/8,,54.6,54.6,54.6
2020/9,,56.9,56,56
2020/10,,58.4,57.7,57.7
2020/11,,54.8,55.3,55.3
2020/12,,58.3,57.5,57.5
2021/1,,59.8,58.9,58.9
2021/2,,60.4,60,60
2021/3,,64.7,63.1,63.1
2021/4,,70.4,70.1,70.1
2021/5,,64.6,64.8,64.8
2021/6,,59.9,59.8,59.8
2021/7,,55.1,55.2,55.2
2021/8,,54.9,54.4,54.4
2021/9,,58.7,58.2,58.2
2021/10,,58,57,57
2021/11,,57.6,57.5,57.5
2021/12,,51.2,50.9,50.9
2022/1,,56.5,56.7,56.7
2022/2,,58,58.9,58.9
2022/3,,55.6,54.7,54.7
2022/4,,53.4,53.5,53.5
2022/5,,52.7,51.6,51.6
2022/6,,47.3,47,47
2022/7,,43.7,44.1,44.1
2022/8,,49.3,49.2,49.2
2022/9,,47.8,46.6,46.6
2022/10,,46.2,46.1,46.1
2022/11,,44.7,44.4,44.4
2022/12,,46.8,46.6,46.6
2023/1,,50.6,50.5,50.5
2023/2,,52.6,53.8,53.8
2023/3,,53.6,53.7,53.7
2023/4,,54.9,55.1,55.1
2023/5,,54.4,54.1,54.1
2023/6,,52.3,52.4,52.4
2023/7,,50.5,51,51
2023/8,,50.1,50.2,50.2
2023/9,,50.6,50.9,50.9
2023/10,,50.8,50.8,50.8
2023/11,,51.3,50.8,50.8
2023/12,,51.4,51.3,51.3
2024/1,,52.5,52.2,51.4
2024/2,,52.3,52.4,52.5
2024/3,,51.7,52.9,52.3
2024/4,,51.3,51.7,51.7
2024/5,,54.8,51.8,51.3
2024/6,,55.3,53.3,54.8
2024/7,,55,56,55.3
2024/8,,55.7,51.8,55
2024/9,,55.2,54.2,55.7
2024/10,,55,55.7,55.2
2024/11,,56.1,54.9,55
2024/12,,56.8,55.1,56.1
2025/1,,52.9,55.6,56.8
2025/2,,51,54.1,52.9
2025/3,,54.4,52.1,51
2025/4,,50.8,52.1,54.4
2025/5,,53.7,51.4,50.8
2025/6,,52.9,52,53.7
2025/7,,55.7,53.1,52.9
2025/8,,54.5,55.1,55.7
2025/9,,54.2,56.4,54.5
2025/10,,54.8,56.3,54.2
2025/11,,54.1,55.3,54.8
2025/12,,52.5,52.9,54.1
