公表日,時間,結果,予想,前回
2013/1,54.3,,55.2,
2013/2,54.6,,54.9,
2013/3,52.1,,52,
2013/4,52.3,,51.9,
2013/5,51.9,,52.2,
2013/6,53.7,,53.2,
2013/7,53.1,,53.9,
2013/8,52.8,,52.8,
2013/9,51.8,,51.1,
2013/10,54.7,,54.3,
2013/11,55,,54.4,
2013/12,53.7,,53.7,
2014/1,57.1,,56.7,
2014/2,55.5,,55.5,
2014/3,55.4,,55.4,
2014/4,57.5,,56.2,
2014/5,57.3,,56.4,
2014/6,55.8,,56.3,
2014/7,57.9,,58,
2014/8,57.5,,57.9,
2014/9,55.9,,56.2,
2014/10,54.8,,54.7,
2014/11,53.9,,53.7,
2014/12,53.9,,53.7,
2015/1,55.1,,54.3,
2015/2,55.7,,55.3,
2015/3,54.1,,54.2,
2015/4,54,,53.8,
2015/5,53.6,,53.4,
2015/6,53.8,,53.8,
2015/7,53,,52.9,
2015/8,53.1,,53,
2015/9,54.1,,54,
2015/10,52.8,,52.6,
2015/11,51.2,,51.3,
2015/12,52.4,,52.7,
2016/1,51.3,,51,
2016/2,51.5,,51.4,
2016/3,50.8,,50.8,
2016/4,50.7,,50.5,
2016/5,51.3,,51.4,
2016/6,52.9,,52.9,
2016/7,52,,52.1,
2016/8,51.5,,51.4,
2016/9,53.4,,53.2,
2016/10,54.1,,53.9,
2016/11,54.3,,54.2,
2016/12,55,,55.1,
2017/1,54.2,,54.3,
2017/2,53.3,,53.4,
2017/3,52.8,,52.8,
2017/4,52.7,52.6,52.5,
2017/5,52,52.4,52.1,
2017/6,53.3,52.6,53.2,
2017/7,52.8,52.9,52.5,
2017/8,53.1,52.9,53,
2017/9,54.6,54.6,54.5,
2017/10,53.9,53.2,53.8,
2017/11,55.1,56.1,55,
2017/12,55.5,54.9,55.5,
2018/1,55.3,56,55.9,
2018/2,55.6,55.6,55.7,
2018/3,56.5,56.3,56.5,
2018/4,56.4,56.2,56.6,
2018/5,55.4,55,54.6,
2018/6,55.3,55.6,55.5,
2018/7,54.7,54.3,54.5,
2018/8,55.6,55.4,55.6,
2018/9,55.7,56.1,55.9,
2018/10,55.3,56,55.4,
2018/11,53.8,55.1,53.9,
2018/12,54.9,54.9,54.9,
2019/1,53,53.7,53.7,
2019/2,52.4,52.5,52.5,
2019/3,52.6,52.4,52.4,
2019/4,50.5,50.6,50.6,
2019/5,50.6,50.1,50.1,
2019/6,50.4,50,50,
2019/7,50.3,49.9,49.9,
2019/8,51.1,51,51,
2019/9,51.3,51.5,51.5,
2019/10,52.6,52.2,52.2,
2019/11,52.4,52.5,52.5,
2019/12,51.9,51.7,51.7,
2020/1,50.7,50.8,50.8,
2020/2,48.5,49.2,49.2,
2020/3,36.1,36.9,36.9,
2020/4,39.8,39.8,39.8,
2020/5,49.8,49.6,49.6,
2020/6,50.9,51.3,51.3,
2020/7,53.1,53.6,53.6,
2020/8,53.2,53.5,53.5,
2020/9,53.4,53.3,53.3,
2020/10,56.7,56.7,56.7,
2020/11,57.1,56.5,56.5,
2020/12,59.2,59.1,59.1,
2021/1,58.6,58.5,58.5,
2021/2,59.1,59,59,
2021/3,60.5,60.6,60.6,
2021/4,62.1,61.5,61.5,
2021/5,62.1,62.6,62.6,
2021/6,63.4,63.1,63.1,
2021/7,61.1,61.2,61.2,
2021/8,60.7,60.5,60.5,
2021/9,58.4,59.2,59.2,
2021/10,58.3,59.1,59.1,
2021/11,57.7,57.8,57.8,
2021/12,55.5,55,55,
2022/1,57.3,57.5,57.5,
2022/2,58.8,58.5,58.5,
2022/3,59.2,59.7,59.7,
2022/4,57,57.5,57.5,
2022/5,52.7,52.4,52.4,
2022/6,52.2,52.3,52.3,
2022/7,51.5,51.3,51.3,
2022/8,52,51.8,51.8,
2022/9,50.4,49.9,49.9,
2022/10,47.7,47.6,47.6,
2022/11,46.2,46.2,46.2,
2022/12,46.9,46.8,46.8,
2023/1,47.3,47.8,47.8,
2023/2,49.2,49.3,49.3,
2023/3,50.2,50.4,50.4,
2023/4,48.4,48.5,48.5,
2023/5,46.3,46.3,46.3,
2023/6,49,49,49,
2023/7,47.9,47,47,
2023/8,49.8,48.9,48.9,
2023/9,50,50,50,
2023/10,49.4,49.4,49.4,
2023/11,48.2,49.7,49.4,
2023/12,47.9,48.2,48.2,
2024/1,50.7,48.7,47.9,
2024/2,52.2,49.3,50.7,
2024/3,51.9,50.8,52.2,
2024/4,50,49.8,51.9,
2024/5,51.3,51.7,50,
2024/6,51.6,50.1,51.3,
2024/7,49.6,51.8,51.6,
2024/8,47.9,50.5,49.6,
2024/9,47.3,47.5,47.9,
2024/10,48.5,45.4,47.3,
2024/11,49.7,46.9,48.5,
2024/12,49.4,50.5,49.7,
2025/1,51.2,51.9,49.4,
2025/2,52.7,51.9,51.2,
2025/3,49.8,52.6,52.7,
2025/4,50.2,51,49.8,
2025/5,52,49.3,50.2,
2025/6,52.9,49.8,52,
2025/7,49.5,51.9,52.9,
2025/8,53,51.6,49.5,
2025/9,52,52.8,53,
2025/10,52.5,,52,
2025/11,52.2,51.7,52.5,
2025/12,51.8,51.8,52.2,
