公表日,時刻,結果,予想,前回
2016/3,,99.1,,
2016/4,,95.1,,
2016/5,,103.2,,
2016/6,,102.2,,
2016/7,,99.1,,
2016/8,,101,,
2016/9,,101.4,,
2016/10,,102.4,,
2016/11,,101.3,,
2016/12,,97.3,,
2017/1,,97.4,,
2017/2,,99.6,,
2017/3,,99.7,,
2017/4,,99,,
2017/5,,98,,
2017/6,,96.2,,
2017/7,,96.6,,
2017/8,,95.5,,
2017/9,,97.9,,
2017/10,,101.4,,
2017/11,,99.7,,
2017/12,,103.3,,
2018/1,,105.1,,
2018/2,,102.8,,
2018/3,,103,,
2018/4,,102.4,,
2018/5,,101.8,,
2018/6,,102.1,,
2018/7,,106.1,,
2018/8,,103.6,,
2018/9,,100.5,,
2018/10,,101.5,,
2018/11,,104.3,,
2018/12,,104.4,,
2019/1,,99.6,,
2019/2,,103.8,,
2019/3,,98.8,,
2019/4,,100.7,,
2019/5,,101.3,,
2019/6,,100.7,,
2019/7,,96.5,,
2019/8,,100,,
2019/9,,98.2,,
2019/10,,92.8,,
2019/11,,97,,
2019/12,,95.1,,
2020/1,,93.4,,
2020/2,,95.5,,
2020/3,,91.9,,
2020/4,,75.6,,
2020/5,,88.1,,
2020/6,,93.7,,
2020/7,,87.9,,
2020/8,,79.5,,
2020/9,,93.9,,
2020/10,,105,,
2020/11,,107.7,,
2020/12,,112,,
2021/1,,107,,
2021/2,,109.1,,
2021/3,,111.8,,
2021/4,,118.8,,
2021/5,,113.1,,
2021/6,,107.2,,
2021/7,,108.9,,
2021/8,,104.1,,
2021/9,,106.2,,
2021/10,,104.6,,
2021/11,,105.3,,
2021/12,,104.3,,
2022/1,,102.2,,
2022/2,,100.8,,
2022/3,,96.6,,
2022/4,,95.8,,
2022/5,,90.4,,
2022/6,,86.4,,
2022/7,,93.8,,
2022/8,,81.2,,
2022/9,,84.5,,
2022/10,,83.7,,
2022/11,,78,,
2022/12,,80.3,,
2023/1,,84.3,,
2023/2,,78.5,,
2023/3,,78.5,,
2023/4,,85.5,,
2023/5,,79,,
2023/6,,79.2,,
2023/7,,81.3,,
2023/8,,81,,
2023/9,,79.7,,
2023/10,,82,,
2023/11,,79.9,,
2023/12,,82.1,,
2024/1,,81,,
2024/2,,86,,
2024/3,,84.4,,
2024/4,,82.4,,
2024/5,,82.2,,
2024/6,,83.6,,
2024/7,,82.7,,
2024/8,,85,,
2024/9,,84.6,,
2024/10,,89.8,,
2024/11,,94.6,,
2024/12,,92.8,,
2025/1,,92.1,,
2025/2,,92.2,,
2025/3,,95.9,,
2025/4,,90.1,,
2025/5,,92.1,,
2025/6,,92.6,,
2025/7,,93.1,,
2025/8,,98.5,,
2025/9,,95.4,,
2025/10,,92.1,,
2025/11,,103.8,,
2025/12,,94.5,,
2026/1,,92.9,,
2026/2,,90.5,,
