公表日,時刻,結果,予想,前回
2008/2,,-5.5,,
2008/3,,-9.1,,
2008/4,,-1.3,,
2008/5,,2.7,,
2008/6,,-5.6,,
2008/7,,-6.7,,
2008/8,,9.1,,
2008/9,,7,,
2008/10,,-11,,
2008/11,,4.3,,
2008/12,,7.5,,
2009/1,,-2.2,,
2009/2,,-4.6,,
2009/3,,-0.2,,
2009/4,,8.3,,
2009/5,,-4.3,,
2009/6,,12.7,,
2009/7,,9.3,,
2009/8,,3.7,,
2009/9,,5.2,,
2009/10,,1.7,,
2009/11,,-2.5,,
2009/12,,-3.8,,
2010/1,,5.6,,
2010/2,,-2.6,,
2010/3,,0.2,,
2010/4,,-1,,
2010/5,,-7,,
2010/6,,-5.7,,
2010/7,,11.1,,
2010/8,,5.4,,
2010/9,,-5,,
2010/10,,3.3,,
2010/11,,-5.3,,
2010/12,,0.2,,
2011/1,,-5.7,,
2011/2,,1.9,,
2011/3,,-2.4,,
2011/4,,1.2,,
2011/5,,-1.3,,
2011/6,,-2.6,,
2011/7,,-8.3,,
2011/8,,-3.5,,
2011/9,,8.1,,
2011/10,,0.4,,
2011/11,,6.3,,
2011/12,,-8.3,,
2012/1,,2.4,,
2012/2,,4.2,,
2012/3,,-5,,
2012/4,,-1.6,,
2012/5,,0.8,,
2012/6,,0.3,,
2012/7,,3.7,,
2012/8,,-2.5,,
2012/9,,1.6,,
2012/10,,1,,
2012/11,,5.2,,
2012/12,,-4.1,,
2013/1,,0.6,,
2013/2,,7.7,,
2013/3,,2,,
2013/4,,-5.1,,
2013/5,,-7,,
2013/6,,4.7,,
2013/7,,-0.1,,
2013/8,,3.5,,
2013/9,,4.7,,
2013/10,,-2.1,,
2013/11,,1.9,,
2013/12,,-4.8,,
2014/1,,-1.7,,
2014/2,,-3,,
2014/3,,-0.7,,
2014/4,,0.3,,
2014/5,,-6.8,,
2014/6,,0.2,,
2014/7,,1.9,,
2014/8,,3.8,,
2014/9,,-4.6,,
2014/10,,0.9,,
2014/11,,1.9,,
2014/12,,-5.7,,
2015/1,,2.4,,
2015/2,,8,,
2015/3,,-1.2,,
2015/4,,-3.2,,
2015/5,,6.4,,
2015/6,,-6.9,,
2015/7,,-3.2,,
2015/8,,7.8,,
2015/9,,-5.6,,
2015/10,,4.2,,
2015/11,,3.9,,
2015/12,,-0.8,,
2016/1,,-3.5,,
2016/2,,4.2,,
2016/3,,-2.2,,
2016/4,,-4,,
2016/5,,8.5,,
2016/6,,-1,,
2016/7,,-3,,
2016/8,,2,,
2016/9,,0.3,,
2016/10,,1.1,,
2016/11,,-1.1,,
2016/12,,-3.9,,
2017/1,,0.1,,
2017/2,,2.3,,
2017/3,,0.1,,
2017/4,,-0.7,,
2017/5,,-1.1,,
2017/6,,-1.8,,
2017/7,,0.4,,
2017/8,,-1.2,,
2017/9,,2.5,,
2017/10,,3.6,,
2017/11,,-1.7,,
2017/12,,3.6,,
2018/1,,1.8,,
2018/2,,-2.3,,
2018/3,,0.2,,
2018/4,,-0.6,,
2018/5,,-0.6,,
2018/6,,0.3,,
2018/7,,3.9,,
2018/8,,-2.3,,
2018/9,,-3,,
2018/10,,1,,
2018/11,,2.8,,
2018/12,,0.1,,
2019/1,,-4.7,,
2019/2,,4.3,,
2019/3,,-4.8,,
2019/4,,1.9,,
2019/5,,0.6,,
2019/6,,-0.6,,
2019/7,,-4.1,,
2019/8,,3.6,,
2019/9,,-1.7,,
2019/10,,-5.5,,
2019/11,,4.5,,
2019/12,,-1.9,,
2020/1,,-1.8,,
2020/2,,2.3,,
2020/3,,-3.8,,
2020/4,,-17.7,,
2020/5,,16.4,,
2020/6,,6.3,,
2020/7,,-6.1,,
2020/8,,-9.5,,
2020/9,,18,,
2020/10,,11.9,,
2020/11,,2.5,,
2020/12,,4.1,,
2021/1,,-4.5,,
2021/2,,1.9,,
2021/3,,2.6,,
2021/4,,6.2,,
2021/5,,-4.8,,
2021/6,,-5.2,,
2021/7,,1.5,,
2021/8,,-4.4,,
2021/9,,2,,
2021/10,,-1.5,,
2021/11,,0.6,,
2021/12,,-1,,
2022/1,,-2,,
2022/2,,-1.3,,
2022/3,,-4.2,,
2022/4,,-0.9,,
2022/5,,-5.6,,
2022/6,,-4.5,,
2022/7,,-3,,
2022/8,,-3,,
2022/9,,3.9,,
2022/10,,-0.9,,
2022/11,,-6.9,,
2022/12,,3,,
2023/1,,5,,
2023/2,,-6.9,,
2023/3,,0,,
2023/4,,9.4,,
2023/5,,-7.9,,
2023/6,,0.2,,
2023/7,,2.7,,
2023/8,,-0.4,,
2023/9,,-1.5,,
2023/10,,2.9,,
2023/11,,-2.6,,
2023/12,,2.7,,
2024/1,,-1.3,,
2024/2,,6.2,,
2024/3,,-1.8,,
2024/4,,-2.4,,
2024/5,,-0.3,,
2024/6,,1.7,,
2024/7,,-1.1,,
2024/8,,2.8,,
2024/9,,-0.5,,
2024/10,,6.2,,
2024/11,,5.3,,
2024/12,,-2,,
2025/1,,-0.7,,
2025/2,,0.1,,
2025/3,,4,,
2025/4,,-6,,
2025/5,,2.2,,
2025/6,,0.5,,
2025/7,,0.6,,
2025/8,,5.7,,
2025/9,,-3.1,,
2025/10,,-3.5,,
2025/11,,12.8,,
2025/12,,-9,,
2026/1,,-1.7,,
2026/2,,-2.6,,
