Database：Monthly 
Time：Jan 2000-Dec 2015 
Indicators	,Dec 2015	,Nov 2015	,Oct 2015	,Sep 2015	,Aug 2015	,Jul 2015	,Jun 2015	,May 2015	,Apr 2015	,Mar 2015	,Feb 2015	,Jan 2015	,Dec 2014	,Nov 2014	,Oct 2014	,Sep 2014	,Aug 2014	,Jul 2014	,Jun 2014	,May 2014	,Apr 2014	,Mar 2014	,Feb 2014	,Jan 2014	,Dec 2013	,Nov 2013	,Oct 2013	,Sep 2013	,Aug 2013	,Jul 2013	,Jun 2013	,May 2013	,Apr 2013	,Mar 2013	,Feb 2013	,Jan 2013	,Dec 2012	,Nov 2012	,Oct 2012	,Sep 2012	,Aug 2012	,Jul 2012	,Jun 2012	,May 2012	,Apr 2012	,Mar 2012	,Feb 2012	,Jan 2012	,Dec 2011	,Nov 2011	,Oct 2011	,Sep 2011	,Aug 2011	,Jul 2011	,Jun 2011	,May 2011	,Apr 2011	,Mar 2011	,Feb 2011	,Jan 2011	,Dec 2010	,Nov 2010	,Oct 2010	,Sep 2010	,Aug 2010	,Jul 2010	,Jun 2010	,May 2010	,Apr 2010	,Mar 2010	,Feb 2010	,Jan 2010	,Dec 2009	,Nov 2009	,Oct 2009	,Sep 2009	,Aug 2009	,Jul 2009	,Jun 2009	,May 2009	,Apr 2009	,Mar 2009	,Feb 2009	,Jan 2009	,Dec 2008	,Nov 2008	,Oct 2008	,Sep 2008	,Aug 2008	,Jul 2008	,Jun 2008	,May 2008	,Apr 2008	,Mar 2008	,Feb 2008	,Jan 2008	,Dec 2007	,Nov 2007	,Oct 2007	,Sep 2007	,Aug 2007	,Jul 2007	,Jun 2007	,May 2007	,Apr 2007	,Mar 2007	,Feb 2007	,Jan 2007	,Dec 2006	,Nov 2006	,Oct 2006	,Sep 2006	,Aug 2006	,Jul 2006	,Jun 2006	,May 2006	,Apr 2006	,Mar 2006	,Feb 2006	,Jan 2006	,Dec 2005	,Nov 2005	,Oct 2005	,Sep 2005	,Aug 2005	,Jul 2005	,Jun 2005	,May 2005	,Apr 2005	,Mar 2005	,Feb 2005	,Jan 2005	,Dec 2004	,Nov 2004	,Oct 2004	,Sep 2004	,Aug 2004	,Jul 2004	,Jun 2004	,May 2004	,Apr 2004	,Mar 2004	,Feb 2004	,Jan 2004	,Dec 2003	,Nov 2003	,Oct 2003	,Sep 2003	,Aug 2003	,Jul 2003	,Jun 2003	,May 2003	,Apr 2003	,Mar 2003	,Feb 2003	,Jan 2003	,Dec 2002	,Nov 2002	,Oct 2002	,Sep 2002	,Aug 2002	,Jul 2002	,Jun 2002	,May 2002	,Apr 2002	,Mar 2002	,Feb 2002	,Jan 2002	,Dec 2001	,Nov 2001	,Oct 2001	,Sep 2001	,Aug 2001	,Jul 2001	,Jun 2001	,May 2001	,Apr 2001	,Mar 2001	,Feb 2001	,Jan 2001	,Dec 2000	,Nov 2000	,Oct 2000	,Sep 2000	,Aug 2000	,Jul 2000	,Jun 2000	,May 2000	,Apr 2000	,Mar 2000	,Feb 2000	,Jan 2000	,
Consumer Price Index (The same month last year=100) 	,101.6	,101.5	,101.3	,101.6	,102.0	,101.6	,101.4	,101.2	,101.5	,101.4	,101.4	,100.8	,101.5	,101.4	,101.6	,101.6	,102.0	,102.3	,102.3	,102.5	,101.8	,102.4	,102.0	,102.5	,102.5	,103.0	,103.2	,103.1	,102.6	,102.7	,102.7	,102.1	,102.4	,102.1	,103.2	,102.0	,102.5	,102.0	,101.7	,101.9	,102.0	,101.8	,102.2	,103.0	,103.4	,103.6	,103.2	,104.5	,104.1	,104.2	,105.5	,106.1	,106.2	,106.5	,106.4	,105.5	,105.3	,105.4	,104.9	,104.9	,104.6	,105.1	,104.4	,103.6	,103.5	,103.3	,102.9	,103.1	,102.8	,102.4	,102.7	,101.5	,101.9	,100.6	,99.5	,99.2	,98.8	,98.2	,98.3	,98.6	,98.5	,98.8	,98.4	,101.0	,101.2	,102.4	,104.0	,104.6	,104.9	,106.3	,107.1	,107.7	,108.5	,108.3	,108.7	,107.1	,106.5	,106.9	,106.5	,106.2	,106.5	,105.6	,104.4	,103.4	,103.0	,103.3	,102.7	,102.2	,102.8	,101.9	,101.4	,101.5	,101.3	,101.0	,101.5	,101.4	,101.2	,100.8	,100.9	,101.9	,101.6	,101.3	,101.2	,100.9	,101.3	,101.8	,101.6	,101.8	,101.8	,102.7	,103.9	,101.9	,102.4	,102.8	,104.3	,105.2	,105.3	,105.3	,105.0	,104.4	,103.8	,103.0	,102.1	,103.2	,103.2	,103.0	,101.8	,101.1	,100.9	,100.5	,100.3	,100.7	,101.0	,100.9	,100.2	,100.4	,99.6	,99.3	,99.2	,99.3	,99.3	,99.1	,99.2	,98.9	,98.7	,99.2	,100.0	,99.0	,99.7	,99.7	,100.2	,99.9	,101.0	,101.5	,101.4	,101.7	,101.6	,100.8	,100.0	,101.2	,101.5	,101.3	,100.0	,100.0	,100.3	,100.5	,100.5	,100.1	,99.7	,99.8	,100.7	,99.8	,
Consumer Price Indices (The same month last year=100) , Food	,102.7	,102.3	,101.9	,102.7	,103.7	,102.7	,101.9	,101.6	,102.7	,102.3	,102.4	,101.1	,102.9	,102.3	,102.5	,102.3	,103.0	,103.6	,103.7	,104.1	,102.3	,104.1	,102.7	,103.7	,104.1	,105.9	,106.5	,106.1	,104.7	,105.0	,104.9	,103.2	,104.0	,102.7	,106.0	,102.9	,104.2	,103.0	,101.8	,102.5	,103.4	,102.4	,103.8	,106.4	,107.0	,107.5	,106.2	,110.5	,109.1	,108.8	,111.9	,113.4	,113.4	,114.8	,114.4	,111.7	,111.5	,111.7	,111.0	,110.3	,109.6	,111.7	,110.1	,108.0	,107.5	,106.8	,105.7	,106.1	,105.9	,105.2	,106.2	,103.7	,105.3	,103.2	,101.6	,101.5	,100.5	,98.8	,98.9	,99.4	,98.7	,99.3	,98.1	,104.2	,104.2	,105.9	,108.5	,109.7	,110.3	,114.4	,117.3	,119.9	,122.1	,121.4	,123.3	,118.2	,116.7	,118.2	,117.6	,116.9	,118.2	,115.4	,111.3	,108.3	,107.1	,107.7	,106.0	,105.0	,106.3	,103.7	,102.2	,102.4	,101.4	,100.6	,102.1	,101.9	,101.8	,100.8	,101.2	,103.6	,102.2	,101.6	,101.3	,100.3	,100.9	,102.3	,102.1	,102.8	,103.1	,105.6	,108.8	,104.0	,104.9	,105.9	,110.0	,113.0	,113.9	,114.6	,114.0	,111.8	,110.2	,107.9	,105.6	,108.0	,108.6	,108.1	,105.1	,103.2	,102.2	,101.0	,100.4	,101.9	,103.2	,103.2	,101.8	,102.4	,100.5	,99.9	,99.5	,99.8	,99.6	,99.1	,99.8	,98.5	,98.0	,99.4	,100.6	,98.1	,99.2	,99.2	,100.8	,100.3	,100.2	,101.5	,101.0	,101.7	,101.3	,99.0	,96.7	,99.6	,99.9	,99.0	,96.3	,96.3	,97.4	,97.6	,97.6	,96.9	,96.1	,96.7	,98.6	,96.9	,
Consumer Price Indices (The same month last year=100) , Tobacco, Liquor and Articles	,103.9	,103.8	,103.8	,103.8	,103.8	,103.6	,103.5	,101.7	,99.5	,99.5	,99.4	,99.6	,99.3	,99.3	,99.5	,99.4	,99.4	,99.4	,99.4	,99.4	,99.4	,99.3	,99.3	,99.3	,99.6	,99.8	,99.8	,99.8	,100.0	,100.2	,100.3	,100.5	,100.8	,101.0	,101.1	,101.4	,101.5	,101.7	,102.0	,102.4	,103.0	,103.1	,103.2	,103.3	,103.4	,103.6	,103.7	,103.7	,103.9	,103.8	,103.7	,103.4	,102.9	,102.8	,102.7	,102.6	,102.4	,102.1	,101.9	,101.8	,101.8	,101.6	,101.5	,101.4	,101.5	,101.6	,101.7	,101.7	,101.7	,101.7	,101.6	,101.5	,101.4	,101.3	,101.3	,101.3	,101.3	,101.2	,101.2	,101.4	,101.6	,101.8	,102.0	,102.4	,102.9	,103.2	,103.4	,103.4	,103.3	,103.1	,103.1	,102.8	,102.6	,102.5	,102.4	,102.1	,101.7	,101.8	,101.7	,101.7	,101.7	,101.8	,101.7	,101.7	,101.7	,101.8	,101.8	,101.5	,101.5	,101.0	,100.8	,100.8	,100.6	,100.5	,100.5	,100.4	,100.4	,100.2	,100.2	,100.2	,100.4	,100.3	,100.4	,100.3	,100.3	,100.3	,100.3	,100.4	,100.6	,100.6	,100.6	,100.5	,100.7	,101.1	,101.4	,101.5	,101.6	,101.6	,101.5	,101.4	,101.1	,101.0	,100.9	,101.0	,100.8	,100.4	,100.1	,99.9	,99.9	,99.8	,99.8	,99.4	,99.5	,99.4	,99.5	,99.5	,99.4	,99.5	,99.5	,99.7	,99.9	,100.0	,100.0	,100.3	,100.2	,100.3	,100.2	,100.2	,100.1	,100.2	,100.1	,99.9	,99.6	,99.5	,99.5	,99.6	,99.6	,99.5	,99.5	,99.5	,	,	,	,	,	,	,	,	,	,	,	,	,
Consumer Price Indices (The same month last year=100) , Clothing	,102.0	,102.2	,102.4	,102.8	,102.9	,102.9	,102.9	,102.8	,102.9	,103.0	,102.9	,102.9	,102.6	,102.6	,102.4	,102.4	,102.6	,102.6	,102.6	,102.5	,102.3	,102.3	,102.2	,101.9	,102.1	,102.0	,102.4	,102.3	,102.2	,102.2	,102.3	,102.5	,102.5	,102.3	,102.1	,102.5	,101.9	,102.3	,102.7	,103.4	,103.1	,103.3	,103.3	,103.1	,103.6	,103.8	,103.8	,103.3	,103.8	,103.5	,103.7	,103.2	,102.9	,102.2	,102.1	,101.8	,101.4	,100.8	,100.4	,99.8	,100.1	,99.3	,98.7	,98.5	,98.8	,99.2	,99.0	,98.8	,98.7	,98.9	,98.7	,99.6	,99.2	,98.8	,98.4	,98.2	,97.8	,97.6	,97.7	,97.7	,97.7	,97.7	,97.7	,97.3	,97.8	,98.3	,98.7	,98.8	,98.9	,98.6	,98.5	,98.5	,98.6	,98.8	,98.6	,98.1	,98.3	,98.6	,98.7	,99.0	,99.1	,99.4	,99.7	,99.9	,99.8	,99.8	,100.2	,100.5	,100.1	,100.1	,99.8	,99.5	,99.5	,99.4	,99.5	,99.6	,99.5	,99.2	,98.6	,98.4	,99.1	,99.0	,98.9	,98.6	,98.4	,98.2	,98.1	,97.8	,97.6	,97.5	,98.1	,98.4	,98.3	,98.2	,98.2	,98.4	,98.3	,98.4	,98.5	,98.6	,98.7	,99.0	,98.7	,98.4	,98.2	,98.3	,98.2	,98.0	,98.1	,98.0	,97.8	,97.6	,97.7	,97.4	,97.1	,97.1	,97.1	,97.1	,97.2	,97.4	,97.5	,97.6	,97.8	,98.1	,97.8	,97.8	,98.0	,98.2	,98.3	,98.3	,98.1	,98.0	,97.7	,98.2	,98.3	,98.2	,98.0	,97.8	,97.9	,98.7	,99.8	,99.9	,99.7	,99.5	,99.1	,99.3	,99.1	,98.9	,98.8	,98.5	,98.3	,98.2	,
Consumer Price Indices (The same month last year=100) , Household Facilities, Articles and Services	,100.8	,100.8	,100.8	,101.0	,101.0	,101.0	,101.0	,101.0	,101.1	,101.2	,101.5	,100.9	,101.1	,101.2	,101.2	,101.1	,101.1	,101.1	,101.2	,101.2	,101.2	,101.2	,101.3	,101.5	,101.4	,101.3	,101.5	,101.4	,101.4	,101.4	,101.5	,101.6	,101.6	,101.6	,101.6	,101.5	,101.7	,101.5	,101.5	,101.6	,101.8	,101.9	,101.9	,101.9	,102.2	,102.2	,102.5	,102.6	,102.5	,102.9	,103.1	,103.0	,102.8	,102.7	,102.5	,102.5	,102.1	,101.9	,101.4	,101.4	,101.2	,100.7	,100.5	,100.4	,100.4	,100.2	,100.0	,99.7	,99.5	,99.3	,99.2	,98.9	,98.9	,98.9	,98.8	,99.1	,99.3	,99.6	,100.1	,100.5	,100.9	,101.5	,102.1	,102.6	,102.9	,103.1	,103.4	,103.2	,103.2	,103.1	,102.9	,102.8	,102.7	,102.5	,102.1	,102.1	,101.9	,101.9	,101.8	,101.8	,101.7	,101.7	,101.8	,102.2	,102.2	,102.2	,102.2	,102.0	,101.9	,101.8	,101.7	,101.7	,101.5	,101.4	,101.2	,100.8	,100.7	,100.6	,100.6	,100.6	,100.6	,100.5	,100.4	,100.3	,100.2	,100.0	,100.0	,99.7	,99.5	,99.3	,99.2	,99.0	,98.9	,98.9	,99.0	,98.9	,98.9	,98.8	,98.6	,98.5	,98.4	,98.3	,98.2	,98.1	,97.8	,97.7	,97.6	,97.5	,97.5	,97.5	,97.5	,97.4	,97.2	,97.1	,97.1	,97.2	,97.3	,97.3	,97.4	,97.4	,97.4	,97.3	,97.3	,97.6	,97.7	,97.6	,97.7	,97.5	,97.6	,97.6	,97.6	,97.6	,97.7	,97.8	,97.8	,97.7	,97.7	,97.8	,97.9	,98.1	,97.5	,97.4	,97.8	,98.0	,98.0	,97.9	,97.7	,97.6	,97.8	,97.7	,97.7	,97.7	,
Consumer Price Indices (The same month last year=100) , Health Care and Personal Articles	,102.5	,102.6	,102.2	,102.1	,101.9	,101.9	,101.9	,101.8	,101.8	,101.6	,101.9	,101.6	,101.5	,101.3	,101.3	,101.2	,101.4	,101.4	,101.3	,101.2	,101.2	,101.2	,101.0	,101.1	,100.9	,101.0	,101.0	,101.1	,101.2	,101.2	,101.4	,101.5	,101.5	,101.7	,101.8	,101.8	,101.7	,101.6	,101.8	,101.4	,101.3	,101.8	,101.9	,102.1	,102.5	,102.5	,102.7	,102.6	,102.8	,103.2	,103.5	,104.1	,104.1	,103.6	,103.4	,103.2	,103.2	,103.2	,103.0	,103.2	,104.0	,104.0	,103.7	,103.4	,103.3	,103.3	,103.2	,103.2	,102.8	,102.5	,102.4	,102.3	,102.2	,101.6	,101.2	,101.1	,100.9	,100.7	,100.9	,100.9	,100.9	,101.0	,101.3	,101.6	,101.7	,102.0	,102.4	,102.6	,102.9	,103.1	,103.1	,103.3	,103.6	,103.7	,103.2	,103.2	,103.2	,103.1	,102.9	,102.6	,102.3	,102.2	,101.9	,101.6	,101.5	,101.4	,101.4	,101.3	,101.2	,101.3	,101.3	,101.3	,101.5	,101.4	,101.5	,101.3	,101.0	,100.7	,100.5	,100.3	,100.7	,100.5	,100.6	,100.5	,100.2	,100.2	,99.7	,99.5	,99.3	,99.4	,99.3	,99.2	,99.3	,99.2	,99.2	,99.2	,99.0	,98.8	,98.6	,98.6	,99.8	,101.5	,101.5	,101.6	,101.4	,101.3	,101.1	,101.5	,101.4	,101.7	,102.1	,102.2	,100.9	,99.3	,98.9	,98.8	,98.8	,98.7	,98.9	,98.5	,98.9	,98.8	,98.8	,98.7	,98.8	,98.8	,99.2	,99.2	,99.8	,99.7	,99.5	,99.6	,99.7	,99.9	,100.0	,100.3	,100.3	,100.4	,100.4	,100.5	,100.7	,101.1	,101.3	,101.1	,100.5	,100.0	,99.9	,99.8	,99.7	,99.7	,99.8	,100.0	,
Consumer Price Indices (The same month last year=100) , Transportation and Communication	,98.7	,98.6	,98.1	,97.9	,97.9	,98.2	,98.5	,98.7	,98.4	,98.5	,98.3	,97.8	,98.6	,99.2	,99.7	,99.7	,100.2	,100.7	,100.6	,100.6	,100.1	,99.6	,99.6	,100.2	,99.9	,99.5	,99.4	,99.8	,100.0	,99.9	,99.3	,98.8	,98.9	,99.7	,100.2	,99.7	,100.0	,100.0	,100.1	,99.8	,99.2	,99.1	,99.6	,99.9	,100.3	,100.3	,100.1	,100.2	,100.3	,100.5	,100.8	,101.0	,101.0	,100.9	,100.9	,100.7	,100.5	,100.1	,99.7	,99.9	,99.3	,99.3	,99.5	,99.3	,99.4	,99.3	,99.7	,100.1	,100.0	,100.0	,100.1	,99.5	,98.5	,97.8	,97.3	,97.4	,97.1	,97.3	,97.6	,97.7	,97.8	,97.5	,97.0	,97.5	,98.6	,99.3	,100.0	,99.8	,99.8	,99.7	,98.9	,98.4	,98.3	,98.3	,98.6	,98.9	,98.6	,98.6	,98.3	,98.6	,98.7	,98.7	,98.9	,99.5	,99.8	,100.1	,99.6	,99.7	,100.4	,100.3	,100.1	,100.2	,100.1	,100.3	,100.4	,99.8	,99.4	,99.3	,99.0	,99.5	,99.7	,99.7	,99.6	,99.4	,99.3	,99.0	,98.7	,98.6	,98.6	,98.8	,99.4	,97.4	,98.6	,98.7	,98.7	,98.8	,98.8	,98.8	,98.7	,98.7	,98.4	,98.0	,97.4	,98.7	,97.7	,97.5	,97.5	,97.7	,97.7	,97.6	,97.7	,97.6	,98.0	,98.0	,98.0	,98.7	,98.2	,98.0	,98.0	,97.9	,97.9	,97.7	,97.6	,97.9	,98.1	,99.1	,99.5	,97.3	,98.8	,98.9	,99.0	,99.0	,99.3	,99.3	,99.6	,99.3	,98.9	,98.0	,98.3	,99.5	,93.8	,93.8	,93.6	,93.7	,93.7	,93.7	,93.6	,93.8	,93.7	,93.8	,94.2	,94.2	,
Consumer Price Indices (The same month last year=100) , Recreation, Education and Culture Articles	,101.3	,101.2	,101.1	,101.4	,101.8	,101.7	,101.7	,101.7	,101.6	,101.6	,101.8	,100.3	,100.9	,101.0	,101.1	,101.9	,101.9	,102.1	,102.1	,102.1	,102.0	,102.1	,102.1	,103.3	,102.9	,102.8	,102.5	,101.9	,101.2	,101.3	,101.4	,101.3	,101.5	,101.7	,102.0	,100.5	,101.1	,100.9	,101.1	,101.0	,100.4	,100.4	,100.3	,100.2	,100.3	,100.1	,99.6	,100.7	,100.1	,100.1	,100.0	,100.0	,100.4	,100.5	,100.6	,100.6	,100.5	,100.5	,100.3	,101.0	,100.7	,100.6	,100.9	,101.2	,101.2	,101.1	,100.9	,100.6	,100.4	,100.3	,100.8	,98.8	,99.7	,99.4	,99.3	,99.1	,99.1	,99.3	,99.3	,99.2	,99.0	,99.3	,98.9	,100.3	,99.4	,99.7	,99.7	,99.6	,99.2	,99.1	,99.0	,98.8	,99.3	,99.3	,99.1	,99.7	,99.5	,99.5	,99.5	,99.6	,98.9	,98.8	,98.8	,98.8	,98.8	,99.0	,99.2	,97.7	,98.4	,98.5	,98.7	,98.6	,99.9	,100.0	,100.0	,99.9	,99.9	,99.8	,99.5	,100.9	,100.9	,101.1	,101.3	,101.3	,103.0	,102.9	,102.7	,102.8	,102.8	,102.8	,103.3	,101.7	,102.3	,102.1	,101.9	,101.9	,101.1	,101.1	,100.7	,101.2	,100.9	,100.5	,100.1	,101.8	,101.2	,101.2	,101.3	,101.1	,101.6	,101.4	,101.7	,101.2	,101.4	,101.5	,101.3	,100.9	,100.8	,100.6	,100.9	,100.8	,100.7	,100.5	,100.3	,100.4	,100.2	,100.2	,100.8	,101.3	,101.6	,102.0	,102.1	,101.9	,108.8	,108.9	,109.1	,109.4	,109.6	,109.5	,109.3	,108.8	,99.6	,99.4	,99.6	,99.5	,96.4	,96.8	,96.7	,96.7	,96.3	,95.9	,96.1	,96.1	,
Consumer Price Indices (The same month last year=100) , Residence	,100.8	,100.7	,100.6	,100.8	,100.8	,100.8	,100.8	,100.7	,100.6	,100.6	,100.6	,100.8	,101.0	,101.4	,101.6	,101.6	,101.9	,102.0	,102.2	,102.3	,102.4	,102.5	,102.8	,102.8	,102.8	,102.6	,102.6	,102.6	,102.6	,102.8	,103.1	,103.0	,102.9	,102.9	,102.8	,102.9	,103.0	,102.6	,102.5	,102.3	,102.2	,102.1	,101.6	,101.6	,101.8	,102.0	,102.1	,101.9	,102.1	,103.0	,104.4	,105.1	,105.5	,105.9	,106.2	,106.1	,106.1	,106.6	,106.1	,106.8	,106.0	,105.8	,104.9	,104.3	,104.4	,104.8	,105.0	,105.0	,104.5	,103.3	,103.0	,102.5	,101.5	,98.8	,96.2	,95.0	,94.6	,94.2	,94.3	,95.2	,96.0	,96.5	,97.1	,97.7	,98.6	,101.1	,104.6	,106.5	,107.1	,107.7	,107.7	,107.1	,106.8	,107.0	,106.6	,106.1	,105.9	,106.0	,104.8	,104.2	,104.3	,104.4	,104.4	,104.0	,104.2	,104.0	,103.7	,103.8	,104.6	,104.2	,104.6	,105.0	,104.8	,104.5	,104.3	,104.5	,104.3	,104.6	,105.2	,105.2	,105.0	,104.7	,104.8	,105.2	,105.2	,105.9	,105.8	,105.8	,105.8	,105.8	,105.6	,105.5	,105.6	,106.3	,106.8	,106.4	,106.0	,105.0	,104.9	,104.6	,103.8	,103.2	,103.0	,102.8	,103.5	,103.1	,102.3	,101.9	,102.2	,102.3	,102.1	,101.8	,101.9	,102.1	,100.9	,101.0	,100.2	,100.0	,100.0	,99.9	,99.6	,99.5	,99.5	,99.7	,99.8	,99.7	,100.6	,100.6	,100.7	,100.6	,100.6	,99.7	,100.5	,100.7	,101.0	,101.2	,101.6	,102.2	,102.4	,102.5	,105.2	,105.5	,105.0	,104.6	,104.4	,105.4	,105.9	,105.9	,105.0	,104.1	,103.6	,103.4	,
