Database：Monthly 
Time：Jan 2021-May 2026 
Indicators	,May 2026	,Apr 2026	,Mar 2026	,Feb 2026	,Jan 2026	,Dec 2025	,Nov 2025	,Oct 2025	,Sep 2025	,Aug 2025	,Jul 2025	,Jun 2025	,May 2025	,Apr 2025	,Mar 2025	,Feb 2025	,Jan 2025	,Dec 2024	,Nov 2024	,Oct 2024	,Sep 2024	,Aug 2024	,Jul 2024	,Jun 2024	,May 2024	,Apr 2024	,Mar 2024	,Feb 2024	,Jan 2024	,Dec 2023	,Nov 2023	,Oct 2023	,Sep 2023	,Aug 2023	,Jul 2023	,Jun 2023	,May 2023	,Apr 2023	,Mar 2023	,Feb 2023	,Jan 2023	,Dec 2022	,Nov 2022	,Oct 2022	,Sep 2022	,Aug 2022	,Jul 2022	,Jun 2022	,May 2022	,Apr 2022	,Mar 2022	,Feb 2022	,Jan 2022	,Dec 2021	,Nov 2021	,Oct 2021	,Sep 2021	,Aug 2021	,Jul 2021	,Jun 2021	,May 2021	,Apr 2021	,Mar 2021	,Feb 2021	,Jan 2021	,
Consumer Price Index (The same month last year=100) 	,	,	,	,	,	,100.8	,100.7	,100.2	,99.7	,99.6	,100.0	,100.1	,99.9	,99.9	,99.9	,99.3	,100.5	,100.1	,100.2	,100.3	,100.4	,100.6	,100.5	,100.2	,100.3	,100.3	,100.1	,100.7	,99.2	,99.7	,99.5	,99.8	,100.0	,100.1	,99.7	,100.0	,100.2	,100.1	,100.7	,101.0	,102.1	,101.8	,101.6	,102.1	,102.8	,102.5	,102.7	,102.5	,102.1	,102.1	,101.5	,100.9	,100.9	,101.5	,102.3	,101.5	,100.7	,100.8	,101.0	,101.1	,101.3	,100.9	,100.4	,99.8	,99.7	,
Consumer Price Indices (The same month last year=100) , Food&Tobacco	,	,	,	,	,	,100.8	,100.3	,98.4	,97.4	,97.5	,99.2	,100.1	,100.1	,100.3	,99.4	,98.1	,100.6	,100.0	,100.9	,102.0	,102.3	,102.1	,100.2	,98.9	,99.0	,98.6	,98.6	,99.9	,96.4	,98.0	,97.8	,97.9	,98.5	,99.5	,99.5	,102.0	,101.2	,100.8	,102.1	,102.1	,104.7	,103.7	,103.0	,105.2	,106.3	,104.5	,104.7	,102.5	,102.1	,101.9	,99.7	,98.2	,98.2	,99.9	,101.7	,99.1	,97.2	,98.0	,98.2	,99.6	,100.8	,100.1	,100.1	,100.3	,101.4	,
Consumer Price Indices (The same month last year=100) , Clothing	,	,	,	,	,	,101.7	,101.9	,101.7	,101.7	,101.8	,101.7	,101.6	,101.5	,101.3	,101.3	,101.2	,101.1	,101.2	,101.1	,101.1	,101.3	,101.4	,101.5	,101.5	,101.6	,101.6	,101.6	,101.6	,101.6	,101.4	,101.3	,101.1	,101.1	,101.1	,101.0	,100.9	,100.9	,100.9	,100.8	,100.7	,100.5	,100.5	,100.5	,100.5	,100.5	,100.6	,100.7	,100.6	,100.5	,100.5	,100.6	,100.6	,100.4	,100.6	,100.5	,100.5	,100.5	,100.5	,100.4	,100.4	,100.4	,100.2	,100.1	,99.5	,99.8	,
Consumer Price Indices (The same month last year=100) , Residence	,	,	,	,	,	,99.8	,100.0	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,100.1	,99.9	,99.9	,99.9	,100.0	,100.1	,100.2	,100.2	,100.2	,100.2	,100.2	,100.3	,100.3	,100.3	,100.3	,100.2	,100.1	,100.1	,100.0	,99.8	,99.8	,99.7	,99.9	,99.9	,99.8	,99.8	,99.8	,100.3	,100.6	,100.7	,100.8	,101.0	,101.2	,101.3	,101.4	,101.4	,101.6	,101.7	,101.7	,101.3	,101.1	,101.1	,100.9	,100.7	,100.4	,100.2	,99.7	,99.6	,
Consumer Price Indices (The same month last year=100), Articles and Services for Daily Use	,	,	,	,	,	,102.2	,102.1	,101.9	,102.2	,101.8	,101.2	,100.7	,100.1	,100.2	,100.6	,99.3	,98.9	,99.3	,99.7	,100.1	,100.1	,100.2	,100.7	,100.9	,100.8	,101.4	,101.0	,100.5	,101.0	,100.0	,99.5	,99.4	,99.6	,99.5	,99.8	,99.5	,99.9	,100.1	,100.7	,101.4	,101.6	,101.5	,101.5	,101.4	,101.4	,101.3	,101.4	,101.5	,101.4	,101.2	,100.9	,100.6	,100.4	,100.8	,100.5	,100.9	,100.5	,100.6	,100.3	,100.3	,100.4	,100.4	,100.0	,99.8	,100.0	,
Consumer Price Indices (The same month last year=100) , Transportation and Communication	,	,	,	,	,	,97.4	,97.7	,98.5	,98.0	,97.6	,96.9	,96.3	,95.7	,96.1	,97.4	,97.5	,99.4	,97.8	,96.4	,95.2	,95.9	,97.3	,99.4	,99.7	,99.8	,100.1	,98.7	,99.6	,97.6	,97.8	,97.6	,99.1	,98.7	,97.9	,95.3	,93.5	,96.1	,96.7	,98.1	,100.1	,102.0	,102.8	,102.9	,103.1	,104.5	,104.9	,106.1	,108.5	,106.2	,106.5	,105.8	,105.5	,105.2	,105.0	,107.6	,107.0	,105.8	,105.9	,106.9	,105.8	,105.5	,104.9	,102.7	,98.1	,95.4	,
Consumer Price Indices (The same month last year=100) , Education, Culture and Recreation	,	,	,	,	,	,100.9	,100.8	,100.9	,100.8	,101.0	,100.9	,101.0	,100.9	,100.7	,100.8	,99.5	,101.7	,100.9	,101.0	,100.8	,100.6	,101.3	,101.7	,101.7	,101.7	,101.8	,101.8	,103.9	,101.3	,101.8	,101.8	,102.3	,102.5	,102.5	,102.4	,101.5	,101.7	,101.9	,101.4	,101.2	,102.4	,101.4	,101.3	,101.2	,101.2	,101.6	,101.5	,102.1	,101.8	,102.0	,102.6	,102.5	,102.9	,103.1	,103.0	,102.9	,103.2	,103.0	,102.7	,101.5	,101.5	,101.3	,100.4	,100.6	,100.0	,
Consumer Price Indices (The same month last year=100) , Health Cares	,	,	,	,	,	,101.8	,101.6	,101.4	,101.1	,100.9	,100.5	,100.4	,100.3	,100.2	,100.1	,100.2	,100.7	,100.9	,101.1	,101.1	,101.2	,101.3	,101.4	,101.5	,101.5	,101.6	,101.5	,101.5	,101.3	,101.4	,101.3	,101.3	,101.3	,101.2	,101.2	,101.1	,101.1	,101.0	,101.0	,101.0	,100.8	,100.6	,100.5	,100.5	,100.7	,100.7	,100.7	,100.7	,100.7	,100.7	,100.7	,100.6	,100.6	,100.7	,100.6	,100.6	,100.4	,100.4	,100.4	,100.3	,100.2	,100.1	,100.2	,100.3	,100.4	,
Consumer Price Indices (The same month last year=100) , Miscellaneous Goods and Services	,	,	,	,	,	,117.4	,114.2	,112.8	,109.9	,108.6	,108.0	,108.1	,107.3	,106.6	,106.2	,106.5	,105.4	,104.9	,105.2	,104.7	,103.5	,103.4	,104.0	,104.0	,103.6	,103.8	,102.7	,103.0	,102.9	,102.9	,103.0	,103.6	,103.9	,103.8	,104.1	,102.4	,103.1	,103.5	,102.5	,102.6	,103.1	,102.8	,102.3	,101.9	,101.6	,102.2	,100.9	,101.7	,101.8	,101.7	,102.1	,100.3	,99.9	,99.5	,99.4	,99.5	,97.2	,96.1	,98.7	,99.1	,99.1	,98.7	,98.5	,99.2	,99.1	,
Consumer Price Indices (The same month last year=100) , Non-food	,	,	,	,	,	,100.8	,100.8	,100.9	,100.7	,100.5	,100.3	,100.1	,100.0	,100.0	,100.2	,99.9	,100.5	,100.2	,100.0	,99.7	,99.8	,100.2	,100.7	,100.8	,100.8	,100.9	,100.7	,101.1	,100.4	,100.5	,100.4	,100.7	,100.7	,100.5	,100.0	,99.4	,100.0	,100.1	,100.3	,100.6	,101.2	,101.1	,101.1	,101.1	,101.5	,101.7	,101.9	,102.5	,102.1	,102.2	,102.2	,102.1	,102.0	,102.1	,102.5	,102.4	,102.0	,101.9	,102.1	,101.7	,101.6	,101.3	,100.7	,99.8	,99.2	,
Consumer Price Indices (The same month last year=100) , Consumer Goods	,	,	,	,	,	,101.0	,100.6	,99.8	,99.2	,99.0	,99.6	,99.8	,99.5	,99.7	,99.6	,99.1	,100.1	,99.8	,100.0	,100.2	,100.5	,100.7	,100.5	,99.9	,100.0	,100.0	,99.6	,99.9	,98.3	,98.9	,98.6	,98.9	,99.1	,99.3	,98.7	,99.5	,99.7	,99.6	,100.5	,101.2	,102.8	,102.6	,102.3	,103.3	,104.3	,103.7	,104.0	,103.5	,103.0	,103.0	,101.7	,100.7	,100.4	,101.5	,102.9	,101.6	,100.2	,100.3	,100.6	,101.1	,101.6	,101.0	,100.6	,99.7	,99.9	,
Consumer Price Indices (The same month last year=100) , Services	,	,	,	,	,	,100.6	,100.7	,100.8	,100.6	,100.6	,100.5	,100.5	,100.5	,100.3	,100.3	,99.6	,101.1	,100.5	,100.4	,100.4	,100.2	,100.5	,100.6	,100.7	,100.8	,100.8	,100.8	,101.9	,100.5	,101.0	,101.0	,101.2	,101.3	,101.3	,101.2	,100.7	,100.9	,101.0	,100.8	,100.6	,101.0	,100.6	,100.5	,100.4	,100.5	,100.7	,100.7	,101.0	,100.7	,100.8	,101.1	,101.2	,101.7	,101.5	,101.5	,101.4	,101.4	,101.5	,101.6	,101.0	,100.9	,100.7	,100.2	,99.9	,99.3	,
Consumer Price Indices (The same month last year=100) , Excluding Food and Energy	,	,	,	,	,	,101.2	,101.2	,101.2	,101.0	,100.9	,100.8	,100.7	,100.6	,100.5	,100.5	,99.9	,100.6	,100.4	,100.3	,100.2	,100.1	,100.3	,100.4	,100.6	,100.6	,100.7	,100.6	,101.2	,100.4	,100.6	,100.6	,100.6	,100.8	,100.8	,100.8	,100.4	,100.6	,100.7	,100.7	,100.6	,101.0	,100.7	,100.6	,100.6	,100.6	,100.8	,100.8	,101.0	,100.9	,100.9	,101.1	,101.1	,101.2	,101.2	,101.2	,101.3	,101.2	,101.2	,101.3	,100.9	,100.9	,100.7	,100.3	,100.0	,99.7	,
Note：1. According to the regulations of the statistical system, China's CPI rotates at a base period every five years. After each base period rotation, the survey classification catalogue, representative specifications and survey outlets are adjusted, and the cla
Data Sources：National Bureau of Statistics
