Database：Monthly 
Time：Jan 2026-May 2026 
Indicators	,May 2026	,Apr 2026	,Mar 2026	,Feb 2026	,Jan 2026	,
Consumer Price Index (The same month last year=100) 	,101.2	,101.2	,101.0	,101.3	,100.2	,
Consumer Price Indices (The same month last year=100) , Food&Tobacco	,99.1	,99.2	,100.4	,101.4	,99.8	,
Consumer Price Indices (The same month last year=100) , Clothing	,101.4	,101.5	,101.6	,101.9	,101.9	,
Consumer Price Indices (The same month last year=100) , Residence	,99.8	,99.8	,99.8	,99.8	,99.9	,
Consumer Price Indices (The same month last year=100), Articles and Services for Daily Use	,101.8	,101.4	,101.5	,102.8	,102.6	,
Consumer Price Indices (The same month last year=100) , Transportation and Communication	,105.4	,104.6	,100.9	,99.3	,96.6	,
Consumer Price Indices (The same month last year=100) , Education, Culture and Recreation	,101.3	,101.3	,101.1	,102.0	,100.0	,
Consumer Price Indices (The same month last year=100) , Health Cares	,102.1	,102.2	,101.9	,101.9	,101.7	,
Consumer Price Indices (The same month last year=100) , Miscellaneous Goods and Services	,109.9	,111.0	,113.5	,115.4	,113.2	,
Consumer Price Indices (The same month last year=100) , Non-food	,101.9	,101.8	,101.2	,101.3	,100.4	,
Consumer Price Indices (The same month last year=100) , Consumer Goods	,101.6	,101.4	,101.3	,101.1	,100.3	,
Consumer Price Indices (The same month last year=100) , Services	,100.8	,100.9	,100.8	,101.6	,100.1	,
Consumer Price Indices (The same month last year=100) , Excluding Food and Energy	,101.1	,101.2	,101.1	,101.8	,100.8	,
Note：1. According to the regulations of the statistical system, China's CPI rotates at a base period every five years. After each base period rotation, the survey classification catalogue, representative specifications and survey outlets are adjusted, and the cla
Data Sources：National Bureau of Statistics
