業種別商業販売額前年（度・同期・同月）比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial sales value by type of business and the ratio to the same month/term of the previous year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月(Monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,,
,,商業計,卸売業計,各種商品卸売業,繊維品卸売業,衣服・身の回り品卸売業,農畜産物・水産物卸売業,食料・飲料卸売業,建築材料卸売業,化学製品卸売業,鉱物・金属材料卸売業,機械器具卸売業,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,家具・建具・じゅう器卸売業,医薬品・化粧品卸売業,その他の卸売業,小売業計,各種商品小売業,織物・衣服・身の回り品小売業,飲食料品小売業,自動車小売業,機械器具小売業,燃料小売業,医薬品・化粧品小売業,その他小売業,無店舗小売業,参考(医薬品化粧品小売業、その他小売業の計),参考１(自動車小売業､機械器具小売業、燃料小売業、医薬品化粧品小売業、その他小売業の計),参考２(燃料小売業、医薬品化粧品小売業、その他小売業の計),,
時間軸コード,年月,Total,Wholesale,General Merchandise,Textiles,Apparel & Accessories,Livestock & Aquatic Products,Food & Beverages,Building Materials,Chemicals,Minerals & Metals,Machinery & Equipment,Industriy Machinery & Equipment,Motor Vehicles,Electorical Machinery & Equipment,Others,Furniture & House Furnishings,Medicines & Toiletries,Others,Retail,General Merchandise,Fabrics Apparel & Accessories,Food & Beverages,Motor Vehicles(*1),Machinery & Equipment(*2),Fuel(*3),Medicine & Toiletry Stores(*4),Others(*5),Nonstore retailers,Total of(*4)&(*5),Total of(*1)～(*5),Total of(*3)～(*5),Month,Year
1980000101,1980年1月,125.6,128.2,151.1,103.5,111.9,113.4,115.5,131.1,135.1,145.6,121.7,***,***,***,***,118.5,112.4,123.6,116.2,110.5,105,112.9,113.7,116.2,***,***,***,***,***,123.4,127.5,Jan,1980
1980000202,1980年2月,130.2,132.5,149.4,112.6,111.2,129,114.2,142.1,134.8,157.3,121.9,***,***,***,***,115.9,112.4,122.5,121.2,110.2,99.3,121.5,109,121.9,***,***,***,***,***,130.4,139.4,Feb,1980
1980000303,1980年3月,125.7,128,143.4,105.6,107.5,118.3,107,148,130.5,145,116.7,***,***,***,***,110.7,112.9,128.2,116.4,109.5,103.6,114.8,107.5,108.9,***,***,***,***,***,122.7,131.4,Mar,1980
1980000404,1980年4月,128.1,130.7,150.4,116.1,111.8,122.5,112.3,146.9,129.1,151.5,124.7,***,***,***,***,114.7,108,132.2,118.9,105.7,102.6,115,106.1,113.8,***,***,***,***,***,129.7,141.1,Apr,1980
1980000505,1980年5月,122.7,124.7,135.6,106.8,109,124.4,105.4,133.9,117.2,142.1,120.2,***,***,***,***,116.9,109.7,124.6,115.1,106.9,99.3,112.1,106.4,104.2,***,***,***,***,***,123.7,133.2,May,1980
1980000606,1980年6月,118,119.7,130.9,102.5,103.6,122.1,105.5,114.9,110.6,130.6,115.4,***,***,***,***,122.8,107.2,130.3,111.5,107.3,99.4,111.5,98,95.5,***,***,***,***,***,115.9,127.2,Jun,1980
1980000707,1980年7月,116.1,118.3,127.7,98.5,103.3,116.7,114.7,117,104.7,127.7,115.1,***,***,***,***,125,102.3,125.5,108.2,103.9,103.6,108.2,98.1,92.7,***,***,***,***,***,110.8,120.1,Jul,1980
1980000808,1980年8月,113.5,115.3,117.6,94.4,115.3,124.1,117.5,111.1,95.3,119.1,112.3,***,***,***,***,115.7,107.7,122.3,106.8,108.2,99.4,112.9,91.8,84.8,***,***,***,***,***,103.9,111.3,Aug,1980
1980000909,1980年9月,118,120.5,128.4,87.8,115.1,123.9,116.7,109.9,104.4,136.7,111.9,***,***,***,***,118.4,105,126.6,107,105.8,95.6,115.2,91.5,95.4,***,***,***,***,***,105.1,111.5,Sep,1980
1980001010,1980年10月,112.9,114.2,111.9,97.8,113.5,115.6,108.9,114.4,107.8,120.3,112.7,***,***,***,***,109.6,114.1,127.4,108,108.4,99.3,116.2,87,96.3,***,***,***,***,***,105.3,113.2,Oct,1980
1980001111,1980年11月,106.5,106.9,103.3,95.6,103.2,105.8,100,107.8,100.5,112.3,106.8,***,***,***,***,109.5,107.7,125.1,105,107.7,99.7,114.6,80.6,94.2,***,***,***,***,***,100,108,Nov,1980
1980001212,1980年12月,108.1,108.8,110,109.2,113.7,100.9,100.5,99.5,96.4,112.7,111.2,***,***,***,***,114.2,110.2,130.8,105.8,107.1,105.3,111,89.4,97.5,***,***,***,***,***,101.8,106.2,Dec,1980
1981000101,1981年1月,104.3,103.7,101,106.2,104.6,97.3,110.3,94.3,94.4,99,105.6,***,***,***,***,113.9,110.6,132.5,106.7,105.5,101.8,110.6,95,97.9,***,***,***,***,***,105.9,110,Jan,1981
1981000202,1981年2月,99.1,98.4,98,93.7,101.8,94.4,108.9,84.7,88.9,91.6,100.1,***,***,***,***,112.1,113.1,121.1,102.2,102.3,97.7,106.8,95.9,94.2,***,***,***,***,***,100.3,102.5,Feb,1981
1981000303,1981年3月,107.2,107.3,121,103.5,107.5,106.5,104.6,84.3,92.8,96.9,104.3,***,***,***,***,118.8,107.7,119.7,106.5,104.6,103.2,113,98.6,101.5,***,***,***,***,***,104.1,106.4,Mar,1981
1981000404,1981年4月,100.9,100.1,93.1,106.6,109.3,99.3,115.6,88.6,93.9,91.9,98.4,***,***,***,***,112.9,110.1,119.9,103.9,105.3,106.4,115,103,94.3,***,***,***,***,***,96.9,95.5,Apr,1981
1981000505,1981年5月,100.1,99.3,95.5,93.5,108.1,95.5,116.6,86.1,97.9,94.7,98,***,***,***,***,103.9,114.1,116.5,103,106.3,107.6,110.7,91.9,106.2,***,***,***,***,***,96.5,96.6,May,1981
1981000606,1981年6月,105.5,106,111.4,101.4,104.4,101.5,112.6,97.7,102.6,104.5,102.9,***,***,***,***,101,113.3,113.9,103.3,100.9,104.9,111,95.6,98.1,***,***,***,***,***,98.8,99.9,Jun,1981
