?????????? 2020???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indices of commercial sales value by type of business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????????,(2) Seasonal adjustment indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?(Monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,2020?=100,,
,,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,C.Y.2020=100,,
,,???,????,???????,??????,???????????,???????????,????????,???????,???????,??????????,???????,?????????,??????,?????????,???????????,?????????????,??????????,???????,????,???????,??????????????,???????,???????,??????,???????,?????,???????????????????,,
??????,??,Total,Wholesale,General Merchandise,Textiles,Apparel & Accessories,Livestock & Aquatic Products,Food & Beverages,Building Materials,Chemicals,Minerals & Metals,Machinery & Equipment,Industriy Machinery & Equipment,Motor Vehicles,Electorical Machinery & Equipment,Others,Furniture & House Furnishings,Medicines & Toiletries,Others,Retail,General Merchandise,Fabrics Apparel & Accessories,Food & Beverages,Others,Motor Vehicles,Machinery & Equipment,Fuel,Others,Month,Year
2002000101,2002?1?,126.6,140.9,164.8,247,477.1,155.6,87.2,137.2,143.6,125.7,171.6,***,***,***,***,313.5,84.6,137.2,94.7,169.9,106.1,82.7,85.9,92.2,113,***,***,Jan,2002
2002000202,2002?2?,124.4,138.7,167.2,251.3,474.6,154.3,84.9,141.3,148,127.6,164.1,***,***,***,***,322,84.3,139.1,93.1,162.7,106.3,81.9,84.4,92.1,109.3,***,***,Feb,2002
2002000303,2002?3?,123,136.8,159.1,248.5,475.4,148.6,83.2,133.8,147.3,122.1,166.3,***,***,***,***,320.5,84,137.9,93.6,167.4,106.9,82.6,84.2,91.4,104.6,***,***,Mar,2002
2002000404,2002?4?,126.3,141.5,180.1,249,475,158.9,84.5,138,147.4,129.2,166.2,***,***,***,***,331.4,85.1,133.7,93.5,168.7,106.2,82.2,84.4,88.9,113,***,***,Apr,2002
2002000505,2002?5?,126.7,141.5,170.1,243.7,486.9,167.6,85.2,136.7,149.6,129.2,165,***,***,***,***,327.4,84.7,135.3,94,168.7,103.2,81.9,85.7,90.3,110.6,***,***,May,2002
2002000606,2002?6?,123.6,137.5,167.4,223.4,472.9,158.5,83.2,132.8,144.4,128.5,159.9,***,***,***,***,322,79.4,128.2,93.3,168.5,104,82.2,84,90.4,104.6,***,***,Jun,2002
2002000707,2002?7?,125,140,169.5,231.1,490.7,168.3,84.2,137.8,146.7,127.7,158.8,***,***,***,***,322,84.9,135.2,92,163.4,103.4,80.8,84,92.7,104.6,***,***,Jul,2002
