date,exchange,commodity_code,commodity_name,inventory_total,inventory_registered,inventory_eligible,inventory_unit,settlement_price_usd
1992-08-31,COMEX,GC,Gold,1762000,,,troy ounces,
1992-09-01,COMEX,GC,Gold,1763000,,,troy ounces,
1992-09-02,COMEX,GC,Gold,1916000,,,troy ounces,
1992-09-03,COMEX,GC,Gold,1916000,,,troy ounces,
1992-09-07,COMEX,GC,Gold,1960000,,,troy ounces,
1992-09-08,COMEX,GC,Gold,1960000,,,troy ounces,
1992-09-09,COMEX,GC,Gold,1960000,,,troy ounces,
1992-09-10,COMEX,GC,Gold,1817000,,,troy ounces,
1992-09-13,COMEX,GC,Gold,1817000,,,troy ounces,
1992-09-14,COMEX,GC,Gold,1834000,,,troy ounces,
1992-09-15,COMEX,GC,Gold,1830000,,,troy ounces,
1992-09-16,COMEX,GC,Gold,1806000,,,troy ounces,
1992-09-17,COMEX,GC,Gold,1806000,,,troy ounces,
1992-09-20,COMEX,GC,Gold,1806000,,,troy ounces,
1992-09-21,COMEX,GC,Gold,1943000,,,troy ounces,
1992-09-22,COMEX,GC,Gold,1943000,,,troy ounces,
1992-09-23,COMEX,GC,Gold,1943000,,,troy ounces,
1992-09-24,COMEX,GC,Gold,1950000,,,troy ounces,
1992-09-27,COMEX,GC,Gold,1948000,,,troy ounces,
1992-09-28,COMEX,GC,Gold,1948000,,,troy ounces,
1992-09-29,COMEX,GC,Gold,1943000,,,troy ounces,
1992-09-30,COMEX,GC,Gold,2079000,,,troy ounces,
1992-10-01,COMEX,GC,Gold,1813000,,,troy ounces,
1992-10-04,COMEX,GC,Gold,1812000,,,troy ounces,
1992-10-05,COMEX,GC,Gold,1830000,,,troy ounces,
1992-10-06,COMEX,GC,Gold,1826000,,,troy ounces,
1992-10-07,COMEX,GC,Gold,1831000,,,troy ounces,
1992-10-08,COMEX,GC,Gold,1833000,,,troy ounces,
1992-10-11,COMEX,GC,Gold,1833000,,,troy ounces,
1992-10-12,COMEX,GC,Gold,1833000,,,troy ounces,
1992-10-13,COMEX,GC,Gold,1778000,,,troy ounces,
1992-10-14,COMEX,GC,Gold,1778000,,,troy ounces,
1992-10-15,COMEX,GC,Gold,1778000,,,troy ounces,
1992-10-18,COMEX,GC,Gold,1778000,,,troy ounces,
1992-10-19,COMEX,GC,Gold,1776000,,,troy ounces,
1992-10-20,COMEX,GC,Gold,1777000,,,troy ounces,
1992-10-21,COMEX,GC,Gold,1777000,,,troy ounces,
