date,exchange,commodity_code,commodity_name,inventory_total,inventory_registered,inventory_eligible,inventory_unit,settlement_price_usd
1993-04-29,COMEX,HG,Copper,110812,,,pounds,
1993-05-02,COMEX,HG,Copper,111568,,,pounds,
1993-05-03,COMEX,HG,Copper,112924,,,pounds,
1993-05-04,COMEX,HG,Copper,113439,,,pounds,
1993-05-05,COMEX,HG,Copper,113439,,,pounds,
1993-05-06,COMEX,HG,Copper,113439,,,pounds,
1993-05-09,COMEX,HG,Copper,113189,,,pounds,
1993-05-10,COMEX,HG,Copper,113189,,,pounds,
1993-05-11,COMEX,HG,Copper,112846,,,pounds,
1993-05-12,COMEX,HG,Copper,113069,,,pounds,
1993-05-13,COMEX,HG,Copper,113069,,,pounds,
1993-05-16,COMEX,HG,Copper,113069,,,pounds,
1993-05-17,COMEX,HG,Copper,113069,,,pounds,
1993-05-18,COMEX,HG,Copper,113069,,,pounds,
1993-05-19,COMEX,HG,Copper,112487,,,pounds,
1993-05-20,COMEX,HG,Copper,111878,,,pounds,
1993-05-23,COMEX,HG,Copper,111111,,,pounds,
1993-05-24,COMEX,HG,Copper,111111,,,pounds,
1993-05-25,COMEX,HG,Copper,110149,,,pounds,
1993-05-26,COMEX,HG,Copper,108993,,,pounds,
1993-05-27,COMEX,HG,Copper,108290,,,pounds,
1993-05-31,COMEX,HG,Copper,107999,,,pounds,
1993-06-01,COMEX,HG,Copper,107999,,,pounds,
1993-06-02,COMEX,HG,Copper,107999,,,pounds,
1993-06-03,COMEX,HG,Copper,108877,,,pounds,
1993-06-06,COMEX,HG,Copper,108877,,,pounds,
1993-06-07,COMEX,HG,Copper,108852,,,pounds,
1993-06-08,COMEX,HG,Copper,108852,,,pounds,
1993-06-09,COMEX,HG,Copper,108470,,,pounds,
1993-06-10,COMEX,HG,Copper,108373,,,pounds,
1993-06-13,COMEX,HG,Copper,106999,,,pounds,
1993-06-14,COMEX,HG,Copper,106472,,,pounds,
1993-06-15,COMEX,HG,Copper,106049,,,pounds,
1993-06-16,COMEX,HG,Copper,106049,,,pounds,
1993-06-17,COMEX,HG,Copper,105082,,,pounds,
1993-06-20,COMEX,HG,Copper,104796,,,pounds,
1993-06-21,COMEX,HG,Copper,104621,,,pounds,
1993-06-22,COMEX,HG,Copper,104190,,,pounds,
1993-06-23,COMEX,HG,Copper,103904,,,pounds,
1993-06-24,COMEX,HG,Copper,103658,,,pounds,
1993-06-27,COMEX,HG,Copper,103658,,,pounds,
1993-06-28,COMEX,HG,Copper,104634,,,pounds,
1993-06-29,COMEX,HG,Copper,105484,,,pounds,
1993-06-30,COMEX,HG,Copper,106011,,,pounds,
1993-07-01,COMEX,HG,Copper,106311,,,pounds,
1993-07-05,COMEX,HG,Copper,107063,,,pounds,
1993-07-06,COMEX,HG,Copper,107857,,,pounds,
1993-07-07,COMEX,HG,Copper,107857,,,pounds,
1993-07-08,COMEX,HG,Copper,109361,,,pounds,
1993-07-11,COMEX,HG,Copper,110929,,,pounds,
1993-07-12,COMEX,HG,Copper,111193,,,pounds,
1993-07-13,COMEX,HG,Copper,111193,,,pounds,
1993-07-14,COMEX,HG,Copper,111193,,,pounds,
