date,exchange,commodity_code,commodity_name,inventory_total,inventory_registered,inventory_eligible,inventory_unit,settlement_price_usd
1992-08-31,COMEX,SI,Silver,273521970,,,troy ounces,
1992-09-01,COMEX,SI,Silver,273662030,,,troy ounces,
1992-09-02,COMEX,SI,Silver,275244000,,,troy ounces,
1992-09-03,COMEX,SI,Silver,274831000,,,troy ounces,
1992-09-07,COMEX,SI,Silver,276102030,,,troy ounces,
1992-09-08,COMEX,SI,Silver,276684000,,,troy ounces,
1992-09-09,COMEX,SI,Silver,276684000,,,troy ounces,
1992-09-10,COMEX,SI,Silver,275785000,,,troy ounces,
1992-09-13,COMEX,SI,Silver,275785000,,,troy ounces,
1992-09-14,COMEX,SI,Silver,276038030,,,troy ounces,
1992-09-15,COMEX,SI,Silver,276797000,,,troy ounces,
1992-09-16,COMEX,SI,Silver,276612000,,,troy ounces,
1992-09-17,COMEX,SI,Silver,276795000,,,troy ounces,
1992-09-20,COMEX,SI,Silver,277275000,,,troy ounces,
1992-09-21,COMEX,SI,Silver,278120000,,,troy ounces,
1992-09-22,COMEX,SI,Silver,279031000,,,troy ounces,
1992-09-23,COMEX,SI,Silver,279477000,,,troy ounces,
1992-09-24,COMEX,SI,Silver,278742030,,,troy ounces,
1992-09-27,COMEX,SI,Silver,277751000,,,troy ounces,
1992-09-28,COMEX,SI,Silver,276839000,,,troy ounces,
1992-09-29,COMEX,SI,Silver,278575000,,,troy ounces,
1992-09-30,COMEX,SI,Silver,278475000,,,troy ounces,
1992-10-01,COMEX,SI,Silver,276604000,,,troy ounces,
1992-10-04,COMEX,SI,Silver,276201970,,,troy ounces,
1992-10-05,COMEX,SI,Silver,277257970,,,troy ounces,
1992-10-06,COMEX,SI,Silver,276732000,,,troy ounces,
1992-10-07,COMEX,SI,Silver,277416000,,,troy ounces,
1992-10-08,COMEX,SI,Silver,277416000,,,troy ounces,
1992-10-11,COMEX,SI,Silver,277416000,,,troy ounces,
1992-10-12,COMEX,SI,Silver,276641000,,,troy ounces,
1992-10-13,COMEX,SI,Silver,277902030,,,troy ounces,
1992-10-14,COMEX,SI,Silver,277902030,,,troy ounces,
1992-10-15,COMEX,SI,Silver,277902030,,,troy ounces,
1992-10-18,COMEX,SI,Silver,277902030,,,troy ounces,
1992-10-19,COMEX,SI,Silver,278486030,,,troy ounces,
1992-10-20,COMEX,SI,Silver,278485000,,,troy ounces,
1992-10-21,COMEX,SI,Silver,278812000,,,troy ounces,
1992-10-22,COMEX,SI,Silver,278721970,,,troy ounces,
1992-10-25,COMEX,SI,Silver,278576000,,,troy ounces,
1992-10-26,COMEX,SI,Silver,278576000,,,troy ounces,
1992-10-27,COMEX,SI,Silver,278526030,,,troy ounces,
1992-10-28,COMEX,SI,Silver,278526030,,,troy ounces,
1992-10-29,COMEX,SI,Silver,278526030,,,troy ounces,
1992-11-01,COMEX,SI,Silver,278964000,,,troy ounces,
1992-11-02,COMEX,SI,Silver,279564000,,,troy ounces,
1992-11-03,COMEX,SI,Silver,279909000,,,troy ounces,
1992-11-04,COMEX,SI,Silver,279909000,,,troy ounces,
1992-11-05,COMEX,SI,Silver,279909000,,,troy ounces,
1992-11-08,COMEX,SI,Silver,278812000,,,troy ounces,
1992-11-09,COMEX,SI,Silver,279387000,,,troy ounces,
1992-11-10,COMEX,SI,Silver,279709000,,,troy ounces,
1992-11-11,COMEX,SI,Silver,280185000,,,troy ounces,
1992-11-12,COMEX,SI,Silver,280758030,,,troy ounces,
1992-11-15,COMEX,SI,Silver,280758030,,,troy ounces,
1992-11-16,COMEX,SI,Silver,280622030,,,troy ounces,
1992-11-17,COMEX,SI,Silver,282006030,,,troy ounces,
1992-11-18,COMEX,SI,Silver,282022030,,,troy ounces,
1992-11-19,COMEX,SI,Silver,282022030,,,troy ounces,
1992-11-22,COMEX,SI,Silver,281301000,,,troy ounces,
1992-11-23,COMEX,SI,Silver,280419000,,,troy ounces,
1992-11-24,COMEX,SI,Silver,280419000,,,troy ounces,
1992-11-26,COMEX,SI,Silver,280712000,,,troy ounces,
1992-11-29,COMEX,SI,Silver,280712000,,,troy ounces,
1992-11-30,COMEX,SI,Silver,280712000,,,troy ounces,
1992-12-01,COMEX,SI,Silver,280599000,,,troy ounces,
1992-12-02,COMEX,SI,Silver,281637000,,,troy ounces,
1992-12-03,COMEX,SI,Silver,282733000,,,troy ounces,
1992-12-06,COMEX,SI,Silver,282733000,,,troy ounces,
1992-12-07,COMEX,SI,Silver,283287000,,,troy ounces,
1992-12-08,COMEX,SI,Silver,283588000,,,troy ounces,
1992-12-09,COMEX,SI,Silver,283588000,,,troy ounces,
1992-12-10,COMEX,SI,Silver,281780000,,,troy ounces,
1992-12-13,COMEX,SI,Silver,281743000,,,troy ounces,
1992-12-14,COMEX,SI,Silver,281387000,,,troy ounces,
1992-12-15,COMEX,SI,Silver,281676000,,,troy ounces,
1992-12-16,COMEX,SI,Silver,281676000,,,troy ounces,
1992-12-17,COMEX,SI,Silver,281676000,,,troy ounces,
1992-12-20,COMEX,SI,Silver,280971000,,,troy ounces,
1992-12-21,COMEX,SI,Silver,277782030,,,troy ounces,
1992-12-22,COMEX,SI,Silver,277073970,,,troy ounces,
1992-12-23,COMEX,SI,Silver,277417000,,,troy ounces,
