date,exchange,commodity_code,commodity_name,inventory_tonnes,settlement_price_cny
2002-01-07,SHFE,CU,Copper,,14860
2002-01-08,SHFE,CU,Copper,,15300
2002-01-09,SHFE,CU,Copper,,15250
2002-01-10,SHFE,CU,Copper,,15310
2002-01-11,SHFE,CU,Copper,,15220
2002-01-14,SHFE,CU,Copper,,15260
2002-01-15,SHFE,CU,Copper,,15150
2002-01-16,SHFE,CU,Copper,,15900
2002-01-17,SHFE,CU,Copper,,16000
2002-01-18,SHFE,CU,Copper,,15850
2002-01-21,SHFE,CU,Copper,,15700
2002-01-22,SHFE,CU,Copper,,15700
2002-01-23,SHFE,CU,Copper,,16000
2002-01-24,SHFE,CU,Copper,,15890
2002-01-25,SHFE,CU,Copper,,15970
2002-01-28,SHFE,CU,Copper,,15800
2002-01-29,SHFE,CU,Copper,,15700
2002-01-30,SHFE,CU,Copper,,15660
2002-01-31,SHFE,CU,Copper,,16010
2002-02-01,SHFE,CU,Copper,,16160
2002-02-04,SHFE,CU,Copper,,16080
2002-02-05,SHFE,CU,Copper,,16050
2002-02-06,SHFE,CU,Copper,,16070
2002-02-07,SHFE,CU,Copper,,16030
2002-02-08,SHFE,CU,Copper,,16060
2002-02-19,SHFE,CU,Copper,,15880
2002-02-20,SHFE,CU,Copper,,15660
2002-02-21,SHFE,CU,Copper,,15740
2002-02-22,SHFE,CU,Copper,,15680
2002-02-25,SHFE,CU,Copper,,15830
2002-02-26,SHFE,CU,Copper,,15860
2002-02-27,SHFE,CU,Copper,,15810
2002-02-28,SHFE,CU,Copper,,15890
2002-03-01,SHFE,CU,Copper,,15840
2002-03-04,SHFE,CU,Copper,,16130
2002-03-05,SHFE,CU,Copper,,16190
2002-03-06,SHFE,CU,Copper,,16050
2002-03-07,SHFE,CU,Copper,,16140
2002-03-08,SHFE,CU,Copper,,16110
2002-03-11,SHFE,CU,Copper,,16070
2002-03-12,SHFE,CU,Copper,,16020
2002-03-13,SHFE,CU,Copper,,15970
2002-03-14,SHFE,CU,Copper,,15990
2002-03-15,SHFE,CU,Copper,,16050
2002-03-18,SHFE,CU,Copper,,16170
2002-03-19,SHFE,CU,Copper,,16350
2002-03-20,SHFE,CU,Copper,,16310
2002-03-21,SHFE,CU,Copper,,16280
2002-03-22,SHFE,CU,Copper,,16820
2002-03-25,SHFE,CU,Copper,,16420
2002-03-26,SHFE,CU,Copper,,16400
2002-03-27,SHFE,CU,Copper,,16380
2002-03-28,SHFE,CU,Copper,,16450
2002-03-29,SHFE,CU,Copper,,16950
2002-04-01,SHFE,CU,Copper,,16950
2002-04-02,SHFE,CU,Copper,,16950
2002-04-03,SHFE,CU,Copper,,16380
2002-04-04,SHFE,CU,Copper,,16130
2002-04-05,SHFE,CU,Copper,,16090
2002-04-08,SHFE,CU,Copper,,16040
2002-04-09,SHFE,CU,Copper,,16080
2002-04-10,SHFE,CU,Copper,,16010
2002-04-11,SHFE,CU,Copper,,16040
2002-04-12,SHFE,CU,Copper,,15930
2002-04-15,SHFE,CU,Copper,,16180
2002-04-16,SHFE,CU,Copper,,16310
2002-04-17,SHFE,CU,Copper,,16390
2002-04-18,SHFE,CU,Copper,,16000
2002-04-19,SHFE,CU,Copper,,15960
2002-04-22,SHFE,CU,Copper,,15970
2002-04-23,SHFE,CU,Copper,,16290
2002-04-24,SHFE,CU,Copper,,16140
2002-04-25,SHFE,CU,Copper,,16110
2002-04-26,SHFE,CU,Copper,,16130
2002-04-29,SHFE,CU,Copper,,16140
2002-04-30,SHFE,CU,Copper,,16000
2002-05-08,SHFE,CU,Copper,,16240
2002-05-09,SHFE,CU,Copper,,16290
2002-05-10,SHFE,CU,Copper,,16060
2002-05-13,SHFE,CU,Copper,,16100
2002-05-14,SHFE,CU,Copper,,16110
2002-05-15,SHFE,CU,Copper,,16110
2002-05-16,SHFE,CU,Copper,,16100
2002-05-17,SHFE,CU,Copper,,16010
2002-05-20,SHFE,CU,Copper,,15940
2002-05-21,SHFE,CU,Copper,,15940
2002-05-22,SHFE,CU,Copper,,15950
2002-05-23,SHFE,CU,Copper,,15950
2002-05-24,SHFE,CU,Copper,,16040
2002-05-27,SHFE,CU,Copper,,16000
2002-05-28,SHFE,CU,Copper,,16120
2002-05-29,SHFE,CU,Copper,,16470
2002-05-30,SHFE,CU,Copper,,16410
2002-05-31,SHFE,CU,Copper,,16300
2002-06-03,SHFE,CU,Copper,,16420
2002-06-04,SHFE,CU,Copper,,16470
2002-06-05,SHFE,CU,Copper,,16660
2002-06-06,SHFE,CU,Copper,,16650
2002-06-07,SHFE,CU,Copper,,16970
2002-06-10,SHFE,CU,Copper,,16970
2002-06-11,SHFE,CU,Copper,,16850
2002-06-12,SHFE,CU,Copper,,16850
2002-06-13,SHFE,CU,Copper,,16360
2002-06-14,SHFE,CU,Copper,,16490
2002-06-17,SHFE,CU,Copper,,16530
2002-06-18,SHFE,CU,Copper,,16530
2002-06-19,SHFE,CU,Copper,,16510
2002-06-20,SHFE,CU,Copper,,16470
2002-06-21,SHFE,CU,Copper,,16360
2002-06-24,SHFE,CU,Copper,,16350
2002-06-25,SHFE,CU,Copper,,16580
2002-06-26,SHFE,CU,Copper,,16710
2002-06-27,SHFE,CU,Copper,,16720
2002-06-28,SHFE,CU,Copper,,16730
2002-07-01,SHFE,CU,Copper,,16830
2002-07-02,SHFE,CU,Copper,,16740
2002-07-03,SHFE,CU,Copper,,16640
2002-07-04,SHFE,CU,Copper,,16670
2002-07-05,SHFE,CU,Copper,,16620
2002-07-08,SHFE,CU,Copper,,16410
2002-07-09,SHFE,CU,Copper,,16410
2002-07-10,SHFE,CU,Copper,,16370
2002-07-11,SHFE,CU,Copper,,16260
2002-07-12,SHFE,CU,Copper,,16300
2002-07-15,SHFE,CU,Copper,,16230
2002-07-16,SHFE,CU,Copper,,16270
2002-07-17,SHFE,CU,Copper,,16260
2002-07-18,SHFE,CU,Copper,,16180
2002-07-19,SHFE,CU,Copper,,16090
2002-07-22,SHFE,CU,Copper,,15990
2002-07-23,SHFE,CU,Copper,,16130
2002-07-24,SHFE,CU,Copper,,15550
2002-07-25,SHFE,CU,Copper,,15910
2002-07-26,SHFE,CU,Copper,,15650
2002-07-29,SHFE,CU,Copper,,15580
2002-07-30,SHFE,CU,Copper,,15660
2002-07-31,SHFE,CU,Copper,,15590
2002-08-01,SHFE,CU,Copper,,15060
2002-08-02,SHFE,CU,Copper,,15080
2002-08-05,SHFE,CU,Copper,,15000
2002-08-06,SHFE,CU,Copper,,14760
2002-08-07,SHFE,CU,Copper,,14880
2002-08-08,SHFE,CU,Copper,,14880
2002-08-09,SHFE,CU,Copper,,15020
2002-08-12,SHFE,CU,Copper,,14980
2002-08-13,SHFE,CU,Copper,,15010
2002-08-14,SHFE,CU,Copper,,14840
2002-08-15,SHFE,CU,Copper,,14990
2002-08-16,SHFE,CU,Copper,,15120
2002-08-19,SHFE,CU,Copper,,14890
2002-08-20,SHFE,CU,Copper,,14940
2002-08-21,SHFE,CU,Copper,,14950
2002-08-22,SHFE,CU,Copper,,14940
2002-08-23,SHFE,CU,Copper,,15170
2002-08-26,SHFE,CU,Copper,,15150
2002-08-27,SHFE,CU,Copper,,15240
2002-08-28,SHFE,CU,Copper,,15260
2002-08-29,SHFE,CU,Copper,,15190
2002-08-30,SHFE,CU,Copper,,15320
2002-09-02,SHFE,CU,Copper,,15320
2002-09-03,SHFE,CU,Copper,,15330
2002-09-04,SHFE,CU,Copper,,14910
2002-09-05,SHFE,CU,Copper,,14910
2002-09-06,SHFE,CU,Copper,,14800
2002-09-09,SHFE,CU,Copper,,14980
2002-09-10,SHFE,CU,Copper,,15420
2002-09-11,SHFE,CU,Copper,,15420
2002-09-12,SHFE,CU,Copper,,15420
2002-09-13,SHFE,CU,Copper,,15420
2002-09-16,SHFE,CU,Copper,,15420
2002-09-17,SHFE,CU,Copper,,15160
2002-09-18,SHFE,CU,Copper,,15020
2002-09-19,SHFE,CU,Copper,,15070
2002-09-20,SHFE,CU,Copper,,14980
2002-09-23,SHFE,CU,Copper,,15070
2002-09-24,SHFE,CU,Copper,,14890
2002-09-25,SHFE,CU,Copper,,14850
2002-09-26,SHFE,CU,Copper,,14960
2002-09-27,SHFE,CU,Copper,,14980
2002-10-08,SHFE,CU,Copper,,14820
2002-10-09,SHFE,CU,Copper,,14810
2002-10-10,SHFE,CU,Copper,,14850
2002-10-11,SHFE,CU,Copper,,14970
2002-10-14,SHFE,CU,Copper,,14910
2002-10-15,SHFE,CU,Copper,,14760
2002-10-16,SHFE,CU,Copper,,14960
2002-10-17,SHFE,CU,Copper,,15030
2002-10-18,SHFE,CU,Copper,,15230
2002-10-21,SHFE,CU,Copper,,15170
2002-10-22,SHFE,CU,Copper,,15240
2002-10-23,SHFE,CU,Copper,,15290
2002-10-24,SHFE,CU,Copper,,15290
2002-10-25,SHFE,CU,Copper,,15420
2002-10-28,SHFE,CU,Copper,,15500
2002-10-29,SHFE,CU,Copper,,15370
2002-10-30,SHFE,CU,Copper,,15340
2002-10-31,SHFE,CU,Copper,,15340
2002-11-01,SHFE,CU,Copper,,15870
2002-11-04,SHFE,CU,Copper,,16050
2002-11-05,SHFE,CU,Copper,,15640
2002-11-06,SHFE,CU,Copper,,15720
2002-11-07,SHFE,CU,Copper,,15720
2002-11-08,SHFE,CU,Copper,,15580
2002-11-11,SHFE,CU,Copper,,15580
2002-11-12,SHFE,CU,Copper,,15680
2002-11-13,SHFE,CU,Copper,,15580
2002-11-14,SHFE,CU,Copper,,15640
2002-11-15,SHFE,CU,Copper,,15440
2002-11-18,SHFE,CU,Copper,,15830
2002-11-19,SHFE,CU,Copper,,15870
2002-11-20,SHFE,CU,Copper,,16160
2002-11-21,SHFE,CU,Copper,,16230
2002-11-22,SHFE,CU,Copper,,16260
2002-11-25,SHFE,CU,Copper,,16180
2002-11-26,SHFE,CU,Copper,,16150
2002-11-27,SHFE,CU,Copper,,16010
2002-11-28,SHFE,CU,Copper,,16400
2002-11-29,SHFE,CU,Copper,,16460
2002-12-02,SHFE,CU,Copper,,16870
2002-12-03,SHFE,CU,Copper,,16870
2002-12-04,SHFE,CU,Copper,,16770
2002-12-05,SHFE,CU,Copper,,16870
2002-12-06,SHFE,CU,Copper,,16140
2002-12-09,SHFE,CU,Copper,,16180
2002-12-10,SHFE,CU,Copper,,16100
2002-12-11,SHFE,CU,Copper,,16180
2002-12-12,SHFE,CU,Copper,,16280
2002-12-13,SHFE,CU,Copper,,16440
2002-12-16,SHFE,CU,Copper,,16320
2002-12-17,SHFE,CU,Copper,,16270
2002-12-18,SHFE,CU,Copper,,16280
2002-12-19,SHFE,CU,Copper,,16210
2002-12-20,SHFE,CU,Copper,,16150
2002-12-23,SHFE,CU,Copper,,16270
2002-12-24,SHFE,CU,Copper,,16270
2002-12-25,SHFE,CU,Copper,,16010
2002-12-26,SHFE,CU,Copper,,15920
2002-12-27,SHFE,CU,Copper,,15830
