日付,利率(%),投标量(億元),中标量(億元)
2026-03-02,1.4,190.0,190.0
2026-02-28,1.4,1160.0,1160.0
2026-02-27,1.4,2690.0,2690.0
2026-02-26,1.4,3205.0,3205.0
2026-02-25,1.4,4095.0,4095.0
2026-02-24,1.4,5260.0,5260.0
2026-02-14,1.4,380.0,380.0
2026-02-13,1.4,1450.0,1450.0
2026-02-12,1.4,1665.0,1665.0
2026-02-11,1.4,785.0,785.0
2026-02-10,1.4,3114.0,3114.0
2026-02-09,1.4,1130.0,1130.0
2026-02-06,1.4,315.0,315.0
2026-02-05,1.4,1185.0,1185.0
2026-02-04,1.4,750.0,750.0
2026-02-03,1.4,1055.0,1055.0
2026-02-02,1.4,750.0,750.0
2026-01-30,1.4,4775.0,4775.0
2026-01-29,1.4,3540.0,3540.0
2026-01-28,1.4,3775.0,3775.0
2026-01-27,1.4,4020.0,4020.0
2026-01-26,1.4,1505.0,1505.0
2026-01-23,1.4,1250.0,1250.0
2026-01-22,1.4,2102.0,2102.0
2026-01-21,1.4,3635.0,3635.0
2026-01-20,1.4,3240.0,3240.0
2026-01-19,1.4,1583.0,1583.0
2026-01-16,1.4,867.0,867.0
2026-01-15,1.4,1793.0,1793.0
2026-01-14,1.4,2408.0,2408.0
2026-01-13,1.4,3586.0,3586.0
2026-01-12,1.4,861.0,861.0
2026-01-09,1.4,340.0,340.0
2026-01-08,1.4,99.0,99.0
2026-01-07,1.4,286.0,286.0
2026-01-06,1.4,162.0,162.0
2026-01-05,1.4,135.0,135.0
2026-01-04,1.4,365.0,365.0
2025-12-31,1.4,5288.0,5288.0
2025-12-30,1.4,3125.0,3125.0
2025-12-29,1.4,4823.0,4823.0
2025-12-26,1.4,930.0,930.0
2025-12-25,1.4,1771.0,1771.0
2025-12-24,1.4,260.0,260.0
2025-12-23,1.4,593.0,593.0
2025-12-22,1.4,673.0,673.0
2025-12-19,1.4,562.0,562.0
2025-12-18,1.4,883.0,883.0
2025-12-17,1.4,468.0,468.0
2025-12-16,1.4,1353.0,1353.0
2025-12-15,1.4,1309.0,1309.0
2025-12-12,1.4,1205.0,1205.0
2025-12-11,1.4,1186.0,1186.0
2025-12-10,1.4,1898.0,1898.0
2025-12-09,1.4,1173.0,1173.0
2025-12-08,1.4,1223.0,1223.0
2025-12-05,1.4,1398.0,1398.0
2025-12-04,1.4,1808.0,1808.0
2025-12-03,1.4,793.0,793.0
2025-12-02,1.4,1563.0,1563.0
2025-12-01,1.4,1076.0,1076.0
2025-11-28,1.4,3013.0,3013.0
2025-11-27,1.4,3564.0,3564.0
2025-11-26,1.4,2133.0,2133.0
2025-11-25,1.4,3021.0,3021.0
2025-11-24,1.4,3387.0,3387.0
2025-11-21,1.4,3750.0,3750.0
2025-11-20,1.4,3000.0,3000.0
2025-11-19,1.4,3105.0,3105.0
2025-11-18,1.4,4075.0,4075.0
2025-11-17,1.4,2830.0,2830.0
2025-11-14,1.4,2128.0,2128.0
2025-11-13,1.4,1900.0,1900.0
2025-11-12,1.4,1955.0,1955.0
2025-11-11,1.4,4038.0,4038.0
2025-11-10,1.4,1199.0,1199.0
2025-11-07,1.4,1417.0,1417.0
2025-11-06,1.4,928.0,928.0
2025-11-05,1.4,655.0,655.0
2025-11-04,1.4,1175.0,1175.0
2025-11-03,1.4,783.0,783.0
2025-10-31,1.4,3551.0,3551.0
2025-10-30,1.4,3426.0,3426.0
2025-10-29,1.4,5577.0,5577.0
2025-10-28,1.4,4753.0,4753.0
2025-10-27,1.4,3373.0,3373.0
2025-10-24,1.4,1680.0,1680.0
2025-10-23,1.4,2125.0,2125.0
2025-10-22,1.4,1382.0,1382.0
2025-10-21,1.4,1595.0,1595.0
2025-10-20,1.4,1890.0,1890.0
2025-10-17,1.4,1648.0,1648.0
2025-10-16,1.4,2360.0,2360.0
2025-10-15,1.4,435.0,435.0
2025-10-14,1.4,910.0,910.0
2025-10-13,1.4,1378.0,1378.0
2025-10-11,1.4,1160.0,1160.0
2025-10-10,1.4,4090.0,4090.0
2025-10-09,1.4,6120.0,6120.0
2025-09-30,1.4,2422.0,2422.0
2025-09-29,1.4,2886.0,2886.0
2025-09-28,1.4,1817.0,1817.0
2025-09-26,1.4,1658.0,1658.0
2025-09-25,1.4,4835.0,4835.0
2025-09-24,1.4,4015.0,4015.0
2025-09-23,1.4,2761.0,2761.0
2025-09-22,1.4,2405.0,2405.0
2025-09-19,1.4,3543.0,3543.0
2025-09-18,1.4,4870.0,4870.0
2025-09-17,1.4,4185.0,4185.0
2025-09-16,1.4,2870.0,2870.0
2025-09-15,1.4,2800.0,2800.0
2025-09-12,1.4,2300.0,2300.0
2025-09-11,1.4,2920.0,2920.0
2025-09-10,1.4,3040.0,3040.0
2025-09-09,1.4,2470.0,2470.0
2025-09-08,1.4,1915.0,1915.0
2025-09-05,1.4,1883.0,1883.0
2025-09-04,1.4,2126.0,2126.0
2025-09-03,1.4,2291.0,2291.0
2025-09-02,1.4,2557.0,2557.0
2025-09-01,1.4,1827.0,1827.0
2025-08-29,1.4,7829.0,7829.0
2025-08-28,1.4,4161.0,4161.0
2025-08-27,1.4,3799.0,3799.0
2025-08-26,1.4,4058.0,4058.0
2025-08-25,1.4,2884.0,2884.0
2025-08-22,1.4,3612.0,3612.0
2025-08-21,1.4,2530.0,2530.0
2025-08-20,1.4,6160.0,6160.0
2025-08-19,1.4,5803.0,5803.0
2025-08-18,1.4,2665.0,2665.0
2025-08-15,1.4,2380.0,2380.0
2025-08-14,1.4,1287.0,1287.0
2025-08-13,1.4,1185.0,1185.0
2025-08-12,1.4,1146.0,1146.0
2025-08-11,1.4,1120.0,1120.0
2025-08-08,1.4,1220.0,1220.0
2025-08-07,1.4,1607.0,1607.0
2025-08-06,1.4,1385.0,1385.0
2025-08-05,1.4,1607.0,1607.0
