公表日,時刻,結果,予想,前回
2008/02,,60.5,,
2008/03,,55.3,,
2008/04,,56.7,,
2008/05,,55.7,,
2008/06,,54.9,,
2008/07,,54.1,,
2008/08,,52.5,,
2008/09,,47.8,,
2008/10,,47,,
2008/11,,35.2,,
2008/12,,36.9,,
2009/01,,35,,
2009/02,,32.6,,
2009/03,,32.6,,
2009/04,,34.7,,
2009/05,,39.8,,
2009/06,,41.8,,
2009/07,,44.3,,
2009/08,,49.5,,
2009/09,,55,,
2009/10,,55.1,,
2009/11,,55.6,,
2009/12,,54.8,,
2010/01,,56.8,,
2010/02,,57.3,,
2010/03,,63.6,,
2010/04,,64.1,,
2010/05,,65.1,,
2010/06,,64,,
2010/07,,65.6,,
2010/08,,61.4,,
2010/09,,62.4,,
2010/10,,62.2,,
2010/11,,62.7,,
2010/12,,60.6,,
2011/01,,60.4,,
2011/02,,61.9,,
2011/03,,58.4,,
2011/04,,58,,
2011/05,,57.8,,
2011/06,,53.9,,
2011/07,,52.2,,
2011/08,,52.1,,
2011/09,,50.6,,
2011/10,,49,,
2011/11,,45.8,,
2011/12,,49.3,,
2012/01,,47.9,,
2012/02,,47.9,,
2012/03,,50.5,,
2012/04,,46.7,,
2012/05,,45.9,,
2012/06,,47.8,,
2012/07,,46.7,,
2012/08,,46.8,,
2012/09,,45.6,,
2012/10,,46.8,,
2012/11,,48.6,,
2012/12,,49.9,,
2013/01,,52.3,,
2013/02,,50,,
2013/03,,49.6,,
2013/04,,49,,
2013/05,,52.4,,
2013/06,,51.7,,
2013/07,,55.3,,
2013/08,,55.5,,
2013/09,,56.8,,
2013/10,,54.7,,
2013/11,,57,,
2013/12,,54.1,,
2014/01,,56.1,,
2014/02,,57,,
2014/03,,54.3,,
2014/04,,54.9,,
2014/05,,53.7,,
2014/06,,54.1,,
2014/07,,53.5,,
2014/08,,54.1,,
2014/09,,51.5,,
2014/10,,54.3,,
2014/11,,51.7,,
2014/12,,52.5,,
2015/01,,49.5,,
2015/02,,47.9,,
2015/03,,47.9,,
2015/04,,47.9,,
2015/05,,47.8,,
2015/06,,49.9,,
2015/07,,49.6,,
2015/08,,51.3,,
2015/09,,48,,
2015/10,,49.8,,
2015/11,,48.7,,
2015/12,,49.6,,
2016/01,,50.6,,
2016/02,,51,,
2016/03,,53.1,,
2016/04,,53.1,,
2016/05,,56.3,,
2016/06,,51.2,,
2016/07,,50.9,,
2016/08,,51.7,,
2016/09,,54.4,,
2016/10,,55.5,,
2016/11,,55.5,,
2016/12,,55.7,,
2017/01,,54.6,,
2017/02,,57.9,,
2017/03,,57.9,,
2017/04,,58.4,,
2017/05,,55.8,,
2017/06,,60.2,,
2017/07,,60.3,,
2017/08,,61.4,,
2017/09,,62.1,,
2017/10,,61.9,,
2017/11,,64.6,,
2017/12,,65.2,,
2018/01,,64.6,,
2018/02,,65.1,,
2018/03,,61.4,,
2018/04,,62.8,,
2018/05,,62.8,,
2018/06,,61.8,,
2018/07,,61.7,,
2018/08,,64.6,,
2018/09,,59.9,,
2018/10,,57.8,,
2018/11,,54.3,,
2018/12,,57.5,,
2019/01,,54.3,,
2019/02,,55.4,,
2019/03,,50.3,,
2019/04,,48.5,,
2019/05,,48.6,,
2019/06,,47.7,,
2019/07,,44.7,,
2019/08,,47.2,,
2019/09,,44.6,,
2019/10,,49.4,,
2019/11,,48.8,,
2019/12,,48.8,,
2020/01,,47.8,,
2020/02,,49.5,,
2020/03,,43.7,,
2020/04,,40.7,,
2020/05,,42.1,,
2020/06,,41.9,,
2020/07,,49.2,,
2020/08,,51.8,,
2020/09,,53.1,,
2020/10,,52.3,,
2020/11,,55.2,,
2020/12,,57.3,,
2021/01,,59.4,,
2021/02,,61.3,,
2021/03,,66.3,,
2021/04,,69.5,,
2021/05,,69.9,,
2021/06,,66.7,,
2021/07,,71.1,,
2021/08,,67.7,,
2021/09,,68.1,,
2021/10,,65.4,,
2021/11,,62.5,,
2021/12,,64.2,,
2022/01,,63.8,,
2022/02,,62.6,,
2022/03,,64,,
2022/04,,62.5,,
2022/05,,60,,
2022/06,,59.1,,
2022/07,,58,,
2022/08,,56.4,,
2022/09,,57.1,,
2022/10,,54.9,,
2022/11,,53.9,,
2022/12,,54.5,,
2023/01,,49.3,,
2023/02,,48.9,,
2023/03,,47,,
2023/04,,45.3,,
2023/05,,43.2,,
2023/06,,44.9,,
2023/07,,38.5,,
2023/08,,39.9,,
2023/09,,44.9,,
2023/10,,40.6,,
2023/11,,42.1,,
2023/12,,43,,
2024/01,,43.1,,
2024/02,,44,,
2024/03,,45.2,,
2024/04,,41.4,,
2024/05,,46.4,,
2024/06,,43.9,,
2024/07,,43.5,,
2024/08,,49,,
2024/09,,49.9,,
2024/10,,49.9,,
2024/11,,48.5,,
2024/12,,47,,
2025/01,,47.5,,
2025/02,,49.6,,
2025/03,,48.9,,
2025/04,,45.8,,
2025/05,,42.1,,
2025/06,,49.6,,
2025/07,,48.8,,
2025/08,,49,,
2025/09,,46.3,,
2025/10,,48.2,,
2025/11,,49.7,,
2025/12,,45.8,,
2026/01,,48.8,,
