date,commodity_code,commodity_name,warehouse_stock_tonnes
2008-10-06,CU,Copper,7526
2008-10-07,CU,Copper,7526
2008-10-08,CU,Copper,8126
2008-10-09,CU,Copper,8452
2008-10-10,CU,Copper,8825
2008-10-13,CU,Copper,8825
2008-10-14,CU,Copper,9525
2008-10-15,CU,Copper,11512
2008-10-16,CU,Copper,15902
2008-10-17,CU,Copper,16903
2008-10-20,CU,Copper,15952
2008-10-21,CU,Copper,14119
2008-10-22,CU,Copper,13546
2008-10-23,CU,Copper,13540
2008-10-24,CU,Copper,13416
2008-10-27,CU,Copper,12592
2008-10-28,CU,Copper,12567
2008-10-29,CU,Copper,12392
2008-10-30,CU,Copper,11917
2008-10-31,CU,Copper,11496
2008-11-03,CU,Copper,11219
2008-11-04,CU,Copper,11095
2008-11-05,CU,Copper,10821
2008-11-06,CU,Copper,10721
2008-11-07,CU,Copper,10372
2008-11-10,CU,Copper,10272
2008-11-11,CU,Copper,10272
2008-11-12,CU,Copper,10524
2008-11-13,CU,Copper,10374
2008-11-14,CU,Copper,10200
2008-11-17,CU,Copper,13365
2008-11-18,CU,Copper,14613
2008-11-19,CU,Copper,14413
2008-11-20,CU,Copper,13264
2008-11-21,CU,Copper,11220
2008-11-24,CU,Copper,8949
2008-11-25,CU,Copper,8978
2008-11-26,CU,Copper,8828
2008-11-27,CU,Copper,8628
2008-11-28,CU,Copper,8354
2008-12-01,CU,Copper,8178
2008-12-02,CU,Copper,8028
2008-12-03,CU,Copper,7877
2008-12-04,CU,Copper,7627
2008-12-05,CU,Copper,7551
2008-12-08,CU,Copper,7526
2008-12-09,CU,Copper,7426
2008-12-10,CU,Copper,7578
2008-12-11,CU,Copper,7730
2008-12-12,CU,Copper,7730
2008-12-15,CU,Copper,9255
2008-12-16,CU,Copper,13083
2008-12-17,CU,Copper,13257
2008-12-18,CU,Copper,10830
2008-12-19,CU,Copper,9602
2008-12-22,CU,Copper,9478
2008-12-23,CU,Copper,9354
2008-12-24,CU,Copper,9154
2008-12-25,CU,Copper,8980
2008-12-26,CU,Copper,8804
2008-12-29,CU,Copper,8527
2008-12-30,CU,Copper,8329
2008-12-31,CU,Copper,8279
2009-01-05,CU,Copper,8254
2009-01-06,CU,Copper,8128
2009-01-07,CU,Copper,8127
2009-01-08,CU,Copper,8027
2009-01-09,CU,Copper,7953
2009-01-12,CU,Copper,7703
2009-01-13,CU,Copper,7653
2009-01-14,CU,Copper,7403
2009-01-15,CU,Copper,7956
2009-01-16,CU,Copper,12306
2009-01-19,CU,Copper,12306
2009-01-20,CU,Copper,10206
2009-01-21,CU,Copper,9078
2009-01-22,CU,Copper,8526
2009-01-23,CU,Copper,8526
2009-02-02,CU,Copper,7654
2009-02-03,CU,Copper,7654
2009-02-04,CU,Copper,7478
2009-02-05,CU,Copper,8577
2009-02-06,CU,Copper,8577
2009-02-09,CU,Copper,8577
2009-02-10,CU,Copper,8377
2009-02-11,CU,Copper,9329
2009-02-12,CU,Copper,9430
2009-02-13,CU,Copper,9430
2009-02-16,CU,Copper,13072
2009-02-17,CU,Copper,17673
2009-02-18,CU,Copper,17877
2009-02-19,CU,Copper,14950
2009-02-20,CU,Copper,12698
2009-02-23,CU,Copper,11650
2009-02-24,CU,Copper,11174
2009-02-25,CU,Copper,10950
2009-02-26,CU,Copper,10925
2009-02-27,CU,Copper,10925
2009-03-02,CU,Copper,10901
2009-03-03,CU,Copper,11002
2009-03-04,CU,Copper,11002
2009-03-05,CU,Copper,11002
2009-03-06,CU,Copper,11002
2009-03-09,CU,Copper,11002
2009-03-10,CU,Copper,11002
2009-03-11,CU,Copper,10977
