date,syakaiyuusi,12MA
01/2008,1086,
02/2008,473,
03/2008,639,
04/2008,708,
05/2008,568,
06/2008,598,
07/2008,489,
08/2008,458,
09/2008,566,
10/2008,129,
11/2008,452,
12/2008,816,581.700
01/2009,1399,607.792
02/2009,1113,661.125
03/2009,2201,791.292
04/2009,545,777.758
05/2009,1496,855.100
06/2009,2107,980.858
07/2009,739,1001.675
08/2009,765,1027.300
09/2009,1187,1079.067
10/2009,599,1118.208
11/2009,950,1159.742
12/2009,810,1159.208
01/2010,2055,1213.875
02/2010,1088,1211.758
03/2010,1383,1143.583
04/2010,1492,1222.475
05/2010,1081,1187.858
06/2010,1020,1097.267
07/2010,720,1095.717
08/2010,1065,1120.683
09/2010,1122,1115.292
10/2010,861,1137.150
11/2010,1055,1145.925
12/2010,1078,1168.258
01/2011,1756,1143.342
02/2011,647,1106.600
03/2011,1821,1143.117
04/2011,1367,1132.733
05/2011,1085,1133.142
06/2011,1087,1138.783
07/2011,539,1123.708
08/2011,1074,1124.500
09/2011,428,1066.625
10/2011,791,1060.792
11/2011,958,1052.683
12/2011,1274,1069.050
01/2012,975,1004.000
02/2012,1043,1037.025
03/2012,1870,1041.124
04/2012,964,1007.493
05/2012,1143,1012.306
06/2012,1780,1070.047
07/2012,1052,1112.785
08/2012,1248,1127.237
09/2012,1646,1228.764
10/2012,1291,1270.412
11/2012,1122,1284.108
12/2012,1628,1313.590
01/2013,2545,1444.360
02/2013,1071,1446.644
03/2013,2550,1503.301
04/2013,1763,1569.900
05/2013,1187,1573.562
06/2013,1038,1511.671
07/2013,819,1492.250
08/2013,1584,1520.297
09/2013,1412,1500.778
10/2013,865,1465.273
11/2013,1231,1474.318
12/2013,1253,1443.069
01/2014,2600,1447.716
02/2014,937,1436.588
03/2014,2093,1398.520
04/2014,1526,1378.772
05/2014,1401,1396.624
06/2014,1967,1474.109
07/2014,274,1428.659
08/2014,958,1376.455
09/2014,1136,1353.413
10/2014,681,1338.096
11/2014,1146,1331.005
12/2014,1695,1367.780
01/2015,2052,1322.050
02/2015,1361,1357.381
03/2015,1243,1286.532
04/2015,1058,1247.554
05/2015,1240,1234.084
06/2015,1838,1223.337
07/2015,751,1263.118
08/2015,1110,1275.792
09/2015,1357,1294.261
10/2015,559,1284.148
11/2015,1026,1274.116
12/2015,1811,1283.862
01/2016,3476,1402.539
02/2016,831,1358.394
03/2016,2393,1454.210
04/2016,781,1431.104
05/2016,677,1384.210
06/2016,1648,1368.341
07/2016,479,1345.679
08/2016,1460,1374.905
09/2016,1712,1404.439
10/2016,886,1431.699
11/2016,1833,1498.973
12/2016,1626,1483.518
01/2017,3772,1508.204
02/2017,1106,1531.061
03/2017,2547,1543.907
04/2017,1956,1641.820
05/2017,1781,1733.841
06/2017,2589,1812.230
07/2017,2119,1948.871
08/2017,2049,1997.883
09/2017,2544,2067.246
10/2017,1586,2125.549
11/2017,2296,2164.115
12/2017,1810,2179.475
01/2018,3142,2126.950
02/2018,1206,2135.358
03/2018,1709,2065.517
04/2018,2224,2087.883
05/2018,1123,2033.067
06/2018,2037,1987.125
07/2018,1838,1963.742
08/2018,2408,1993.675
09/2018,2306,1973.858
10/2018,954,1921.167
11/2018,1613,1864.258
12/2018,1931,1874.325
01/2019,4679,2002.442
02/2019,967,1982.450
03/2019,2960,2086.708
04/2019,1671,2040.600
05/2019,1712,2089.683
06/2019,2624,2138.600
07/2019,1287,2092.683
08/2019,2196,2075.000
09/2019,2514,2092.342
10/2019,868,2085.192
11/2019,1994,2116.942
12/2019,2201,2139.458
01/2020,5054,2170.658
02/2020,874,2162.925
03/2020,5184,2348.225
04/2020,3103,2467.533
05/2020,3187,2590.383
06/2020,3468,2660.700
07/2020,1693,2694.500
08/2020,3585,2810.308
09/2020,3469,2889.900
10/2020,1393,2933.642
11/2020,2136,2945.458
12/2020,1648,2899.317
01/2021,5188,2910.558
02/2021,1724,2981.442
03/2021,3376,2830.808
04/2021,1857,2726.992
05/2021,1952,2624.125
06/2021,3702,2643.592
07/2021,1075,2592.125
08/2021,2989,2542.458
09/2021,2903,2495.233
10/2021,1618,2513.958
11/2021,2598,2552.525
12/2021,2358,2611.725
01/2022,6176,2694.017
02/2022,1217,2651.742
03/2022,4657,2758.433
04/2022,933,2681.417
05/2022,2842,2755.525
06/2022,5193,2879.767
07/2022,779,2855.042
08/2022,2471,2811.867
09/2022,3541,2865.075
10/2022,913,2806.392
11/2022,1984,2755.175
12/2022,1306,2667.533
01/2023,5996,2652.508
02/2023,3161,2814.508
03/2023,5387,2875.358
04/2023,1225,2899.708
05/2023,1556,2792.583
06/2023,4227,2712.075
07/2023,537,2691.917
08/2023,3128,2746.642
09/2023,4133,2795.933
10/2023,1844,2873.492
11/2023,2455,2912.800
12/2023,1933,2964.992
01/2024,6502,3007.167
02/2024,1560,2873.750
03/2024,4870,2830.692
04/2024,-72,2722.617
05/2024,2070,2765.450
06/2024,3300,2688.242
07/2024,770,2707.692
08/2024,3030,2699.533
09/2024,3760,2668.483
10/2024,1400,2631.475
11/2024,"2,340",2621.858
12/2024,2860,2699.142
01/2025,7060,2745.667
02/2025,2230,2801.500
03/2025,5890,2886.500
04/2025,1160,2989.167
05/2025,2290,3007.500
