公表日,時刻,結果,予想,前回
2013/7,,52,,
2013/8,,52.1,,
2013/9,,54.2,,
2013/10,,55.6,,
2013/11,,55.3,,
2013/12,,53.5,,
2014/1,,51.7,,
2014/2,,52.9,,
2014/3,,53.3,,
2014/4,,52.9,,
2014/5,,52.2,,
2014/6,,53.5,,
2014/7,,54.3,,
2014/8,,54.8,,
2014/9,,53.5,,
2014/10,,55.3,,
2014/11,,55.3,,
2014/12,,53.9,,
2015/1,,51,,
2015/2,,48.7,,
2015/3,,48.9,,
2015/4,,49,,
2015/5,,49.8,,
2015/6,,51.3,,
2015/7,,50.8,,
2015/8,,49.4,,
2015/9,,48.6,,
2015/10,,48,,
2015/11,,48.6,,
2015/12,,47.5,,
2016/1,,49.3,,
2016/2,,49.4,,
2016/3,,51.5,,
2016/4,,52.2,,
2016/5,,52.1,,
2016/6,,51.8,,
2016/7,,51.9,,
2016/8,,51.1,,
2016/9,,50.3,,
2016/10,,51.1,,
2016/11,,51.5,,
2016/12,,51.8,,
2017/1,,53.5,,
2017/2,,54.7,,
2017/3,,55.5,,
2017/4,,55.9,,
2017/5,,55.1,,
2017/6,,54.7,,
2017/7,,55.5,,
2017/8,,54.6,,
2017/9,,55,,
2017/10,,54.3,,
2017/11,,54.4,,
2017/12,,54.7,,
2018/1,,55.9,,
2018/2,,55.6,,
2018/3,,55.7,,
2018/4,,55.5,,
2018/5,,56.2,,
2018/6,,57.1,,
2018/7,,56.9,,
2018/8,,56.8,,
2018/9,,54.8,,
2018/10,,53.9,,
2018/11,,54.9,,
2018/12,,53.6,,
2019/1,,53,,
2019/2,,52.6,,
2019/3,,50.5,,
2019/4,,49.7,,
2019/5,,49.1,,
2019/6,,49.2,,
2019/7,,50.2,,
2019/8,,49.1,,
2019/9,,51,,
2019/10,,51.2,,
2019/11,,51.4,,
2019/12,,50.4,,
2020/1,,50.6,,
2020/2,,51.8,,
2020/3,,46.1,,
2020/4,,33,,
2020/5,,40.6,,
2020/6,,47.8,,
2020/7,,52.9,,
2020/8,,55.1,,
2020/9,,56,,
2020/10,,55.5,,
2020/11,,55.8,,
2020/12,,57.9,,
2021/1,,54.4,,
2021/2,,54.8,,
2021/3,,58.5,,
2021/4,,57.2,,
2021/5,,57,,
2021/6,,56.5,,
2021/7,,56.2,,
2021/8,,57.2,,
2021/9,,57,,
2021/10,,57.7,,
2021/11,,57.2,,
2021/12,,56.5,,
2022/1,,56.2,,
2022/2,,56.6,,
2022/3,,58.9,,
2022/4,,56.2,,
2022/5,,56.8,,
2022/6,,54.6,,
2022/7,,52.5,,
2022/8,,48.7,,
2022/9,,49.8,,
2022/10,,48.8,,
2022/11,,49.6,,
2022/12,,49.2,,
2023/1,,51,,
2023/2,,52.4,,
2023/3,,48.6,,
2023/4,,50.2,,
2023/5,,49,,
2023/6,,48.8,,
2023/7,,49.6,,
2023/8,,48,,
2023/9,,47.5,,
2023/10,,48.6,,
2023/11,,47.7,,
2023/12,,45.4,,
2024/1,,48.3,,
2024/2,,49.7,,
2024/3,,49.8,,
2024/4,,49.4,,
2024/5,,49.3,,
2024/6,,49.3,,
2024/7,,47.8,,
2024/8,,49.5,,
2024/9,,50.4,,
2024/10,,51.1,,
2024/11,,52,,
2024/12,,52.2,,
2025/1,,51.6,,
2025/2,,47.8,,
2025/3,,46.3,,
2025/4,,45.3,,
2025/5,,46.1,,
2025/6,,45.6,,
2025/7,,46.1,,
2025/8,,48.3,,
2025/9,,47.7,,
2025/10,,49.6,,
2025/11,,48.4,,
2025/12,,48.6,,
2026/1,,50.4,,
