公表日,上海輸出コンテナ運賃指数 SCFI,中国輸出コンテナ運賃指数 CCFI
2015年01月02日,-,"1,064.42"
2015年01月09日,-,"1,060.66"
2015年01月16日,-,"1,059.30"
2015年01月23日,-,"1,057.48"
2015年01月30日,-,"1,064.82"
2015年02月06日,"1,048.88","1,065.69"
2015年02月13日,"1,006.34","1,078.69"
2015年02月20日,"1,055.09","1,078.69"
2015年02月27日,"1,091.48","1,076.20"
2015年03月06日,"1,054.13","1,064.23"
2015年03月13日,"1,087.32","1,067.94"
2015年03月20日,"1,088.28","1,034.29"
2015年03月27日,"1,023.04","1,010.39"
2015年04月03日,960.29,994.83
2015年04月10日,887.61,969.06
2015年04月17日,821.39,951.55
2015年04月24日,804.59,926.83
2015年04月30日,763.95,898.97
2015年05月01日,792.92,898.97
2015年05月08日,721.61,888.23
2015年05月15日,702.46,875.21
2015年05月22日,761.02,891.69
2015年05月29日,830.13,890.42
2015年06月05日,757.66,862.1
2015年06月12日,676.05,851.4
2015年06月19日,661.55,825.97
2015年06月26日,623.47,811.09
2015年07月03日,581.25,790.65
2015年07月10日,556.72,804.8
2015年07月17日,640.64,842.87
2015年07月24日,745.45,838.71
2015年07月31日,666.02,818.85
2015年08月07日,593.2,798.89
2015年08月14日,548.77,819.62
2015年08月21日,822.39,844.42
2015年08月28日,749.62,833.25
2015年09月02日,745.6,820.91
2015年09月04日,674.54,820.91
2015年09月11日,690.38,819.87
2015年09月18日,718.97,827.16
2015年09月25日,673.25,814.09
2015年10月02日,622.6,814.09
2015年10月09日,571.95,782.73
2015年10月16日,533.91,764.84
2015年10月23日,568.71,752.21
2015年10月30日,537.73,744.44
2015年11月06日,759,742.02
2015年11月13日,641.51,762.64
2015年11月20日,544.33,775.69
2015年11月27日,484.14,750.54
2015年12月04日,535.22,718.58
2015年12月11日,494.1,712.58
2015年12月18日,527.17,716.42
2015年12月25日,487.26,726.91
2015年12月31日,488.68,723.26
2016年01月01日,-,723.26
2016年01月08日,-,734.95
2016年01月15日,-,770.86
2016年01月22日,-,785.11
2016年01月29日,836.96,778.79
2016年02月05日,745.91,772.27
2016年02月12日,680.22,772.27
2016年02月19日,615.77,762.51
2016年02月26日,591.51,751.54
2016年03月04日,566.92,735.66
2016年03月11日,486.7,705.6
2016年03月18日,467.54,670.11
2016年03月25日,433.46,659.19
2016年04月01日,404.18,646.06
2016年04月08日,400.43,640.27
2016年04月15日,418.47,636.14
2016年04月22日,511.99,652.69
2016年04月29日,489.68,632.36
2016年05月06日,472.07,643.6
2016年05月13日,457.7,652.8
2016年05月20日,603.64,660.64
2016年05月27日,579.6,665.44
2016年06月03日,563.22,658.43
2016年06月08日,526.39,656.69
2016年06月10日,577.81,656.69
2016年06月17日,588.59,658.64
2016年06月24日,557.6,651.59
2016年07月01日,521.6,645.6
2016年07月08日,550.64,645.8
2016年07月15日,752.65,684.43
2016年07月22日,677.7,697.25
2016年07月29日,670.29,704.65
2016年08月05日,628.59,702.25
2016年08月12日,745.2,702.87
2016年08月19日,680.53,711.28
2016年08月26日,634.54,705.21
2016年09月02日,597.47,694.59
2016年09月09日,596.38,702.65
2016年09月14日,763.06,711.55
2016年09月16日,781.21,711.55
2016年09月23日,794.1,736.07
2016年09月30日,733.56,741.81
2016年10月07日,707.68,741.81
2016年10月14日,776.93,728.22
2016年10月21日,795.16,729.64
2016年10月28日,884.95,738.03
2016年11月04日,860.48,752.92
2016年11月11日,825.1,763.78
2016年11月18日,814.01,774.58
2016年11月25日,782.1,777.13
2016年12月02日,794.98,774.05
2016年12月09日,797.62,766.15
2016年12月16日,824.39,770.56
2016年12月23日,824,781.43
2016年12月30日,951.66,811.14
2017年01月06日,968.4,806.26
2017年01月13日,990.24,840.35
2017年01月20日,971.64,864.9
2017年01月26日,954.27,876.1
2017年02月03日,948.08,877.89
2017年02月10日,886.26,873.75
2017年02月17日,830.46,845.43
2017年02月24日,815.1,815.46
2017年03月03日,778.86,794.99
2017年03月10日,761.15,791.09
2017年03月17日,747.03,785.66
2017年03月24日,758.81,778.15
2017年03月31日,830.02,778.83
2017年04月07日,809.27,788.43
2017年04月14日,810.17,803
2017年04月21日,807.55,806.53
2017年04月28日,909.25,818.99
2017年05月05日,894.43,818.61
2017年05月12日,865.03,837.74
2017年05月19日,830.8,848.27
2017年05月26日,853.43,846.27
2017年06月02日,894.86,840.09
2017年06月09日,869.5,841.59
2017年06月16日,838.36,845.54
2017年06月23日,827.27,851.26
2017年06月30日,918.83,851.6
2017年07月07日,889.38,851.59
2017年07月14日,861.91,859.88
2017年07月21日,837.42,877.33
2017年07月28日,925.45,874.38
2017年08月04日,897.28,865.5
2017年08月11日,878.27,856.5
2017年08月18日,859.92,853.79
2017年08月25日,821.35,846.73
2017年09月01日,801.95,839.84
2017年09月08日,774.27,833.61
2017年09月15日,774.6,823.76
2017年09月22日,735.91,812.38
2017年09月29日,715.97,803.25
2017年10月13日,724.93,772.65
2017年10月20日,747.38,772.27
2017年10月27日,806.81,775.54
2017年11月03日,818.73,779.47
2017年11月10日,782.25,784.29
2017年11月17日,734.15,794.47
2017年11月24日,705.19,785.2
2017年12月01日,732.04,772.77
2017年12月08日,703.67,763.14
2017年12月15日,727.14,764.43
2017年12月22日,723.2,763.75
2017年12月29日,824.18,770.64
2018年01月05日,-,773.28
2018年01月12日,-,791.38
2018年01月19日,816.58,813
2018年01月26日,839.72,819.59
2018年02月02日,840.36,829
2018年02月09日,858.6,836.6
2018年02月14日,883.59,844.58
2018年02月16日,871.76,844.58
2018年02月23日,867.16,848.32
2018年03月02日,854.19,845.48
2018年03月09日,772.45,830.88
2018年03月16日,729.49,809.75
2018年03月23日,675.46,788.74
2018年03月30日,646.59,769.67
2018年04月04日,658.68,757.66
2018年04月06日,654.17,757.66
2018年04月13日,659.74,748.16
2018年04月20日,674.58,750.37
2018年04月27日,760.67,744.06
2018年05月04日,776.88,743.71
2018年05月11日,778.83,763.12
2018年05月18日,753.83,785.63
2018年05月25日,764.34,789.76
2018年06月01日,829.09,788.78
2018年06月08日,806.04,796.65
2018年06月15日,777.7,814.83
2018年06月22日,751.13,812.18
2018年06月29日,821.18,815.89
2018年07月06日,817.4,808.55
2018年07月13日,825.57,822.94
2018年07月20日,793.76,831.42
2018年07月27日,863.59,820.79
2018年08月03日,890.52,821.13
2018年08月10日,893.88,823.77
