公表日,時間,結果,予想,前回
2010/1,18:00,0.20%,,0.80%
2010/2,18:00,0.80%,,0.20%
2010/3,18:00,0.50%,,0.80%
2010/4,18:00,-0.10%,,0.50%
2010/5,18:00,-0.20%,,-0.10%
2010/6,18:00,0.40%,,-0.20%
2010/7,18:00,-0.40%,,0.40%
2010/8,18:00,1.00%,,-0.40%
2010/9,18:00,0.30%,,1.00%
2010/10,18:00,0.50%,,0.30%
2010/11,18:00,1.00%,,0.50%
2010/12,18:00,0.10%,,1.00%
2011/1,18:00,0.80%,,0.10%
2011/2,18:00,0.40%,,0.80%
2011/3,18:00,0.60%,,0.40%
2011/4,18:00,0.60%,,0.60%
2011/5,18:00,0.00%,,0.60%
2011/6,18:00,0.70%,,0.00%
2011/7,18:00,0.00%,,0.70%
2011/8,18:00,0.50%,,0.00%
2011/9,18:00,0.20%,,0.50%
2011/10,18:00,0.60%,,0.20%
2011/11,18:00,0.20%,,0.60%
2011/12,18:00,-0.60%,,0.20%
2012/1,18:00,1.20%,,-0.60%
2012/2,18:00,0.70%,,1.20%
2012/3,18:00,0.30%,,0.70%
2012/4,18:00,-0.30%,,0.30%
2012/5,18:00,0.30%,,-0.30%
2012/6,18:00,-0.30%,,0.30%
2012/7,18:00,0.70%,,-0.30%
2012/8,18:00,0.00%,,0.70%
2012/9,18:00,0.40%,,0.00%
2012/10,18:00,-0.10%,,0.40%
2012/11,18:00,0.50%,,-0.10%
2012/12,18:00,0.60%,,0.50%
2013/1,18:00,0.70%,,0.60%
2013/2,18:00,0.20%,,0.70%
2013/3,18:00,-0.10%,,0.20%
2013/4,18:00,-0.30%,,-0.10%
2013/5,18:00,0.40%,,-0.30%
2013/6,18:00,0.10%,,0.40%
2013/7,18:00,0.50%,,0.10%
2013/8,18:00,-0.20%,,0.50%
2013/9,18:00,0.50%,,-0.20%
2013/10,18:00,0.30%,,0.50%
2013/11,18:00,-0.10%,,0.30%
2013/12,18:00,0.80%,,-0.10%
2014/1,18:00,-1.10%,,0.80%
2014/2,18:00,0.90%,,-1.10%
2014/3,18:00,1.10%,,0.90%
2014/4,18:00,0.40%,,1.10%
2014/5,18:00,0.00%,,0.40%
2014/6,18:00,0.70%,,0.00%
2014/7,18:00,0.20%,,0.70%
2014/8,18:00,0.50%,,0.20%
2014/9,21:30,-0.20%,0.40%,0.40%
2014/10,22:30,0.50%,0.40%,-0.20%
2014/11,22:30,0.60%,0.50%,0.50%
2014/12,22:30,-0.40%,0.40%,0.60%
2015/1,22:30,0.10%,0.40%,-0.30%
2015/2,21:30,0.00%,0.40%,-0.10%
2015/3,21:30,0.30%,0.50%,-0.20%
2015/4,21:30,0.00%,0.50%,0.50%
2015/5,21:30,0.70%,0.50%,0.10%
2015/6,21:30,-0.10%,0.40%,0.70%
2015/7,21:30,0.30%,0.50%,0.20%
2015/8,21:30,0.40%,0.40%,0.60%
2015/9,21:30,-0.10%,0.30%,0.20%
2015/10,22:30,0.20%,0.40%,0.10%
2015/11,22:30,0.60%,0.40%,0.20%
2015/12,22:30,-0.30%,0.30%,0.50%
2016/1,22:30,0.60%,0.30%,-0.30%
2016/2,21:30,0.00%,0.20%,0.20%
2016/3,21:30,0.10%,0.30%,0.10%
2016/4,21:30,0.90%,0.30%,0.20%
2016/5,21:30,0.40%,0.30%,1.00%
2016/6,21:30,0.50%,0.30%,0.50%
2016/7,21:30,0.00%,0.30%,0.50%
2016/8,21:30,-0.10%,0.30%,-0.10%
2016/9,21:30,0.10%,0.40%,-0.10%
2016/10,22:30,0.80%,0.30%,0.30%
2016/11,22:30,0.10%,0.30%,0.60%
2016/12,22:30,0.20%,0.40%,0.10%
2017/1,22:30,0.40%,0.30%,0.40%
2017/2,21:30,0.10%,0.20%,0.80%
2017/3,21:30,0.50%,0.30%,-0.20%
2017/4,21:30,0.20%,0.40%,0.70%
2017/5,21:30,0.00%,0.30%,0.60%
2017/6,21:30,-0.10%,0.30%,0.00%
2017/7,21:30,0.60%,0.40%,0.10%
2017/8,21:30,-0.20%,0.30%,0.60%
2017/9,21:30,0.40%,0.40%,-0.20%
2017/10,22:30,0.30%,0.40%,0.50%
2017/11,22:30,0.80%,0.30%,0.40%
2017/12,22:30,0.30%,0.40%,1.40%
2018/1,22:30,0.00%,0.40%,-0.20%
2018/2,21:30,0.10%,0.40%,-0.20%
2018/3,21:30,0.40%,0.40%,0.10%
2018/4,21:30,0.40%,0.40%,0.50%
2018/5,21:30,0.50%,0.40%,0.60%
2018/6,21:30,0.00%,0.40%,0.80%
2018/7,21:30,0.50%,0.40%,-0.10%
2018/8,21:30,0.10%,0.40%,0.80%
2018/9,21:30,0.50%,0.30%,0.10%
2018/10,22:30,0.30%,0.40%,0.30%
2018/11,22:30,0.90%,0.40%,0.70%
2018/12,22:30,-1.70%,0.40%,1.00%
2019/1,21:30,1.10%,0.60%,-2.30%
2019/2,21:30,-0.20%,0.40%,1.70%
2019/3,21:30,1.00%,0.40%,-0.30%
2019/4,21:30,0.00%,0.40%,1.10%
2019/5,21:30,0.50%,0.40%,0.40%
2019/6,21:30,0.70%,0.30%,0.60%
2019/7,21:30,1.00%,0.30%,0.70%
2019/8,21:30,0.30%,0.30%,0.90%
2019/9,21:30,0.00%,0.30%,0.30%
2019/10,22:30,0.30%,0.30%,
2019/11,22:30,0.10%,0.30%,0.30%
2019/12,22:30,0.50%,0.40%,-0.10%
2020/1,22:30,0.00%,0.30%,0.20%
2020/2,21:30,0.00%,0.40%,0.40%
2020/3,21:30,1.70%,-2.00%,-0.20%
2020/4,21:30,-15.30%,-4.60%,3.10%
2020/5,21:30,11.00%,4.70%,-12.40%
2020/6,21:30,5.60%,3.60%,10.10%
2020/7,21:30,1.40%,0.80%,6.00%
2020/8,21:30,-0.10%,0.50%,0.90%
2020/9,21:30,1.40%,0.20%,-0.30%
2020/10,22:30,0.10%,0.50%,0.90%
2020/11,22:30,-0.50%,0.20%,-0.10%
2020/12,22:30,-1.90%,0.10%,-1.10%
