公表日,時刻,結果,予想,前回
2016/02,,56.17,,
2016/03,,56.87,,
2016/04,,55.3,,
2016/05,,55.98,,
2016/06,,58.01,,
2016/07,,50.6,,
2016/08,,54.79,,
2016/09,,54.91,,
2016/10,,49.74,,
2016/11,,59.3,,
2016/12,,59.87,,
2017/01,,59.96,,
2017/02,,62.04,,
2017/03,,62.92,,
2017/04,,60.36,,
2017/05,,56.72,,
2017/06,,62.59,,
2017/07,,58.29,,
2017/08,,67.29,,
2017/09,,61.47,,
2017/10,,62.33,,
2017/11,,63.4,,
2017/12,,59.74,,
2018/01,,61.51,,
2018/02,,62.46,,
2018/03,,58.42,,
2018/04,,61.82,,
2018/05,,62.03,,
2018/06,,58.08,,
2018/07,,61.6,,
2018/08,,57.18,,
2018/09,,58.49,,
2018/10,,56.48,,
2018/11,,56.55,,
2018/12,,57.37,,
2019/01,,59.92,,
2019/02,,56.77,,
2019/03,,54.76,,
2019/04,,61.24,,
2019/05,,57.23,,
2019/06,,52.24,,
2019/07,,48.41,,
2019/08,,53.5,,
2019/09,,54.37,,
2019/10,,54.45,,
2019/11,,53.04,,
2019/12,,52.3,,
2020/01,,57.29,,
2020/02,,52.28,,
2020/03,,28.14,,
2020/04,,21.92,,
2020/05,,36.82,,
2020/06,,47.49,,
2020/07,,51.04,,
2020/08,,49.85,,
2020/09,,53.26,,
2020/10,,50.44,,
2020/11,,48.88,,
2020/12,,50.68,,
2021/01,,50.79,,
2021/02,,52.19,,
2021/03,,54.91,,
2021/04,,57.88,,
2021/05,,57.61,,
2021/06,,62.13,,
2021/07,,60.86,,
2021/08,,60.23,,
2021/09,,61.43,,
2021/10,,59.59,,
2021/11,,58.97,,
2021/12,,61.15,,
2022/01,,56.43,,
2022/02,,63.6,,
2022/03,,60.21,,
2022/04,,56.82,,
2022/05,,69.6,,
2022/06,,58.08,,
2022/07,,55.6,,
2022/08,,56.64,,
2022/09,,52.78,,
2022/10,,53.82,,
2022/11,,53.44,,
2022/12,,49.47,,
2023/01,,56.71,,
2023/02,,55.26,,
2023/03,,54.21,,
2023/04,,52.23,,
2023/05,,52.59,,
2023/06,,49.57,,
2023/07,,42.69,,
2023/08,,50.3,,
2023/09,,52.84,,
2023/10,,52.17,,
2023/11,,53.64,,
2023/12,,56.92,,
2024/01,,54.57,,
2024/02,,51.8,,
2024/03,,47,,
2024/04,,55.6,,
2024/05,,49.4,,
2024/06,,52.5,,
2024/07,,46.9,,
2024/08,,53.1,,
2024/09,,50.5,,
2024/10,,52,,
2024/11,,51.4,,
2024/12,,51.3,,
2025/01,,53.7,,
2025/02,,54.9,,
2025/03,,51.4,,
2025/04,,51.9,,
2025/05,,55.3,,
2025/06,,48.9,,
2025/07,,45,,
2025/08,,45.1,,
2025/09,,51.4,,
2025/10,,48.3,,
2025/11,,46.1,,
2025/12,,51.4,,
2026/01,,53.8,,
