公表日,時間,結果,予想,前回
2010/1,18:00,71.48,,45.09
2010/2,18:00,42.09,,71.48
2010/3,18:00,67.61,,42.09
2010/4,18:00,38.33,,67.61
2010/5,18:00,38.81,,38.33
2010/6,18:00,39.36,,38.81
2010/7,18:00,41.68,,39.36
2010/8,18:00,34.77,,41.68
2010/9,18:00,37.15,,34.77
2010/10,18:00,37.99,,37.15
2010/11,18:00,48.71,,37.99
2010/12,18:00,32,,48.71
2011/1,18:00,38.52,,32
2011/2,18:00,50.7,,38.52
2011/3,18:00,41.53,,50.7
2011/4,18:00,36.49,,41.53
2011/5,18:00,37.14,,36.49
2011/6,18:00,41.43,,37.14
2011/7,18:00,66.41,,41.43
2011/8,18:00,51.11,,66.41
2011/9,18:00,115.73,,51.11
2011/10,18:00,42.76,,115.73
2011/11,18:00,42.47,,42.76
2011/12,18:00,41.79,,42.47
2012/1,18:00,53.49,,41.79
2012/2,18:00,51.73,,53.49
2012/3,18:00,37.88,,51.73
2012/4,18:00,40.56,,37.88
2012/5,18:00,61.89,,40.56
2012/6,18:00,37.55,,61.89
2012/7,18:00,36.86,,37.55
2012/8,18:00,32.24,,36.86
2012/9,18:00,33.82,,32.24
2012/10,18:00,47.72,,33.82
2012/11,18:00,57.08,,47.72
2012/12,18:00,32.56,,57.08
2013/1,18:00,40.43,,32.56
2013/2,18:00,55.36,,40.43
2013/3,18:00,49.26,,55.36
2013/4,18:00,38.12,,49.26
2013/5,20:30,36.4,,38.1
2013/6,20:30,39.4,,36.4
2013/7,20:30,37.7,,39.4
2013/8,20:30,50.5,,37.7
2013/9,20:30,40.3,,50.5
2013/10,21:30,45.7,,40.3
2013/11,21:30,45.3,,45.7
2013/12,21:30,30.6,,45.3
2014/1,21:30,45.1,,30.6
2014/2,21:30,41.8,,45.1
2014/3,20:30,34.4,,41.8
2014/4,20:30,40.3,,34.4
2014/5,20:30,53,,40.3
2014/6,20:30,31.4,,53
2014/7,20:30,46.9,,31.4
2014/8,20:30,40,,46.9
2014/9,20:30,30.5,,40
2014/10,21:30,51.2,,30.5
2014/11,21:30,35.9,,51.2
2014/12,21:30,32.6,,35.9
2015/1,21:30,53,,32.6
2015/2,21:30,50.6,,53
2015/3,20:30,36.6,,50.6
2015/4,20:30,61.6,,36.6
2015/5,20:30,41,,61.6
2015/6,20:30,44.8,,41
2015/7,20:30,105.7,,44.8
2015/8,20:30,41.2,,105.7
2015/9,20:30,58.9,,41.2
2015/10,21:30,50.5,,58.9
2015/11,21:30,31,,50.5
2015/12,21:30,23.6,,31
2016/1,21:30,75.1,,23.6
2016/2,21:30,61.6,,75.1
2016/3,20:30,48.2,,61.6
2016/4,20:30,65.1,,48.2
2016/5,20:30,30.2,,65.1
2016/6,20:30,38.5,,30.2
2016/7,20:30,45.3,,38.5
2016/8,20:30,32.2,,45.3
2016/9,20:30,44.3,,32.2
2016/10,20:30,30.7,,44.3
2016/11,21:30,26.9,,30.7
2016/12,21:30,33.6,,26.9
2017/1,21:30,45.9,,33.6
2017/2,21:30,37,,45.9
2017/3,20:30,43.3,,37
2017/4,20:30,36.6,,43.3
2017/5,20:30,51.7,,36.6
2017/6,20:30,31.1,,33.1
2017/7,20:30,28.3,,31.1
2017/8,20:30,33.8,,28.3
2017/9,20:30,32.3,,33.8
2017/10,20:30,29.8,,32.3
2017/11,21:30,35,,29.8
2017/12,21:30,32.4,,35
2018/1,21:30,44.7,,32.4
2018/2,21:30,35.4,,44.7
