公表日時,発表時間,結果,予想,前回
2010/1,16:00,3.3,,3.7
2010/2,16:00,3.2,,3.3
2010/3,16:00,3.2,,3.2
2010/4,16:00,3.2,,3.2
2010/5,15:00,3.8,,3.2
2010/6,15:00,3.5,,3.8
2010/7,15:00,3.5,,3.5
2010/8,15:00,3.9,,3.5
2010/9,15:00,4.3,,3.9
2010/10,15:00,4.9,,4.3
2010/11,15:00,5.1,,4.9
2010/12,16:00,5.5,,5.1
2011/1,16:00,5.5,,5.5
2011/2,16:00,5.7,,5.5
2011/3,16:00,6,,5.7
2011/4,15:00,5.9,,6
2011/5,15:00,5.7,,5.9
2011/6,15:00,5.5,,5.7
2011/7,15:00,5.7,,5.5
2011/8,15:00,5.4,,5.7
2011/9,15:00,5.2,,5.4
2011/10,15:00,5.2,,5.2
2011/11,15:00,5.3,,5.2
2011/12,16:00,5.6,,5.3
2012/1,16:00,5.7,,5.6
2012/2,16:00,5.9,,5.7
2012/3,16:00,6,,5.9
2012/4,15:00,5.9,,6
2012/5,15:00,5.6,,5.9
2012/6,15:00,5.7,,5.6
2012/7,15:00,5.8,,5.7
2012/8,15:00,5.9,,5.8
2012/9,15:00,5.9,,5.9
2012/10,15:00,5.9,,5.9
2012/11,15:00,6.3,,5.9
2012/12,16:00,5.9,,6.3
2013/1,16:00,5.6,,5.9
2013/2,16:00,5.8,,5.6
2013/3,16:00,5.9,,5.8
2013/4,16:00,5.9,,5.9
2013/5,15:00,6.2,,5.9
2013/6,15:00,6.5,,6.2
2013/7,15:00,6.8,,6.5
2013/8,15:00,7,,6.8
2013/9,15:00,6.9,,7
2013/10,15:00,7.1,,6.9
2013/11,16:00,7,,7.1
2013/12,18:30,7.4,,7
2014/1,16:00,7.6,,7.4
2014/2,16:00,8.2,,7.6
2014/3,16:00,8.5,,8.2
2014/4,16:00,8.5,,8.5
2014/5,15:00,8.5,,8.5
2014/6,15:00,8.5,,8.5
2014/7,15:00,8.9,,8.5
2014/8,15:00,9,,8.9
2014/9,15:00,8.6,,9
2014/10,15:00,8.3,,8.6
2014/11,16:00,8.5,,8.3
2014/12,16:00,8.7,,8.5
2015/1,16:00,9,,8.7
2015/2,,9.3,,9
2015/3,,9.7,,9.3
2015/4,,10,,9.7
2015/5,,10.1,,10
2015/6,,10.2,,10.1
2015/7,,10.1,,10.2
2015/8,,10.1,,10.1
2015/9,,9.9,,10.1
2015/10,,9.6,,9.9
2015/11,,9.4,,9.6
2015/12,,9.3,,9.4
2016/1,,9.4,,9.3
2016/2,,9.4,,9.4
2016/3,,9.5,,9.4
2016/4,,9.4,,9.5
2016/5,,9.7,,9.4
2016/6,,9.8,,9.7
2016/7,,10.1,,9.8
2016/8,,10,,10.1
2016/9,,10.2,,10
2016/10,,10,,10.2
2016/11,,9.7,,10
2016/12,,9.8,,9.7
2017/1,,9.9,,9.8
2017/2,,10.2,,9.9
2017/3,,10,,10.2
2017/4,,9.8,,10
2017/5,,10.2,,9.8
2017/6,,10.4,,10.2
2017/7,,10.6,,10.4
2017/8,,10.8,,10.6
2017/9,,10.9,,10.8
2017/10,,10.8,,10.9
2017/11,,10.7,,10.8
2017/12,,10.7,,10.7
2018/1,,10.8,,10.7
2018/2,,11,,10.8
2018/3,,10.8,,11
2018/4,,10.9,,10.8
2018/5,,10.8,,10.9
2018/6,,10.7,,10.8
2018/7,,10.7,,10.7
2018/8,,10.6,,10.7
2018/9,,10.5,,10.6
2018/10,,10.6,,10.5
2018/11,,10.6,,10.6
2018/12,,10.4,10.7,10.6
2019/1,,10.5,10.4,10.4
2019/2,,10.8,10.4,10.5
2019/3,,10.7,11,10.8
2019/4,,10.4,11,10.7
2019/5,,10.2,10.3,10.4
2019/6,,10.1,10.3,10.2
2019/7,,9.8,10.1,10.1
2019/8,,9.7,10,9.8
2019/9,,9.7,9.8,9.7
2019/10,,9.8,9.8,9.7
2019/11,,9.6,9.9,9.8
2019/12,,9.7,9.8,9.6
2020/1,,9.7,9.7,9.7
2020/2,,9.9,9.7,9.7
2020/3,,8.3,9.8,9.9
2020/4,,2.3,9.9,8.3
2020/5,,-23.1,6.2,2.3
2020/6,,-18.6,-11,-23.1
2020/7,,-9.4,-21.7,-18.6
2020/8,,-0.2,-14.3,-9.4
2020/9,,-1.7,-4.9,-0.2
2020/10,,-1.7,-1,-1.7
2020/11,,-3.2,-1.7,-1.7
2020/12,,-6.8,-2.3,-3.2
2021/1,,-7.5,-4.9,-6.8
2021/2,,-15.5,-7,-7.5
2021/3,,-12.7,-11.7,-15.5
2021/4,,-6.1,-14.4,-12.7
2021/5,,-8.6,-9.6,-6.1
2021/6,,-6.9,-7.5,-8.6
2021/7,,-0.3,-7.9,-6.9
2021/8,,-0.4,-3.6,-0.3
2021/9,,-1.1,-0.3,-0.4
2021/10,,0.4,-0.7,-1.1
2021/11,,1,-0.4,0.4
2021/12,,-1.8,0.6,1
2022/1,,-6.9,-0.3,-1.8
2022/2,,-6.7,-4.2,-6.9
2022/3,,-8.5,-6.8,-6.7
2022/4,,-15.7,-7.4,-8.5
2022/5,,-26.6,-12,-15.7
2022/6,,-26.2,-22.1,-26.6
2022/7,,-27.7,-27.3,-26.2
2022/8,,-30.9,-27.9,-27.7
2022/9,,-36.8,-27.9,-30.9
2022/10,,-42.8,-35.9,-36.8
2022/11,,-41.9,-42.9,-42.8
2022/12,,-40.1,-45.3,-41.9
2023/1,,-37.6,-43.6,-40.1
2023/2,,-33.8,-41,-37.6
2023/3,,-30.6,-37.2,-33.8
2023/4,,-29.3,-33.1,-30.6
2023/5,,-25.8,-30.8,-29.3
2023/6,,-24.4,-28.1,-25.8
2023/7,,-25.2,-25.4,-24.4
2023/8,,-24.6,-25.2,-25.2
2023/9,,-25.6,-25.3,-24.6
2023/10,,-26.7,-25.4,-25.6
2023/11,,-28.3,-26.5,-26.7
2023/12,,-27.6,-6.3,-28.3
2024/1,,-25.1,6.9,-27.6
2024/2,,-25.1,,-25.1
2024/3,,-28.8,-65.1,-25.1
2024/4,,-27.3,,-28.8
2024/5,,-24,,-27.3
2024/6,,-21,-24.2,-24
2024/7,,-21.6,-21.7,-21
2024/8,,-18.6,-19.9,-21.6
2024/9,,-21.9,-18,-18.6
2024/10,,-21,-18.3,-21.9
2024/11,,-18.4,-19.4,-21
2024/12,,-23.1,-19.7,-18.4
2025/1,,-21.4,-21.6,-23.1
2025/2,,-22.6,-22.5,-21.4
2025/3,,-24.6,-23.3,-22.6
2025/4,,-24.3,-22.6,-24.6
2025/5,,-20.8,-23.1,-24.3
2025/6,,-20,-21.8,-20.8
2025/7,,-20.3,-21,-20
2025/8,,-21.7,-19.1,-20.3
2025/9,,-23.6,,-21.7
2025/10,,-22.5,-21.6,-23.6
2025/11,,-24.1,,-22.5
2025/12,,-23.4,-22.5,-24.1
2026/1,,-26.9,-23,-23.4
