公表日,時刻,結果,予想,前回
2014年10月07日 (Q3),6:00,90.60%,,90.60%
2015年1月20日 (Q4),6:00,91.90%,,90.60%
2015年4月14日 (Q1),7:00,92.30%,,91.90%
2015年7月07日 (Q2),7:00,93.40%,,92.30%
2015年10月06日 (Q3),6:00,91.40%,,93.40%
2016年1月19日 (Q4),6:00,93.20%,,91.40%
2016年4月05日 (Q1),7:00,93.20%,,93.20%
2016年7月05日 (Q2),7:00,92.90%,,93.20%
2016年10月04日 (Q3),6:00,92.50%,,92.90%
2017年1月17日 (Q4),6:00,92.70%,,92.50%
2017年4月04日 (Q1),7:00,93.60%,,92.70%
2017年7月04日 (Q2),7:00,92.10%,,93.60%
2017年10月03日 (Q3),6:00,91.30%,,92.10%
2018年1月16日 (Q4),6:00,92.80%,,91.30%
2018年4月10日 (Q1),7:00,93.50%,,92.80%
2018年4月11日 (Q1),6:00,93.50%,,92.80%
2018年7月03日 (Q2),7:00,92.80%,,93.50%
2018年10月02日 (Q3),6:00,93.20%,,92.80%
2019年1月15日 (Q4),6:00,92.80%,,93.20%
2019年4月02日 (Q1),6:00,92.80%,,92.80%
2019年7月02日 (Q2),7:00,93.70%,,92.80%
2019年10月01日 (Q3),6:00,92.40%,,93.70%
2020年1月14日 (Q4),6:00,92.00%,,92.40%
2020年4月07日 (Q1),7:00,92.10%,,92.00%
2020年7月07日 (Q2),7:00,92.80%,,92.10%
2020年10月20日 (Q3),6:00,92.60%,,92.80%
2021年1月19日 (Q4),6:00,95.10%,,92.60%
2021年4月13日 (Q1),7:00,93.30%,,95.10%
2021年7月06日 (Q2),7:00,94.90%,,93.30%
2021年10月05日 (Q3),6:00,96.10%,,94.90%
2022年1月18日 (Q4),6:00,92.70%,,96.10%
2022年4月12日 (Q1),7:00,97.10%,,92.70%
2022年7月05日 (Q2),7:00,93.40%,,97.10%
2022年10月04日 (Q3),6:00,94.50%,,93.40%
2023年1月17日 (Q4),6:00,93.70%,,94.50%
2023年4月04日 (Q1),7:00,94.00%,93.50%,93.70%
2023年7月04日 (Q2),7:00,81.70%,,94.00%
2023年10月03日 (Q3),6:00,87.30%,,81.70%
2024年1月16日 (Q4),6:00,91.40%,,87.30%
2024年4月09日 (Q1),7:00,90.20%,,91.40%
2024年7月02日 (Q2),7:00,88.70%,,90.20%
2024年10月01日 (Q3),6:00,89.10%,,88.70%
2025年1月14日 (Q4),6:00,91.30%,,89.10%
2025年4月08日 (Q4),6:00,90.50%,,91.30%
2025年7月01日 (Q2),7:00,89.40%,,90.50%
2025年10月07日 (Q3),6:00,89.10%,,89.40%
2026年1月13日 (Q4),6:00,89.80%,,89.10%
