公表日時,発表時間,結果,予想,前回
2010/1,,3.6,,
2010/2,,4.5,,
2010/3,,5.2,,
2010/4,,6.6,,
2010/5,,6.9,,
2010/6,,6.3,,
2010/7,,4.9,,
2010/8,,4.6,,
2010/9,,2.6,,
2010/10,,1.2,,
2010/11,,-1.6,,
2010/12,,-0.7,,
2011/1,,-2.4,,
2011/2,,-2.8,,
2011/3,,-2.9,,
2011/4,,-3.7,,
2011/5,,-4.2,,
2011/6,,-3.5,,
2011/7,,-2.6,,
2011/8,,-2.6,,
2011/9,,-2.3,,
2011/10,,-1.8,,
2011/11,,-1,,
2011/12,,-1.3,,
2012/1,,-1.8,,
2012/2,,-1.9,,
2012/3,,-0.6,,
2012/4,,-0.5,,
2012/5,,-0.1,,
2012/6,,-0.5,,
2012/7,,-0.6,,
2012/8,,-0.9,,
2012/9,,-1.2,,
2012/10,,-1.7,,
2012/11,,-1.3,,
2012/12,,-0.3,,
2013/1,,1.3,,
2013/2,,1.9,,
2013/3,,1.1,,
2013/4,,2,,
2013/5,,2.6,,
2013/6,,3.7,,
2013/7,,4.6,,
2013/8,,5.4,,
2013/9,,6.2,,
2013/10,,6.9,,
2013/11,,7.7,,
2013/12,,7.5,,
2014/1,,7.3,,
2014/2,,7.9,,
2014/3,,8.7,,
2014/4,,8.5,,
2014/5,,8.7,,
2014/6,,8.8,,
2014/7,,10.2,,
2014/8,,9.7,,
2014/9,,9.6,,
2014/10,,8.8,,
2014/11,,8.2,,
2014/12,,7.8,,
2015/1,,8.5,,
2015/2,,8.3,,
2015/3,,8.1,,
2015/4,,8.5,,
2015/5,,8.6,,
2015/6,,9.6,,
2015/7,,7.8,,
2015/8,,9,,
2015/9,,8.6,,
2015/10,,9.7,,
2015/11,,9,,
2015/12,,9.5,,
2016/1,,9.7,,
2016/2,,9.7,,
2016/3,,10.1,,
2016/4,,9.2,,
2016/5,,9.2,,
2016/6,,8.4,,
2016/7,,8.4,,
2016/8,,6.9,,
2016/9,,5.8,,
2016/10,,5.2,,
2016/11,,6,,
2016/12,,6.5,,
2017/1,,2.4,,
2017/2,,5.1,,
2017/3,,3.8,,
2017/4,,3.8,,
2017/5,,3.3,,
2017/6,,2.6,,
2017/7,,2.1,,
2017/8,,2.6,,
2017/9,,4,,
2017/10,,4.5,,
2017/11,,3.9,,
2017/12,,2.7,,
2018/1,,2.2,,
2018/2,,1.8,,
2018/3,,2.7,,
2018/4,,2.2,,
2018/5,,1.9,,
2018/6,,1.8,,
2018/7,,3.3,,
2018/8,,3.7,,
2018/9,,2.5,,
2018/10,,1.5,,
2018/11,,0.3,,
2018/12,,1.3,,
2019/1,,0.8,,
2019/2,,2.8,,
2019/3,,2.6,,
2019/4,,5,,
2019/5,,5.2,,
2019/6,,5.7,,
2019/7,,1.5,,
2019/8,,1.8,,
2019/9,,1.1,,
2019/10,,0.9,,
2019/11,,2.1,,
2019/12,,4,,
2020/1,,4.1,,
2020/2,,2.8,,
2020/3,,3,,
2020/4,,2.7,,
2020/5,,2.6,,
2020/6,,2.5,,
2020/7,,3.8,,
2020/8,,5.2,,
2020/9,,7.3,,
2020/10,,7.5,,
2020/11,,7.6,,
2020/12,,6,,
2021/1,,5.4,,
2021/2,,5.2,,
2021/3,,6.5,,
2021/4,,8.2,,
2021/5,,9.6,,
2021/6,,8.7,,
2021/7,,7.6,,
2021/8,,7.1,,
2021/9,,7.4,,
2021/10,,8.2,,
2021/11,,8.2,,
2021/12,,9.7,,
2022/1,,9.7,,
2022/2,,11.2,,
2022/3,,11.1,,
2022/4,,10.8,,
2022/5,,10.7,,
2022/6,,12.5,,
2022/7,,11.8,,
2022/8,,11.4,,
2022/9,,9.8,,
2022/10,,8.2,,
2022/11,,4.6,,
2022/12,,2.1,,
2023/1,,2.1,,
2023/2,,2.1,,
2023/3,,1.6,,
2023/4,,0.1,,
2023/5,,-1.1,,
2023/6,,-2.6,,
2023/7,,-2.5,,
2023/8,,-4.5,,
2023/9,,-4.5,,
2023/10,,-3.1,,
2023/11,,-0.8,,
2023/12,,1.8,,
2024/1,,2.3,,
2024/2,,1.6,,
2024/3,,0.4,,
2024/4,,1.1,,
2024/5,,0.4,,
2024/6,,1.9,,
2024/7,,2.4,,
2024/8,,4.3,,
2024/9,,4.6,,
2024/10,,4,,
2024/11,,4.7,,
2024/12,,3.4,,
2025/1,,2.9,,
2025/2,,2.8,,
2025/3,,2.9,,
2025/4,,3.2,,
2025/5,,2.6,,
2025/6,,2.7,,
2025/7,,2.5,,
2025/8,,2,,
2025/9,,1.3,,
2025/10,,1.9,,
2025/11,,0.6,,
2025/12,,0.3,,
