公表日時,発表時間,結果,予想,前回
2023/8,8:01,-1.90%,,-0.20%
2023/9,8:01,-0.40%,,-0.10%
2023/10,8:01,-0.80%,,-0.40%
2023/11,20:30,-1.30%,,-0.80%
2023/12,19:20,-1.10%,,-1.30%
2024/1,19:55,-0.70%,,-1.10%
2024/2,9:01,0.10%,,-0.70%
2024/3,18:35,0.80%,,0.10%
2024/4,19:10,1.70%,,0.80%
2024/5,19:00,0.60%,,1.70%
2024/6,15:58,0.60%,,0.60%
2024/7,8:01,0.40%,,0.60%
2024/8,8:01,0.80%,,0.40%
2024/9,20:37,1.20%,,0.80%
2024/10,8:01,1.00%,,1.20%
2024/11,19:35,1.20%,,1.00%
2024/12,18:59,1.40%,,1.20%
2025/1,9:01,1.80%,,1.40%
2025/2,9:01,1.40%,,1.80%
2025/3,9:01,1.00%,,1.40%
2025/4,8:01,1.30%,,1.00%
2025/5,8:01,0.60%,,1.30%
2025/6,8:01,0.80%,,1.20%
2025/7,8:01,0.10%,,0.80%
2025/8,8:01,0.30%,,0.10%
2025/9,8:01,-0.10%,,0.30%
2025/10,8:01,0.10%,,-0.10%
2025/11,9:01,-0.50%,,-0.10%
2025/12,9:01,-0.60%,,-0.50%
2026/1,9:01,0.50%,,-0.60%
