公表日時,発表時間,結果,予想,前回
2010/1,,0.4,,
2010/2,,3.2,,
2010/3,,0.1,,
2010/4,,2.6,,
2010/5,,0.7,,
2010/6,,0.3,,
2010/7,,-0.6,,
2010/8,,-1.7,,
2010/9,,-1.1,,
2010/10,,3.1,,
2010/11,,-3.2,,
2010/12,,-3,,
2011/1,,0.3,,
2011/2,,3.1,,
2011/3,,0.8,,
2011/4,,1.7,,
2011/5,,1.3,,
2011/6,,0.6,,
2011/7,,-1.6,,
2011/8,,-2.1,,
2011/9,,0.7,,
2011/10,,2.8,,
2011/11,,-3.1,,
2011/12,,-2.7,,
2012/1,,-0.8,,
2012/2,,4.1,,
2012/3,,1.6,,
2012/4,,2.9,,
2012/5,,0,,
2012/6,,1,,
2012/7,,1.7,,
2012/8,,2.4,,
2012/9,,-0.6,,
2012/10,,3.5,,
2012/11,,-2.6,,
2012/12,,-3.3,,
2013/1,,0.2,,
2013/2,,2.8,,
2013/3,,1.7,,
2013/4,,2.1,,
2013/5,,2.1,,
2013/6,,1.2,,
2013/7,,0.3,,
2013/8,,-1.8,,
2013/9,,-1.5,,
2013/10,,2.8,,
2013/11,,-2.4,,
2013/12,,-1.9,,
2014/1,,1,,
2014/2,,3.3,,
2014/3,,1.6,,
2014/4,,2.6,,
2014/5,,3.6,,
2014/6,,0.1,,
2014/7,,-0.8,,
2014/8,,-2.9,,
2014/9,,0.9,,
2014/10,,2.6,,
2014/11,,-1.7,,
2014/12,,-2.2,,
2015/1,,1.4,,
2015/2,,2.1,,
2015/3,,1,,
2015/4,,1.6,,
2015/5,,-0.1,,
2015/6,,3,,
2015/7,,0.1,,
2015/8,,-0.8,,
2015/9,,0.9,,
2015/10,,0.6,,
2015/11,,-1.3,,
2015/12,,-1.1,,
2016/1,,0.5,,
2016/2,,2.9,,
2016/3,,1.3,,
2016/4,,1.3,,
2016/5,,0.4,,
2016/6,,0.8,,
2016/7,,-0.9,,
2016/8,,-1.2,,
2016/9,,0.7,,
2016/10,,0.9,,
2016/11,,-1.1,,
2016/12,,-2.1,,
2017/1,,0.4,,
2017/2,,2,,
2017/3,,1.3,,
2017/4,,1.1,,
2017/5,,1.2,,
2017/6,,-0.4,,
2017/7,,0.1,,
2017/8,,-0.9,,
2017/9,,-1.2,,
2017/10,,1.1,,
2017/11,,-0.8,,
2017/12,,-2.4,,
2018/1,,0.7,,
2018/2,,0.8,,
2018/3,,1.5,,
2018/4,,0.4,,
2018/5,,0.8,,
2018/6,,0.4,,
2018/7,,-0.1,,
2018/8,,-2.3,,
2018/9,,0.7,,
2018/10,,1,,
2018/11,,-1.7,,
2018/12,,-1.5,,
2019/1,,0.4,,
2019/2,,0.7,,
2019/3,,0.4,,
2019/4,,1.1,,
2019/5,,0.9,,
2019/6,,0.3,,
2019/7,,-0.2,,
2019/8,,-1,,
2019/9,,-0.2,,
2019/10,,0.6,,
2019/11,,-1.3,,
2019/12,,-0.9,,
2020/1,,2.3,,
2020/2,,0.8,,
2020/3,,1,,
2020/4,,-0.2,,
2020/5,,1.9,,
2020/6,,-0.2,,
2020/7,,,,
2020/8,,-0.2,,
2020/9,,0.2,,
2020/10,,1.1,,
2020/11,,-0.5,,
2020/12,,-0.6,,
2021/1,,-0.9,,
2021/2,,0.5,,
2021/3,,0.8,,
2021/4,,2.1,,
2021/5,,1.80%,,
2021/6,,0.80%,,
2021/7,,0.70%,,
2021/8,,0.30%,,
2021/9,,,,
2021/10,,1.80%,,
2021/11,,-0.60%,,
2021/12,,-0.70%,,
2022/1,,0.30%,,
2022/2,,2.30%,,
2022/3,,1.70%,,
2022/4,,1.60%,,
2022/5,,2.10%,,
2022/6,8:01,0.30%,,
2022/7,8:50,0.40%,,
2022/8,8:01,-1.30%,,
2022/9,8:01,0.70%,,
2022/10,9:01,0.90%,,
2022/11,9:01,-1.10%,,
2022/12,9:01,0.90%,,
2023/1,9:01,,,
2023/2,9:01,0.00%,,
2023/3,8:01,0.80%,,
2023/4,8:01,0.20%,,
2023/5,8:01,1.80%,,
2023/6,8:01,0.00%,,
2023/7,8:01,-0.20%,,
2023/8,8:01,-1.90%,,
2023/9,8:01,0.40%,,
2023/10,9:01,0.50%,,
2023/11,9:01,-1.70%,,
2023/12,9:01,-1.90%,,
2024/1,9:01,1.30%,,
2024/2,8:00,0.90%,,
2024/3,8:01,1.50%,,
2024/4,8:01,1.10%,,
2024/5,8:01,0.80%,,
2024/6,8:01,0.00%,,
2024/7,8:01,-0.40%,,
2024/8,8:01,-1.50%,,
2024/9,9:01,0.80%,,
2024/10,9:01,0.30%,,
2024/11,9:01,-1.40%,,
2024/12,9:01,-1.70%,,
2025/1,9:01,1.70%,,
2025/2,8:01,0.50%,,
2025/3,8:01,1.10%,,
2025/4,8:01,1.40%,,
2025/5,8:01,0.60%,,
2025/6,8:01,-0.30%,,
2025/7,8:01,-1.20%,,
2025/8,8:01,-1.30%,,
2025/9,9:01,0.40%,,
2025/10,9:01,0.30%,,
2025/11,9:01,-1.80%,,
2025/12,9:01,-1.80%,,
,9:01,2.80%,,
,8:01,,,
,8:01,,,
,8:01,,,
,8:01,,,
,8:01,,,
,8:01,,,
,8:01,,,
,9:01,,,
,9:01,,,
,9:01,,,
