公表日,時間,結果,予想,前回
2015年01月06日,22:55,4.30%,,5.40%
2015年01月13日,22:55,3.80%,,4.30%
2015年01月21日,22:55,3.00%,,3.80%
2015年01月27日,22:55,3.20%,,3.00%
2015年02月03日,22:55,3.80%,,3.20%
2015年02月10日,22:55,2.10%,,3.80%
2015年02月18日,22:55,3.20%,,2.10%
2015年02月24日,22:55,2.80%,,3.20%
2015年03月03日,22:55,2.60%,,2.80%
2015年03月10日,21:55,2.60%,,2.60%
2015年03月17日,21:55,2.70%,,2.60%
2015年03月24日,21:55,2.80%,,2.70%
2015年03月31日,21:55,3.00%,,2.80%
2015年04月07日,21:55,3.40%,,3.00%
2015年04月14日,21:55,1.10%,,3.40%
2015年04月21日,21:55,0.80%,,1.10%
2015年04月28日,21:55,1.40%,,0.80%
2015年05月05日,21:55,1.60%,,1.40%
2015年05月12日,21:55,2.10%,,1.60%
2015年05月19日,21:55,1.80%,,2.10%
2015年05月27日,21:55,1.60%,,1.80%
2015年06月02日,21:55,1.70%,,1.60%
2015年06月09日,21:55,1.20%,,1.70%
2015年06月16日,21:55,1.10%,,1.20%
2015年06月23日,21:55,1.60%,,1.10%
2015年06月30日,21:55,1.70%,,1.60%
2015年07月07日,21:55,2.00%,,1.70%
2015年07月14日,21:55,1.40%,,2.00%
2015年07月21日,21:55,1.20%,,1.40%
2015年07月28日,21:55,1.00%,,1.20%
2015年08月04日,21:55,1.70%,,1.00%
2015年08月11日,21:55,1.90%,,1.70%
2015年08月18日,21:55,1.60%,,1.90%
2015年08月25日,21:55,1.70%,,1.60%
2015年09月01日,21:55,1.30%,,1.70%
2015年09月09日,21:55,1.30%,,1.30%
2015年09月15日,21:55,1.70%,,1.30%
2015年09月22日,21:55,0.90%,,1.70%
2015年09月29日,21:55,0.90%,,0.90%
2015年10月06日,21:55,0.70%,,0.90%
2015年10月13日,21:55,1.10%,,0.70%
2015年10月20日,21:55,1.30%,,1.10%
2015年10月27日,21:55,1.50%,,1.30%
2015年11月03日,22:55,1.90%,,1.50%
2015年11月10日,22:55,1.10%,,1.90%
2015年11月17日,22:55,1.20%,,1.10%
2015年11月24日,22:55,1.50%,,1.20%
2015年12月01日,22:55,3.90%,,1.50%
2015年12月08日,22:55,1.90%,,3.90%
2015年12月15日,22:55,1.50%,,1.90%
2015年12月22日,22:55,2.10%,,1.50%
2015年12月29日,22:55,2.50%,,2.10%
2016年01月05日,22:55,2.90%,,2.50%
2016年01月12日,22:55,1.70%,,2.90%
2016年01月20日,22:55,1.40%,,1.70%
2016年01月26日,22:55,1.00%,,1.40%
2016年02月02日,22:55,0.80%,,1.00%
2016年02月09日,22:55,0.60%,,0.80%
2016年02月17日,22:55,0.90%,,0.60%
2016年02月23日,22:55,1.20%,,0.90%
2016年03月01日,22:55,0.60%,,1.20%
2016年03月08日,22:55,0.70%,,0.60%
2016年03月15日,21:55,0.60%,,0.70%
2016年03月22日,21:55,0.80%,,0.60%
2016年03月29日,21:55,1.50%,,0.80%
2016年04月05日,21:55,0.60%,,1.50%
2016年04月12日,21:55,1.10%,,0.60%
2016年04月19日,21:55,0.50%,,1.10%
2016年04月26日,21:55,0.80%,,0.50%
2016年05月17日,21:55,0.50%,,0.80%
2016年05月24日,21:55,0.40%,,0.50%
2016年06月01日,21:55,0.90%,,0.40%
2016年06月07日,21:55,0.60%,,0.90%
2016年06月14日,21:55,0.70%,,0.60%
2016年06月21日,21:55,0.90%,,0.70%
2016年06月28日,21:55,0.50%,,0.90%
2016年07月06日,21:55,0.60%,,0.50%
2016年07月12日,21:55,0.80%,,0.60%
2016年07月19日,21:55,0.40%,,0.80%
2016年07月26日,21:55,0.60%,,0.40%
2016年08月02日,21:55,0.30%,,0.60%
2016年08月09日,21:55,0.50%,,0.30%
2016年08月16日,21:55,0.20%,,0.50%
2016年08月23日,21:55,0.20%,,0.20%
2016年08月30日,21:55,0.60%,,0.20%
2016年09月07日,21:55,0.80%,,0.60%
2016年09月13日,21:55,0.40%,,0.80%
2016年09月20日,21:55,0.20%,,0.40%
2016年09月27日,21:55,0.20%,,0.20%
2016年10月04日,21:55,1.30%,,0.20%
2016年10月11日,21:55,0.50%,,1.30%
2016年10月18日,21:55,1.00%,,0.50%
2016年10月25日,21:55,0.30%,,1.00%
2016年11月01日,21:55,0.60%,,0.30%
2016年11月08日,22:55,0.70%,,0.60%
2016年11月15日,22:55,0.90%,,0.70%
2016年11月22日,22:55,1.00%,,0.90%
2016年11月29日,22:55,2.20%,,1.00%
2016年12月06日,22:55,0.70%,,2.20%
2016年12月13日,22:55,1.00%,,0.70%
2016年12月20日,22:55,1.50%,,1.00%
2016年12月28日,22:55,2.10%,,1.50%
2017年01月04日,22:55,2.20%,,2.10%
2017年01月10日,22:55,0.90%,,2.20%
2017年01月18日,22:55,0.30%,,0.90%
2017年01月24日,22:55,0.30%,,0.30%
2017年01月31日,22:55,0.20%,,0.30%
