公表日,時刻,結果,予想,前回
2019/09/20,10:30,4.20%,,4.25%
2019/10/21,10:30,4.20%,,4.20%
2019/11/20,10:30,4.15%,4.20%,4.20%
2019/12/20,10:30,4.15%,,4.15%
2020/01/20,10:30,4.15%,,4.15%
2020/02/20,10:30,4.05%,,4.15%
2020/03/20,10:30,4.05%,,4.05%
2020/04/20,10:30,3.85%,3.85%,4.05%
2020/05/20,10:30,3.85%,,3.85%
2020/06/22,10:30,3.85%,,3.85%
2020/07/20,10:30,3.85%,3.85%,3.85%
2020/08/20,10:30,3.85%,,3.85%
2020/09/21,10:30,3.85%,3.85%,3.85%
2020/10/20,10:30,3.85%,3.85%,3.85%
2020/11/20,10:30,3.85%,,3.85%
2020/12/21,10:30,3.85%,3.85%,3.85%
2021/01/20,10:30,3.85%,,3.85%
2021/02/20,10:30,3.85%,,3.85%
2021/03/22,10:30,3.85%,,3.85%
2021/04/20,10:30,3.85%,3.85%,3.85%
2021/05/20,10:30,3.85%,,3.85%
2021/06/21,10:30,3.85%,,3.85%
2021/07/20,10:30,3.85%,,3.85%
2021/08/20,10:30,3.85%,,3.85%
2021/09/22,10:30,3.85%,,3.85%
2021/10/20,10:30,3.85%,,3.85%
2021/11/22,10:30,3.85%,,3.85%
2021/12/20,10:30,3.80%,,3.85%
2022/01/20,10:30,3.70%,,3.80%
2022/02/21,10:15,3.70%,3.70%,3.70%
2022/03/21,10:15,3.70%,,3.70%
2022/04/20,10:15,3.70%,,3.70%
2022/05/20,10:15,3.70%,,3.70%
2022/06/20,10:15,3.70%,3.70%,3.70%
2022/07/20,10:15,3.70%,,3.70%
2022/08/22,10:15,3.65%,,3.70%
2022/09/20,10:15,3.65%,3.65%,3.65%
2022/10/20,10:15,3.65%,,3.65%
2022/11/21,10:15,3.65%,3.65%,3.65%
2022/12/20,10:15,3.65%,3.65%,3.65%
2023/01/20,10:15,3.65%,3.65%,3.65%
2023/02/20,10:15,3.65%,3.65%,3.65%
2023/03/20,10:15,3.65%,3.65%,3.65%
2023/04/20,10:15,3.65%,3.65%,3.65%
2023/05/22,10:15,3.65%,3.65%,3.65%
2023/06/20,10:15,3.55%,3.55%,3.65%
2023/07/20,10:15,3.55%,3.55%,3.55%
2023/08/21,10:15,3.45%,3.40%,3.55%
2023/09/20,10:15,3.45%,3.45%,3.45%
2023/10/20,10:15,3.45%,3.45%,3.45%
2023/11/20,10:15,3.45%,3.45%,3.45%
2023/12/20,10:15,3.45%,3.45%,3.45%
2024/01/22,10:15,3.45%,3.45%,3.45%
2024/02/20,10:45,3.45%,3.45%,3.45%
2024/03/20,10:15,3.45%,3.45%,3.45%
2024/04/22,10:15,3.45%,3.45%,3.45%
2024/05/20,10:15,3.45%,3.45%,3.45%
2024/06/20,10:15,3.45%,3.45%,3.45%
2024/07/22,10:15,3.35%,3.45%,3.45%
2024/08/20,10:15,3.35%,3.35%,3.35%
2024/09/20,10:15,3.35%,3.35%,3.35%
2024/10/21,10:00,3.10%,3.15%,3.35%
2024/11/20,10:00,3.10%,3.10%,3.10%
2024/12/20,10:00,3.10%,3.10%,3.10%
2025年1月20日 (1月),10:00,3.10%,3.10%,3.10%
2025/02/20,10:00,3.10%,3.10%,3.10%
2025/03/20,10:00,3.10%,3.10%,3.10%
2025/04/21,10:15,3.10%,3.10%,3.10%
2025/05/20,10:15,3.00%,3.00%,3.10%
2025/06/20,10:00,3.00%,3.00%,3.00%
2025/07/21,10:00,3.00%,3.00%,3.00%
2025/08/20,10:00,3.00%,3.00%,3.00%
2025/09/22,10:15,3.00%,3.00%,3.00%
2025/10/20,10:00,3.00%,3.00%,3.00%
2025/11/20,10:00,3.00%,3.00%,3.00%
2025/12/22,10:00,3.00%,3.00%,3.00%
2026/01/20,10:00,3.00%,3.00%,3.00%
2026/02/24,10:00,3.00%,3.00%,3.00%
