公表日,時刻,結果,予想,前回
2023年8月21日 (8月),10:15,4.20%,4.05%,4.20%
2023年9月20日 (9月),10:15,4.20%,4.20%,4.20%
2023年10月20日 (10月),10:15,4.20%,4.20%,4.20%
2023年11月20日 (11月),10:15,4.20%,4.20%,4.20%
2023年12月20日 (12月),10:15,4.20%,4.20%,4.20%
2024年1月22日 (1月),10:15,4.20%,4.20%,4.20%
2024年2月20日 (2月),10:15,3.95%,4.10%,4.20%
2024年3月20日 (3月),10:15,3.95%,3.95%,3.95%
2024年4月22日 (4月),10:15,3.95%,3.95%,3.95%
2024年5月20日 (5月),10:15,3.95%,3.95%,3.95%
2024年6月20日 (6月),10:15,3.95%,3.95%,3.95%
2024年7月22日 (7月),10:15,3.85%,3.95%,3.95%
2024年8月20日 (8月),10:00,3.85%,3.85%,3.85%
2024年9月20日 (9月),10:00,3.85%,3.85%,3.85%
2024年10月21日 (10月),10:00,3.60%,3.65%,3.85%
2024年11月20日 (11月),10:00,3.60%,3.60%,3.60%
2024年12月20日 (12月),10:00,3.60%,3.60%,3.60%
2025年1月20日 (1月),10:00,3.60%,3.60%,3.60%
2025年2月20日 (2月),10:00,3.60%,3.60%,3.60%
2025年3月20日 (3月),10:00,3.60%,3.60%,3.60%
2025年4月21日 (4月),10:15,3.60%,3.60%,3.60%
2025年5月20日 (5月),10:00,3.50%,3.50%,3.60%
2025年6月20日 (6月),10:00,3.50%,3.50%,3.50%
2025年7月21日 (7月),10:00,3.50%,3.50%,3.50%
2025年8月20日 (8月),10:00,3.50%,3.50%,3.50%
2025年9月22日 (9月),10:00,3.50%,3.50%,3.50%
2025年10月20日 (10月),10:00,3.50%,3.50%,3.50%
2025年11月20日 (11月),10:00,3.50%,3.50%,3.50%
2025年12月22日 (12月),10:00,3.50%,3.50%,3.50%
2026年1月20日 (1月),10:00,3.50%,3.50%,3.50%
2026年2月24日 (2月),10:00,3.50%,3.50%,3.50%
