公表日,時刻,結果,予想,前回
2022年02月02日,0:00,4.10%,,4.60%
2022年2月16日,0:00,4.20%,,4.10%
2022年03月02日,0:00,5.10%,,4.20%
2022年3月16日,0:00,-0.90%,,5.10%
2022年04月06日,0:00,-1.00%,,-0.90%
2022年4月20日,0:00,-3.60%,,-1.00%
2022年05月04日,0:00,-8.50%,,-3.60%
2022年5月18日,0:00,-2.90%,,-8.50%
2022年06月08日,0:00,1.50%,,-2.90%
2022年6月22日,0:00,-1.30%,,1.50%
2022年07月06日,0:00,-4.10%,,-1.30%
2022年7月20日,0:00,-5.00%,,-4.10%
2022年08月02日,23:30,-5.00%,,-5.00%
2022年8月17日,0:00,-2.90%,,-5.00%
2022年09月07日,0:00,4.90%,,-2.90%
2022年9月21日,0:00,2.00%,,4.90%
2022年10月05日,0:00,-3.50%,,2.00%
2022年10月19日,0:00,-4.60%,,-3.50%
2022年11月02日,0:00,-3.90%,,-4.60%
2022年11月16日,0:00,2.40%,,-3.90%
2022年12月06日,23:30,0.60%,,2.40%
2022年12月21日,0:00,-3.80%,,0.60%
2023年01月04日,0:00,-2.80%,,-3.80%
2023年1月18日,0:00,-0.10%,,-2.80%
2023年02月08日,0:00,3.20%,,-0.10%
2023年2月21日,21:00,-1.50%,,3.20%
2023年03月07日,21:00,-0.70%,,-1.50%
2023年3月21日,21:00,-2.60%,,-0.70%
2023年04月04日,21:00,-4.70%,,-2.60%
2023年4月18日,21:00,3.20%,,-4.70%
2023年05月02日,21:00,2.50%,,3.20%
2023年5月16日,21:00,-0.90%,,2.50%
2023年5月17日,0:00,-0.90%,0.00%,2.50%
2023年06月06日,21:00,-0.90%,0.00%,-0.90%
2023年6月21日,0:15,0.00%,-2.40%,-0.90%
2023年07月04日,23:30,-3.30%,-1.00%,0.00%
2023年7月19日,0:00,-1.00%,1.90%,-3.30%
2023年08月01日,23:40,-4.30%,,-1.00%
2023年8月16日,0:00,-7.40%,-0.70%,-4.30%
2023年09月06日,0:00,2.70%,,-7.40%
2023年9月20日,0:00,4.60%,,2.70%
2023年10月04日,0:00,4.40%,,4.60%
2023年10月18日,0:00,4.30%,,4.40%
2023年11月07日,21:00,-0.70%,,4.30%
2023年11月21日,23:30,0.00%,,-0.70%
2023年12月05日,21:00,1.60%,,0.00%
2023年12月20日,0:00,2.30%,,1.60%
2024年01月02日,23:50,1.20%,,2.30%
2024年1月17日,0:00,2.30%,,1.20%
2024年02月07日,0:00,4.20%,,2.30%
2024年2月20日,23:40,0.50%,,4.20%
2024年03月05日,23:25,-2.30%,,0.50%
2024年3月19日,23:10,-2.80%,,-2.30%
2024年04月03日,0:00,2.80%,,-2.80%
2024年4月17日,0:00,0.10%,,2.80%
2024年05月08日,0:00,1.80%,,0.10%
2024年5月22日,0:00,3.30%,,1.80%
2024年06月05日,0:00,1.70%,,3.30%
2024年6月19日,0:10,-0.50%,,1.70%
2024年07月03日,0:00,-6.90%,,-0.50%
2024年7月17日,0:00,0.40%,,-6.90%
2024年08月07日,0:00,0.50%,,0.40%
2024年8月21日,0:00,5.50%,,0.50%
2024年09月03日,23:00,-0.40%,,5.50%
2024年9月18日,0:00,0.80%,,-0.40%
2024年10月02日,0:45,1.20%,,0.80%
2024年10月15日,23:00,-0.30%,,1.20%
2024年11月06日,0:30,4.80%,,-0.30%
2024年11月19日,21:00,1.90%,,4.80%
2024年12月03日,21:00,1.20%,,1.90%
2024年12月17日,23:45,-2.80%,,1.20%
2025年01月08日,0:00,-1.40%,,-2.80%
2025年1月21日,23:00,1.40%,,-1.40%
2025年02月04日,23:00,3.70%,,1.40%
2025年2月18日,23:30,-0.60%,,3.70%
2025年03月04日,23:30,-0.50%,,-0.60%
2025年3月19日,0:15,0.00%,,-0.50%
2025年04月01日,23:00,1.10%,,0.00%
2025年4月15日,20:00,1.60%,,1.10%
2025年05月07日,0:30,4.60%,,1.60%
2025年5月20日,23:15,-0.90%,,4.60%
2025年06月03日,23:40,-1.60%,,-0.90%
2025年6月18日,21:00,-1.00%,,-1.60%
2025年07月02日,0:30,-4.10%,,-1.00%
2025年7月16日,0:00,1.10%,,-4.10%
2025年08月06日,0:00,0.70%,,1.10%
2025年8月20日,1:00,-0.30%,,0.70%
2025年09月03日,0:00,-4.30%,,-0.30%
2025年9月17日,0:00,-0.80%,,-4.30%
2025年10月08日,0:00,-1.60%,,-0.80%
2025年10月22日,0:00,-1.40%,,-1.60%
2025年11月05日,0:00,-2.40%,,-1.40%
2025年11月18日,23:20,-3.00%,,-2.40%
2025年12月03日,0:00,-4.30%,,-4.30%
2025年12月16日,21:00,-4.40%,,-4.30%
2026年01月06日,23:00,6.30%,,-4.40%
2026年1月20日,23:45,1.50%,,6.30%
2026年02月04日,8:00,6.70%,,1.50%
2026年2月18日,1:20,3.60%,,6.70%
2026年03月03日,21:00,,,3.60%
