公表日,時間,結果,予想,前回
2016/1,,2.30%,,
2016/2,,0.80%,,
2016/3,,1.40%,,
2016/4,,2.80%,,
2016/5,,-0.40%,,
2016/6,,-0.10%,,
2016/7,,0.80%,,
2016/8,,0.60%,,
2016/9,,1.90%,,
2016/10,,1.70%,,
2016/11,,0.10%,,
2016/12,,-0.50%,,
2017/1,,1.30%,,
2017/2,,2.20%,,
2017/3,,-1%,,
2017/4,,-2.90%,,
2017/5,,-0.90%,,
2017/6,,-1.10%,,
2017/7,,-0.50%,,
2017/8,,-2.40%,,
2017/9,,-4.50%,,
2017/10,,-0.50%,,
2017/11,,0.60%,,
2017/12,,0.50%,,
2018/1,,-4.10%,,
2018/2,,-4.10%,,
2018/3,,-1.50%,,
2018/4,,-2.20%,,
2018/5,,-1.80%,,
2018/6,,-1.90%,,
2018/7,,-3.50%,,
2018/8,,-3.50%,,
2018/9,,-1.60%,,
2018/10,,-7.20%,,
2018/11,,-9%,,
2018/12,,-8.90%,,
2019/1,,-4.10%,,
2019/2,,-4%,,
2019/3,,0.40%,,
2019/4,,-0.20%,,
2019/5,,0.10%,,
2019/6,,2.70%,,
2019/7,,0.30%,,
2019/8,,0.50%,,
2019/9,,1.80%,,
2019/10,,3.10%,,
2019/11,,6.20%,,
2019/12,,3%,,
2020/1,,6%,,
2020/2,,9.90%,,
2020/3,,-15.80%,,
2020/4,,-32.90%,,
2020/5,,-5.90%,,
2020/6,,6.40%,,
2020/7,,15.90%,,
2020/8,,23.10%,,
2020/9,,19.80%,,
2020/10,,20.50%,,
2020/11,,16.20%,,
2020/12,,19.90%,,
2021/1,,12.30%,,
2021/2,,-1.40%,,
2021/3,,23.90%,,
2021/4,,52.40%,,
2021/5,,13.60%,,
2021/6,,-1.90%,,
2021/7,,-8.40%,,
2021/8,,-9.10%,,
2021/9,,-7.80%,,
2021/10,,-1.90%,,
2021/11,,-2.80%,,
2021/12,,-6.50%,,
2022/1,,-9.90%,,
2022/2,,-5.50%,,
2022/3,,-8.60%,,
2022/4,,-9.50%,,
2022/5,,-14.20%,,
2022/6,,-20%,,
2022/7,,-19.70%,,
2022/8,,-24.10%,,
2022/9,,-29.80%,,
2022/10,,-36.80%,,
2022/11,,-36.80%,,
2022/12,,-33.90%,,
2023/1,,-24.10%,,
2023/2,,-21.14%,,
2023/3,,-23.58%,,
2023/4,,-21.03%,,
2023/5,,-22.18%,,
2023/6,,-15.69%,,
2023/7,,-14.49%,,
2023/8,,-18.20%,,
2023/9,,-10.64%,,
2023/10,,-7.67%,,
2023/11,,-4.65%,,
2023/12,,1.56%,,
2024/1,,-8.71%,,
2024/2,,-7.01%,,
2024/3,,0.10%,,
2024/4,,-7.40%,,
2024/5,,-6.60%,,
2024/6,,-2.60%,,
2024/7,,-8.50%,,
2024/8,,-3%,,
2024/9,,2.60%,,
2024/10,,5.40%,,
2024/11,,6.90%,,
2024/12,,-5%,,
2025/1,,-5.20%,,
2025/2,,-3.60%,,
2025/3,,-0.60%,,
2025/4,,-2.50%,,
2025/5,,1.10%,,
2025/6,,-2.80%,,
2025/7,,0.7,,
2025/8,,3.80%,,
2025/9,,-0.90%,,
2025/10,,-0.40%,,
2025/11,,2.60%,,
2025/12,,,,
