公表日,時間,結果,予想,前回
2010/1,0:00,-7.80%,1.70%,0.80%
2010/2,23:00,8.30%,0.00%,-7.80%
2010/3,23:00,7.10%,5.00%,8.30%
2010/4,23:00,6.00%,3.50%,7.10%
2010/5,23:00,-29.90%,-12.50%,6.00%
2010/6,23:00,-2.80%,-5.00%,-29.90%
2010/7,23:00,4.50%,0.00%,-2.80%
2010/8,23:00,4.40%,2.80%,4.50%
2010/9,1:30,-1.80%,0.50%,4.40%
2010/10,0:00,10.10%,-0.90%,-1.80%
2010/11,0:00,3.10%,2.10%,10.10%
2010/12,0:00,-3.20%,0.80%,3.10%
2011/1,0:00,-2.80%,-2.50%,-3.20%
2011/2,23:00,0.70%,0.30%,-2.80%
2011/3,23:00,3.50%,1.50%,0.70%
2011/4,23:00,-11.30%,-1.00%,3.50%
2011/5,23:00,8.20%,2.40%,-11.30%
2011/6,23:00,2.40%,-2.00%,8.20%
2011/7,23:00,-1.30%,-1.00%,2.40%
2011/8,23:00,-1.20%,-2.10%,-1.30%
2011/9,23:00,-4.60%,0.20%,-1.20%
2011/10,0:00,10.40%,1.20%,-4.60%
2011/11,0:00,7.30%,1.50%,10.40%
2011/12,0:00,-1.90%,-1.00%,7.30%
2012/1,0:00,2.00%,1.00%,-1.90%
2012/2,23:00,0.40%,1.00%,2.00%
2012/3,23:00,3.80%,1.00%,0.40%
2012/4,23:00,-5.50%,0.10%,3.80%
2012/5,23:00,5.40%,1.00%,-5.50%
2012/6,23:00,-1.40%,0.20%,5.40%
2012/7,23:00,2.60%,1.00%,-1.40%
2012/8,23:00,-2.60%,-0.70%,2.60%
2012/9,23:00,0.40%,2.10%,-2.60%
2012/10,0:00,5.00%,0.80%,0.40%
2012/11,0:00,1.60%,1.00%,5.00%
2012/12,0:00,-1.90%,0.30%,1.60%
2013/1,0:00,3.80%,1.50%,-1.90%
2013/2,23:00,-1.00%,-0.20%,3.80%
2013/3,23:00,1.50%,1.00%,-1.00%
2013/4,23:00,-0.50%,1.10%,1.50%
2013/5,23:00,5.80%,1.00%,-0.50%
2013/6,23:00,-0.40%,-1.00%,5.80%
2013/7,23:00,-1.40%,-0.50%,-0.40%
2013/8,23:00,-1.60%,-1.00%,-1.40%
2013/9,23:00,-4.60%,0.10%,-1.60%
2013/10,0:00,-1.20%,1.30%,-4.60%
2013/11,0:00,-0.30%,1.00%,-1.20%
2013/12,0:00,-5.80%,0.30%,-0.30%
2014/1,0:00,-0.20%,2.00%,-5.80%
2014/2,23:00,-0.50%,0.30%,-0.20%
2014/3,23:00,3.40%,1.00%,-0.50%
2014/4,23:00,0.50%,1.00%,3.40%
2014/5,23:00,6.00%,1.50%,0.50%
2014/6,23:00,-1.30%,0.50%,6.00%
2014/7,23:00,3.20%,0.50%,-1.30%
2014/8,23:00,-1.00%,-0.10%,3.20%
2014/9,23:00,0.60%,0.50%,-1.00%
2014/10,0:00,-1.10%,0.90%,0.60%
2014/11,0:00,0.60%,0.60%,-1.10%
2014/12,0:00,-1.50%,0.50%,0.60%
2015/1,0:00,1.20%,2.00%,-1.50%
2015/2,23:00,3.60%,0.40%,1.20%
2015/3,23:00,1.20%,1.00%,3.60%
2015/4,23:00,2.70%,0.90%,1.20%
2015/5,23:00,0.60%,1.20%,2.70%
2015/6,23:00,-1.70%,1.00%,0.60%
2015/7,23:00,0.50%,1.00%,-1.70%
2015/8,23:00,-1.40%,0.40%,0.50%
2015/9,23:00,-1.60%,1.00%,-1.40%
2015/10,0:00,0.40%,1.50%,-1.60%
2015/11,0:00,-1.10%,0.50%,0.40%
2015/12,0:00,0.90%,0.80%,-1.10%
2016/1,0:00,-3.00%,0.50%,0.90%
2016/2,23:00,3.40%,1.00%,-3.00%
