公表日,時間,結果,予想,前回
2010/1,0:00,5.05M,5.50M,5.44M
2010/2,23:00,5.01M,5.00M,5.05M
2010/3,23:00,5.36M,5.30M,5.01M
2010/4,23:00,5.79M,5.65M,5.36M
2010/5,23:00,5.66M,6.10M,5.79M
2010/6,23:00,5.26M,5.04M,5.66M
2010/7,23:00,3.84M,4.75M,5.26M
2010/8,23:00,4.12M,4.04M,3.84M
2010/9,23:00,4.53M,4.25M,4.12M
2010/10,0:00,4.43M,4.42M,4.53M
2010/11,0:00,4.70M,4.75M,4.43M
2010/12,0:00,5.22M,4.80M,4.70M
2011/1,0:00,5.40M,5.23M,5.22M
2011/2,23:00,4.92M,5.05M,5.40M
2011/3,23:00,5.09M,5.00M,4.92M
2011/4,23:00,5.00M,5.22M,5.09M
2011/5,23:00,4.81M,4.78M,5.00M
2011/6,23:00,4.84M,4.92M,4.81M
2011/7,23:00,4.67M,4.90M,4.84M
2011/8,23:00,5.06M,4.75M,4.67M
2011/9,23:00,4.90M,4.90M,5.06M
2011/10,0:00,4.25M,4.80M,4.90M
2011/11,0:00,4.39M,5.03M,4.25M
2011/12,0:00,4.38M,4.65M,4.39M
2012/1,0:00,4.63M,4.67M,4.38M
2012/2,23:00,4.60M,4.61M,4.63M
2012/3,23:00,4.47M,4.62M,4.60M
2012/4,23:00,4.62M,4.60M,4.47M
2012/5,23:00,4.62M,4.57M,4.62M
2012/6,23:00,4.37M,4.63M,4.62M
2012/7,22:20,4.47M,4.52M,4.37M
2012/8,23:00,4.83M,4.55M,4.47M
2012/9,23:00,4.69M,4.75M,4.83M
2012/10,0:00,4.76M,4.75M,4.69M
2012/11,0:00,4.99M,4.87M,4.76M
2012/12,0:00,4.90M,5.10M,4.99M
2013/1,0:00,4.94M,4.90M,4.90M
2013/2,23:00,4.95M,5.00M,4.94M
2013/3,23:00,4.94M,5.01M,4.95M
2013/4,23:00,4.97M,4.99M,4.94M
2013/5,23:00,5.14M,5.00M,4.97M
2013/6,23:00,5.06M,5.25M,5.14M
2013/7,23:00,5.39M,5.15M,5.06M
2013/8,23:00,5.39M,5.25M,5.39M
2013/9,23:00,5.29M,5.30M,5.39M
2013/10,0:00,5.12M,5.13M,5.29M
2013/11,0:00,4.82M,5.03M,5.12M
2013/12,0:00,4.87M,4.94M,4.82M
2014/1,0:00,4.62M,4.68M,4.87M
2014/2,23:00,4.60M,4.60M,4.62M
2014/3,23:00,4.59M,4.55M,4.60M
2014/4,23:00,4.66M,4.68M,4.59M
2014/5,23:00,4.91M,4.73M,4.66M
2014/6,23:00,5.03M,4.97M,4.91M
2014/7,23:00,5.14M,5.02M,5.03M
2014/8,23:00,5.05M,5.20M,5.14M
2014/9,23:00,5.18M,5.10M,5.05M
2014/10,0:00,5.25M,5.15M,5.18M
2014/11,0:00,4.92M,5.19M,5.25M
2014/12,0:00,5.07M,5.06M,4.92M
2015/1,0:00,4.82M,4.97M,5.07M
2015/2,23:00,4.89M,4.90M,4.82M
2015/3,23:00,5.21M,5.03M,4.89M
2015/4,23:00,5.09M,5.24M,5.21M
2015/5,23:00,5.32M,5.26M,5.09M
2015/6,23:00,5.48M,5.40M,5.32M
2015/7,23:00,5.58M,5.44M,5.48M
2015/8,23:00,5.30M,5.51M,5.58M
2015/9,23:00,5.55M,5.38M,5.30M
2015/10,0:00,5.32M,5.40M,5.55M
2015/11,0:00,4.76M,5.35M,5.32M
2015/12,0:00,5.45M,5.20M,4.76M
2016/1,0:00,5.47M,5.32M,5.45M
2016/2,23:00,5.07M,5.34M,5.47M
2016/3,23:00,5.36M,5.30M,5.07M
2016/4,23:00,5.43M,5.40M,5.36M
2016/5,23:00,5.51M,5.54M,5.43M
2016/6,23:00,5.57M,5.48M,5.51M
2016/7,23:00,5.38M,5.51M,5.57M
2016/8,23:00,5.30M,5.45M,5.38M
2016/9,23:00,5.49M,5.35M,5.30M
2016/10,0:00,5.57M,5.43M,5.49M
2016/11,0:00,5.65M,5.50M,5.57M
2016/12,0:00,5.51M,5.52M,5.65M
2017/1,0:00,5.69M,5.54M,5.51M
2017/2,23:00,5.47M,5.57M,5.69M
2017/3,23:00,5.70M,5.60M,5.47M
2017/4,23:00,5.56M,5.65M,5.70M
2017/5,23:00,5.62M,5.55M,5.56M
2017/6,23:00,5.51M,5.58M,5.62M
2017/7,23:00,5.44M,5.57M,5.51M
2017/8,23:00,5.35M,5.46M,5.44M
2017/9,23:00,5.37M,5.30M,5.35M
2017/10,0:00,5.50M,5.42M,5.37M
2017/11,0:00,5.78M,5.54M,5.50M
2017/12,0:00,5.56M,5.72M,5.78M
2018/1,0:00,5.38M,5.61M,5.56M
2018/2,23:00,5.54M,5.41M,5.38M
2018/3,23:00,5.60M,5.55M,5.54M
2018/4,23:00,5.45M,5.56M,5.60M
2018/5,23:00,5.41M,5.52M,5.45M
2018/6,23:00,5.38M,5.46M,5.41M
2018/7,23:00,5.34M,5.44M,5.38M
2018/8,23:00,5.33M,5.35M,5.34M
2018/9,23:00,5.15M,5.30M,5.33M
2018/10,0:00,5.22M,5.20M,5.15M
2018/11,0:00,5.33M,5.20M,5.22M
