Database:Monthly
Month:LATEST13
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025
Consumer Price Index (The same month last year=100),,100.2,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Food&Tobacco,,99.8,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Clothing,,101.9,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Residence,,99.9,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Household Articles and Services,,102.6,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Transportation and Communication,,96.6,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Education Culture and Recreation,,100.0,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Health Cares,,101.7,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Miscellanous Goods and Services,,113.2,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Non-food,,100.4,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Consumer Goods,,100.3,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Services,,100.1,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Excluding Food and Energy,,100.8,,,,,,,,,,,
"Note:According to the regulations of the statistical system, China?s CPI rotates at a base period every five years. After each base period rotation, the survey classification catalogue, representative specifications and survey outlets are adjusted, and the cla"
Data Sources:National Bureau of Statistics
